"Theme 1 - 1 : Persons aged 18 and under by sex and single year of age and persons aged 19 and over by sex, 2006";;;;
"Geographic Area";"Year of Age";"Persons";"Males";"Females"
"Dublin City and Suburbs  ";0;13413;6878;6535
"Dublin City and Suburbs  ";1;12982;6687;6295
"Dublin City and Suburbs  ";2;12783;6544;6239
"Dublin City and Suburbs  ";3;12946;6623;6323
"Dublin City and Suburbs  ";4;12474;6290;6184
"Dublin City and Suburbs  ";5;12146;6230;5916
"Dublin City and Suburbs  ";6;11932;6128;5804
"Dublin City and Suburbs  ";7;12277;6372;5905
"Dublin City and Suburbs  ";8;11711;5978;5733
"Dublin City and Suburbs  ";9;11688;6056;5632
"Dublin City and Suburbs  ";10;11331;5866;5465
"Dublin City and Suburbs  ";11;11104;5756;5348
"Dublin City and Suburbs  ";12;11284;5757;5527
"Dublin City and Suburbs  ";13;11294;5942;5352
"Dublin City and Suburbs  ";14;12232;6242;5990
"Dublin City and Suburbs  ";15;12330;6410;5920
"Dublin City and Suburbs  ";16;12125;6140;5985
"Dublin City and Suburbs  ";17;12514;6345;6169
"Dublin City and Suburbs  ";18;13903;6897;7006
"Dublin City and Suburbs  ";"19+";792167;382634;409533
"Dublin City and Suburbs  ";"Total";1024636;501775;522861
"Dublin City 02  ";0;5723;2929;2794
"Dublin City 02  ";1;5259;2642;2617
"Dublin City 02  ";2;5096;2630;2466
"Dublin City 02  ";3;5189;2666;2523
"Dublin City 02  ";4;5096;2563;2533
"Dublin City 02  ";5;4950;2570;2380
"Dublin City 02  ";6;4975;2520;2455
"Dublin City 02  ";7;5173;2693;2480
"Dublin City 02  ";8;4985;2535;2450
"Dublin City 02  ";9;4960;2574;2386
"Dublin City 02  ";10;4922;2510;2412
"Dublin City 02  ";11;4748;2435;2313
"Dublin City 02  ";12;4807;2372;2435
"Dublin City 02  ";13;4812;2541;2271
"Dublin City 02  ";14;5159;2594;2565
"Dublin City 02  ";15;5101;2693;2408
"Dublin City 02  ";16;5238;2648;2590
"Dublin City 02  ";17;5302;2674;2628
"Dublin City 02  ";18;6274;3077;3197
"Dublin City 02  ";"19+";408442;198221;210221
"Dublin City 02  ";"Total";506211;248087;258124
"Dublin City 02/001";0;28;16;12
"Dublin City 02/001";1;24;17;7
"Dublin City 02/001";2;20;13;7
"Dublin City 02/001";3;14;8;6
"Dublin City 02/001";4;20;11;9
"Dublin City 02/001";5;18;9;9
"Dublin City 02/001";6;23;12;11
"Dublin City 02/001";7;20;11;9
"Dublin City 02/001";8;17;10;7
"Dublin City 02/001";9;29;19;10
"Dublin City 02/001";10;22;15;7
"Dublin City 02/001";11;31;15;16
"Dublin City 02/001";12;30;14;16
"Dublin City 02/001";13;17;12;5
"Dublin City 02/001";14;39;23;16
"Dublin City 02/001";15;25;14;11
"Dublin City 02/001";16;20;9;11
"Dublin City 02/001";17;29;9;20
"Dublin City 02/001";18;21;10;11
"Dublin City 02/001";"19+";993;464;529
"Dublin City 02/001";"Total";1440;711;729
"Dublin City 02/002";0;14;6;8
"Dublin City 02/002";1;9;5;4
"Dublin City 02/002";2;13;10;3
"Dublin City 02/002";3;15;9;6
"Dublin City 02/002";4;17;11;6
"Dublin City 02/002";5;9;6;3
"Dublin City 02/002";6;15;7;8
"Dublin City 02/002";7;18;8;10
"Dublin City 02/002";8;19;9;10
"Dublin City 02/002";9;15;8;7
"Dublin City 02/002";10;12;8;4
"Dublin City 02/002";11;12;5;7
"Dublin City 02/002";12;24;8;16
"Dublin City 02/002";13;19;8;11
"Dublin City 02/002";14;16;10;6
"Dublin City 02/002";15;22;11;11
"Dublin City 02/002";16;11;3;8
"Dublin City 02/002";17;20;10;10
"Dublin City 02/002";18;21;9;12
"Dublin City 02/002";"19+";734;349;385
"Dublin City 02/002";"Total";1035;500;535
"Dublin City 02/003";0;12;9;3
"Dublin City 02/003";1;10;6;4
"Dublin City 02/003";2;14;8;6
"Dublin City 02/003";3;8;5;3
"Dublin City 02/003";4;12;7;5
"Dublin City 02/003";5;18;9;9
"Dublin City 02/003";6;15;7;8
"Dublin City 02/003";7;13;9;4
"Dublin City 02/003";8;14;5;9
"Dublin City 02/003";9;26;17;9
"Dublin City 02/003";10;16;6;10
"Dublin City 02/003";11;17;9;8
"Dublin City 02/003";12;17;8;9
"Dublin City 02/003";13;11;7;4
"Dublin City 02/003";14;13;9;4
"Dublin City 02/003";15;17;7;10
"Dublin City 02/003";16;12;6;6
"Dublin City 02/003";17;15;9;6
"Dublin City 02/003";18;8;2;6
"Dublin City 02/003";"19+";729;348;381
"Dublin City 02/003";"Total";997;493;504
"Dublin City 02/004";0;11;5;6
"Dublin City 02/004";1;9;7;2
"Dublin City 02/004";2;10;6;4
"Dublin City 02/004";3;12;4;8
"Dublin City 02/004";4;6;2;4
"Dublin City 02/004";5;12;8;4
"Dublin City 02/004";6;13;3;10
"Dublin City 02/004";7;10;7;3
"Dublin City 02/004";8;10;4;6
"Dublin City 02/004";9;13;8;5
"Dublin City 02/004";10;11;5;6
"Dublin City 02/004";11;16;10;6
"Dublin City 02/004";12;13;5;8
"Dublin City 02/004";13;14;11;3
"Dublin City 02/004";14;6;4;2
"Dublin City 02/004";15;15;10;5
"Dublin City 02/004";16;8;5;3
"Dublin City 02/004";17;11;4;7
"Dublin City 02/004";18;8;4;4
"Dublin City 02/004";"19+";613;293;320
"Dublin City 02/004";"Total";821;405;416
"Dublin City 02/005";0;10;6;4
"Dublin City 02/005";1;11;5;6
"Dublin City 02/005";2;11;7;4
"Dublin City 02/005";3;12;6;6
"Dublin City 02/005";4;11;9;2
"Dublin City 02/005";5;12;6;6
"Dublin City 02/005";6;11;8;3
"Dublin City 02/005";7;14;10;4
"Dublin City 02/005";8;14;8;6
"Dublin City 02/005";9;11;5;6
"Dublin City 02/005";10;11;2;9
"Dublin City 02/005";11;5;3;2
"Dublin City 02/005";12;6;4;2
"Dublin City 02/005";13;11;7;4
"Dublin City 02/005";14;15;9;6
"Dublin City 02/005";15;7;6;1
"Dublin City 02/005";16;11;8;3
"Dublin City 02/005";17;9;6;3
"Dublin City 02/005";18;7;3;4
"Dublin City 02/005";"19+";605;288;317
"Dublin City 02/005";"Total";804;406;398
"Dublin City 02/006";0;11;4;7
"Dublin City 02/006";1;15;6;9
"Dublin City 02/006";2;11;5;6
"Dublin City 02/006";3;12;4;8
"Dublin City 02/006";4;12;7;5
"Dublin City 02/006";5;11;7;4
"Dublin City 02/006";6;14;9;5
"Dublin City 02/006";7;15;7;8
"Dublin City 02/006";8;10;5;5
"Dublin City 02/006";9;12;7;5
"Dublin City 02/006";10;19;11;8
"Dublin City 02/006";11;12;5;7
"Dublin City 02/006";12;9;4;5
"Dublin City 02/006";13;16;10;6
"Dublin City 02/006";14;13;9;4
"Dublin City 02/006";15;20;10;10
"Dublin City 02/006";16;8;4;4
"Dublin City 02/006";17;19;10;9
"Dublin City 02/006";18;15;7;8
"Dublin City 02/006";"19+";755;359;396
"Dublin City 02/006";"Total";1009;490;519
"Dublin City 02/007";0;8;4;4
"Dublin City 02/007";1;10;5;5
"Dublin City 02/007";2;7;4;3
"Dublin City 02/007";3;9;5;4
"Dublin City 02/007";4;6;6;0
"Dublin City 02/007";5;22;11;11
"Dublin City 02/007";6;10;4;6
"Dublin City 02/007";7;13;5;8
"Dublin City 02/007";8;10;6;4
"Dublin City 02/007";9;17;6;11
"Dublin City 02/007";10;10;7;3
"Dublin City 02/007";11;10;5;5
"Dublin City 02/007";12;9;4;5
"Dublin City 02/007";13;17;8;9
"Dublin City 02/007";14;14;9;5
"Dublin City 02/007";15;16;7;9
"Dublin City 02/007";16;20;9;11
"Dublin City 02/007";17;14;8;6
"Dublin City 02/007";18;18;9;9
"Dublin City 02/007";"19+";773;371;402
"Dublin City 02/007";"Total";1013;493;520
"Dublin City 02/008";0;11;5;6
"Dublin City 02/008";1;12;7;5
"Dublin City 02/008";2;10;4;6
"Dublin City 02/008";3;9;7;2
"Dublin City 02/008";4;14;5;9
"Dublin City 02/008";5;10;7;3
"Dublin City 02/008";6;17;7;10
"Dublin City 02/008";7;19;5;14
"Dublin City 02/008";8;15;5;10
"Dublin City 02/008";9;13;6;7
"Dublin City 02/008";10;15;6;9
"Dublin City 02/008";11;17;9;8
"Dublin City 02/008";12;25;12;13
"Dublin City 02/008";13;23;9;14
"Dublin City 02/008";14;15;5;10
"Dublin City 02/008";15;14;9;5
"Dublin City 02/008";16;15;7;8
"Dublin City 02/008";17;13;7;6
"Dublin City 02/008";18;18;8;10
"Dublin City 02/008";"19+";782;351;431
"Dublin City 02/008";"Total";1067;481;586
"Dublin City 02/009";0;6;1;5
"Dublin City 02/009";1;15;5;10
"Dublin City 02/009";2;16;7;9
"Dublin City 02/009";3;10;5;5
"Dublin City 02/009";4;13;7;6
"Dublin City 02/009";5;18;11;7
"Dublin City 02/009";6;15;9;6
"Dublin City 02/009";7;22;7;15
"Dublin City 02/009";8;22;8;14
"Dublin City 02/009";9;23;10;13
"Dublin City 02/009";10;21;10;11
"Dublin City 02/009";11;27;13;14
"Dublin City 02/009";12;26;12;14
"Dublin City 02/009";13;18;13;5
"Dublin City 02/009";14;21;7;14
"Dublin City 02/009";15;25;15;10
"Dublin City 02/009";16;16;6;10
"Dublin City 02/009";17;14;7;7
"Dublin City 02/009";18;12;9;3
"Dublin City 02/009";"19+";775;350;425
"Dublin City 02/009";"Total";1115;512;603
"Dublin City 02/010";0;7;3;4
"Dublin City 02/010";1;11;7;4
"Dublin City 02/010";2;13;6;7
"Dublin City 02/010";3;14;10;4
"Dublin City 02/010";4;4;2;2
"Dublin City 02/010";5;13;11;2
"Dublin City 02/010";6;9;3;6
"Dublin City 02/010";7;6;2;4
"Dublin City 02/010";8;10;8;2
"Dublin City 02/010";9;10;8;2
"Dublin City 02/010";10;7;5;2
"Dublin City 02/010";11;3;3;0
"Dublin City 02/010";12;10;6;4
"Dublin City 02/010";13;8;7;1
"Dublin City 02/010";14;10;3;7
"Dublin City 02/010";15;12;6;6
"Dublin City 02/010";16;15;4;11
"Dublin City 02/010";17;8;6;2
"Dublin City 02/010";18;9;2;7
"Dublin City 02/010";"19+";801;386;415
"Dublin City 02/010";"Total";980;488;492
"Dublin City 02/011";0;7;4;3
"Dublin City 02/011";1;9;4;5
"Dublin City 02/011";2;7;5;2
"Dublin City 02/011";3;7;2;5
"Dublin City 02/011";4;9;5;4
"Dublin City 02/011";5;8;1;7
"Dublin City 02/011";6;4;3;1
"Dublin City 02/011";7;7;4;3
"Dublin City 02/011";8;8;6;2
"Dublin City 02/011";9;12;9;3
"Dublin City 02/011";10;8;6;2
"Dublin City 02/011";11;6;2;4
"Dublin City 02/011";12;4;1;3
"Dublin City 02/011";13;10;5;5
"Dublin City 02/011";14;11;6;5
"Dublin City 02/011";15;8;5;3
"Dublin City 02/011";16;10;3;7
"Dublin City 02/011";17;10;4;6
"Dublin City 02/011";18;17;6;11
"Dublin City 02/011";"19+";733;362;371
"Dublin City 02/011";"Total";895;443;452
"Dublin City 02/012";0;6;3;3
"Dublin City 02/012";1;10;7;3
"Dublin City 02/012";2;8;5;3
"Dublin City 02/012";3;8;5;3
"Dublin City 02/012";4;10;7;3
"Dublin City 02/012";5;3;0;3
"Dublin City 02/012";6;8;3;5
"Dublin City 02/012";7;5;5;0
"Dublin City 02/012";8;5;2;3
"Dublin City 02/012";9;10;9;1
"Dublin City 02/012";10;7;5;2
"Dublin City 02/012";11;10;7;3
"Dublin City 02/012";12;16;9;7
"Dublin City 02/012";13;12;6;6
"Dublin City 02/012";14;14;5;9
"Dublin City 02/012";15;9;4;5
"Dublin City 02/012";16;11;6;5
"Dublin City 02/012";17;14;6;8
"Dublin City 02/012";18;18;10;8
"Dublin City 02/012";"19+";758;353;405
"Dublin City 02/012";"Total";942;457;485
"Dublin City 02/013";0;4;4;0
"Dublin City 02/013";1;5;3;2
"Dublin City 02/013";2;11;5;6
"Dublin City 02/013";3;8;5;3
"Dublin City 02/013";4;7;5;2
"Dublin City 02/013";5;7;3;4
"Dublin City 02/013";6;8;6;2
"Dublin City 02/013";7;6;4;2
"Dublin City 02/013";8;9;7;2
"Dublin City 02/013";9;6;3;3
"Dublin City 02/013";10;7;6;1
"Dublin City 02/013";11;5;2;3
"Dublin City 02/013";12;6;5;1
"Dublin City 02/013";13;15;9;6
"Dublin City 02/013";14;8;4;4
"Dublin City 02/013";15;7;2;5
"Dublin City 02/013";16;9;3;6
"Dublin City 02/013";17;14;5;9
"Dublin City 02/013";18;11;5;6
"Dublin City 02/013";"19+";777;371;406
"Dublin City 02/013";"Total";930;457;473
"Dublin City 02/014";0;10;4;6
"Dublin City 02/014";1;6;0;6
"Dublin City 02/014";2;7;3;4
"Dublin City 02/014";3;11;3;8
"Dublin City 02/014";4;10;5;5
"Dublin City 02/014";5;11;7;4
"Dublin City 02/014";6;6;4;2
"Dublin City 02/014";7;9;2;7
"Dublin City 02/014";8;7;3;4
"Dublin City 02/014";9;10;4;6
"Dublin City 02/014";10;11;7;4
"Dublin City 02/014";11;9;3;6
"Dublin City 02/014";12;11;7;4
"Dublin City 02/014";13;12;8;4
"Dublin City 02/014";14;9;4;5
"Dublin City 02/014";15;8;5;3
"Dublin City 02/014";16;10;7;3
"Dublin City 02/014";17;12;5;7
"Dublin City 02/014";18;8;3;5
"Dublin City 02/014";"19+";838;402;436
"Dublin City 02/014";"Total";1015;486;529
"Dublin City 02/015";0;8;5;3
"Dublin City 02/015";1;10;8;2
"Dublin City 02/015";2;12;5;7
"Dublin City 02/015";3;6;3;3
"Dublin City 02/015";4;8;2;6
"Dublin City 02/015";5;8;3;5
"Dublin City 02/015";6;13;6;7
"Dublin City 02/015";7;8;3;5
"Dublin City 02/015";8;10;7;3
"Dublin City 02/015";9;5;0;5
"Dublin City 02/015";10;16;9;7
"Dublin City 02/015";11;22;14;8
"Dublin City 02/015";12;17;7;10
"Dublin City 02/015";13;25;13;12
"Dublin City 02/015";14;20;11;9
"Dublin City 02/015";15;26;14;12
"Dublin City 02/015";16;14;5;9
"Dublin City 02/015";17;25;13;12
"Dublin City 02/015";18;28;11;17
"Dublin City 02/015";"19+";860;409;451
"Dublin City 02/015";"Total";1141;548;593
"Dublin City 02/016";0;5;2;3
"Dublin City 02/016";1;14;5;9
"Dublin City 02/016";2;8;5;3
"Dublin City 02/016";3;8;3;5
"Dublin City 02/016";4;13;5;8
"Dublin City 02/016";5;10;6;4
"Dublin City 02/016";6;10;7;3
"Dublin City 02/016";7;14;6;8
"Dublin City 02/016";8;7;3;4
"Dublin City 02/016";9;11;4;7
"Dublin City 02/016";10;12;4;8
"Dublin City 02/016";11;8;1;7
"Dublin City 02/016";12;10;5;5
"Dublin City 02/016";13;6;3;3
"Dublin City 02/016";14;8;5;3
"Dublin City 02/016";15;8;5;3
"Dublin City 02/016";16;9;4;5
"Dublin City 02/016";17;9;5;4
"Dublin City 02/016";18;10;6;4
"Dublin City 02/016";"19+";758;361;397
"Dublin City 02/016";"Total";938;445;493
"Dublin City 02/017";0;10;7;3
"Dublin City 02/017";1;14;10;4
"Dublin City 02/017";2;16;11;5
"Dublin City 02/017";3;19;7;12
"Dublin City 02/017";4;10;8;2
"Dublin City 02/017";5;12;9;3
"Dublin City 02/017";6;18;8;10
"Dublin City 02/017";7;15;6;9
"Dublin City 02/017";8;23;13;10
"Dublin City 02/017";9;26;19;7
"Dublin City 02/017";10;20;8;12
"Dublin City 02/017";11;24;13;11
"Dublin City 02/017";12;27;13;14
"Dublin City 02/017";13;27;16;11
"Dublin City 02/017";14;22;9;13
"Dublin City 02/017";15;16;8;8
"Dublin City 02/017";16;27;14;13
"Dublin City 02/017";17;29;11;18
"Dublin City 02/017";18;19;9;10
"Dublin City 02/017";"19+";913;437;476
"Dublin City 02/017";"Total";1287;636;651
"Dublin City 02/018";0;20;10;10
"Dublin City 02/018";1;18;11;7
"Dublin City 02/018";2;23;14;9
"Dublin City 02/018";3;30;24;6
"Dublin City 02/018";4;30;16;14
"Dublin City 02/018";5;26;13;13
"Dublin City 02/018";6;29;19;10
"Dublin City 02/018";7;33;22;11
"Dublin City 02/018";8;32;14;18
"Dublin City 02/018";9;29;14;15
"Dublin City 02/018";10;32;19;13
"Dublin City 02/018";11;27;19;8
"Dublin City 02/018";12;27;18;9
"Dublin City 02/018";13;26;10;16
"Dublin City 02/018";14;33;19;14
"Dublin City 02/018";15;25;16;9
"Dublin City 02/018";16;33;21;12
"Dublin City 02/018";17;22;10;12
"Dublin City 02/018";18;18;10;8
"Dublin City 02/018";"19+";490;191;299
"Dublin City 02/018";"Total";1003;490;513
"Dublin City 02/019";0;21;11;10
"Dublin City 02/019";1;15;11;4
"Dublin City 02/019";2;15;7;8
"Dublin City 02/019";3;17;7;10
"Dublin City 02/019";4;14;5;9
"Dublin City 02/019";5;22;12;10
"Dublin City 02/019";6;24;11;13
"Dublin City 02/019";7;28;17;11
"Dublin City 02/019";8;24;14;10
"Dublin City 02/019";9;18;9;9
"Dublin City 02/019";10;16;10;6
"Dublin City 02/019";11;22;12;10
"Dublin City 02/019";12;23;12;11
"Dublin City 02/019";13;15;8;7
"Dublin City 02/019";14;18;11;7
"Dublin City 02/019";15;17;7;10
"Dublin City 02/019";16;15;7;8
"Dublin City 02/019";17;16;6;10
"Dublin City 02/019";18;25;13;12
"Dublin City 02/019";"19+";652;298;354
"Dublin City 02/019";"Total";1017;488;529
"Dublin City 02/020";0;19;9;10
"Dublin City 02/020";1;14;8;6
"Dublin City 02/020";2;22;12;10
"Dublin City 02/020";3;17;10;7
"Dublin City 02/020";4;13;7;6
"Dublin City 02/020";5;10;6;4
"Dublin City 02/020";6;16;7;9
"Dublin City 02/020";7;15;7;8
"Dublin City 02/020";8;19;10;9
"Dublin City 02/020";9;10;6;4
"Dublin City 02/020";10;20;11;9
"Dublin City 02/020";11;8;1;7
"Dublin City 02/020";12;16;11;5
"Dublin City 02/020";13;7;4;3
"Dublin City 02/020";14;15;9;6
"Dublin City 02/020";15;14;8;6
"Dublin City 02/020";16;12;5;7
"Dublin City 02/020";17;10;7;3
"Dublin City 02/020";18;8;3;5
"Dublin City 02/020";"19+";474;215;259
"Dublin City 02/020";"Total";739;356;383
"Dublin City 02/021";0;25;12;13
"Dublin City 02/021";1;9;3;6
"Dublin City 02/021";2;29;17;12
"Dublin City 02/021";3;27;18;9
"Dublin City 02/021";4;24;12;12
"Dublin City 02/021";5;26;17;9
"Dublin City 02/021";6;15;8;7
"Dublin City 02/021";7;25;9;16
"Dublin City 02/021";8;32;16;16
"Dublin City 02/021";9;22;11;11
"Dublin City 02/021";10;26;11;15
"Dublin City 02/021";11;21;13;8
"Dublin City 02/021";12;20;8;12
"Dublin City 02/021";13;19;9;10
"Dublin City 02/021";14;20;15;5
"Dublin City 02/021";15;19;12;7
"Dublin City 02/021";16;21;13;8
"Dublin City 02/021";17;13;6;7
"Dublin City 02/021";18;19;15;4
"Dublin City 02/021";"19+";824;380;444
"Dublin City 02/021";"Total";1236;605;631
"Dublin City 02/022";0;13;5;8
"Dublin City 02/022";1;19;12;7
"Dublin City 02/022";2;18;7;11
"Dublin City 02/022";3;15;9;6
"Dublin City 02/022";4;24;12;12
"Dublin City 02/022";5;16;7;9
"Dublin City 02/022";6;23;10;13
"Dublin City 02/022";7;22;12;10
"Dublin City 02/022";8;17;8;9
"Dublin City 02/022";9;20;9;11
"Dublin City 02/022";10;23;9;14
"Dublin City 02/022";11;19;9;10
"Dublin City 02/022";12;22;10;12
"Dublin City 02/022";13;21;8;13
"Dublin City 02/022";14;30;11;19
"Dublin City 02/022";15;27;18;9
"Dublin City 02/022";16;24;8;16
"Dublin City 02/022";17;13;5;8
"Dublin City 02/022";18;18;14;4
"Dublin City 02/022";"19+";883;428;455
"Dublin City 02/022";"Total";1267;611;656
"Dublin City 02/023";0;20;11;9
"Dublin City 02/023";1;17;8;9
"Dublin City 02/023";2;14;9;5
"Dublin City 02/023";3;10;4;6
"Dublin City 02/023";4;20;11;9
"Dublin City 02/023";5;18;8;10
"Dublin City 02/023";6;18;8;10
"Dublin City 02/023";7;18;12;6
"Dublin City 02/023";8;18;8;10
"Dublin City 02/023";9;14;10;4
"Dublin City 02/023";10;15;7;8
"Dublin City 02/023";11;16;7;9
"Dublin City 02/023";12;22;6;16
"Dublin City 02/023";13;17;10;7
"Dublin City 02/023";14;21;11;10
"Dublin City 02/023";15;22;9;13
"Dublin City 02/023";16;27;14;13
"Dublin City 02/023";17;32;17;15
"Dublin City 02/023";18;27;14;13
"Dublin City 02/023";"19+";796;383;413
"Dublin City 02/023";"Total";1162;567;595
"Dublin City 02/024";0;28;13;15
"Dublin City 02/024";1;27;9;18
"Dublin City 02/024";2;26;12;14
"Dublin City 02/024";3;24;12;12
"Dublin City 02/024";4;24;12;12
"Dublin City 02/024";5;21;11;10
"Dublin City 02/024";6;12;4;8
"Dublin City 02/024";7;27;11;16
"Dublin City 02/024";8;21;12;9
"Dublin City 02/024";9;32;15;17
"Dublin City 02/024";10;18;12;6
"Dublin City 02/024";11;17;8;9
"Dublin City 02/024";12;26;16;10
"Dublin City 02/024";13;20;11;9
"Dublin City 02/024";14;26;14;12
"Dublin City 02/024";15;18;10;8
"Dublin City 02/024";16;18;10;8
"Dublin City 02/024";17;13;10;3
"Dublin City 02/024";18;24;16;8
"Dublin City 02/024";"19+";795;404;391
"Dublin City 02/024";"Total";1217;622;595
"Dublin City 02/025";0;2;1;1
"Dublin City 02/025";1;2;1;1
"Dublin City 02/025";2;7;4;3
"Dublin City 02/025";3;2;2;0
"Dublin City 02/025";4;5;3;2
"Dublin City 02/025";5;1;1;0
"Dublin City 02/025";6;4;1;3
"Dublin City 02/025";7;13;6;7
"Dublin City 02/025";8;8;4;4
"Dublin City 02/025";9;9;2;7
"Dublin City 02/025";10;10;8;2
"Dublin City 02/025";11;5;3;2
"Dublin City 02/025";12;10;6;4
"Dublin City 02/025";13;6;4;2
"Dublin City 02/025";14;9;3;6
"Dublin City 02/025";15;9;5;4
"Dublin City 02/025";16;10;7;3
"Dublin City 02/025";17;4;2;2
"Dublin City 02/025";18;4;2;2
"Dublin City 02/025";"19+";183;84;99
"Dublin City 02/025";"Total";303;149;154
"Dublin City 02/026";0;10;4;6
"Dublin City 02/026";1;4;3;1
"Dublin City 02/026";2;5;3;2
"Dublin City 02/026";3;5;1;4
"Dublin City 02/026";4;6;3;3
"Dublin City 02/026";5;6;2;4
"Dublin City 02/026";6;7;5;2
"Dublin City 02/026";7;7;4;3
"Dublin City 02/026";8;10;3;7
"Dublin City 02/026";9;13;4;9
"Dublin City 02/026";10;9;5;4
"Dublin City 02/026";11;7;2;5
"Dublin City 02/026";12;8;5;3
"Dublin City 02/026";13;12;10;2
"Dublin City 02/026";14;11;5;6
"Dublin City 02/026";15;10;4;6
"Dublin City 02/026";16;7;3;4
"Dublin City 02/026";17;9;4;5
"Dublin City 02/026";18;6;4;2
"Dublin City 02/026";"19+";734;345;389
"Dublin City 02/026";"Total";886;419;467
"Dublin City 02/027";0;5;4;1
"Dublin City 02/027";1;5;2;3
"Dublin City 02/027";2;3;2;1
"Dublin City 02/027";3;6;3;3
"Dublin City 02/027";4;10;7;3
"Dublin City 02/027";5;7;5;2
"Dublin City 02/027";6;6;4;2
"Dublin City 02/027";7;10;4;6
"Dublin City 02/027";8;7;3;4
"Dublin City 02/027";9;10;7;3
"Dublin City 02/027";10;5;2;3
"Dublin City 02/027";11;6;2;4
"Dublin City 02/027";12;9;2;7
"Dublin City 02/027";13;6;6;0
"Dublin City 02/027";14;7;3;4
"Dublin City 02/027";15;9;5;4
"Dublin City 02/027";16;11;6;5
"Dublin City 02/027";17;3;0;3
"Dublin City 02/027";18;8;4;4
"Dublin City 02/027";"19+";727;353;374
"Dublin City 02/027";"Total";860;424;436
"Dublin City 02/028";0;8;3;5
"Dublin City 02/028";1;6;4;2
"Dublin City 02/028";2;10;4;6
"Dublin City 02/028";3;11;7;4
"Dublin City 02/028";4;13;5;8
"Dublin City 02/028";5;10;4;6
"Dublin City 02/028";6;7;4;3
"Dublin City 02/028";7;17;11;6
"Dublin City 02/028";8;9;5;4
"Dublin City 02/028";9;11;5;6
"Dublin City 02/028";10;12;6;6
"Dublin City 02/028";11;8;2;6
"Dublin City 02/028";12;7;3;4
"Dublin City 02/028";13;13;7;6
"Dublin City 02/028";14;9;4;5
"Dublin City 02/028";15;10;4;6
"Dublin City 02/028";16;4;2;2
"Dublin City 02/028";17;9;4;5
"Dublin City 02/028";18;11;3;8
"Dublin City 02/028";"19+";733;330;403
"Dublin City 02/028";"Total";918;417;501
"Dublin City 02/029";0;6;2;4
"Dublin City 02/029";1;5;3;2
"Dublin City 02/029";2;5;2;3
"Dublin City 02/029";3;13;6;7
"Dublin City 02/029";4;5;2;3
"Dublin City 02/029";5;3;3;0
"Dublin City 02/029";6;6;1;5
"Dublin City 02/029";7;4;2;2
"Dublin City 02/029";8;3;3;0
"Dublin City 02/029";9;4;0;4
"Dublin City 02/029";10;12;9;3
"Dublin City 02/029";11;5;3;2
"Dublin City 02/029";12;9;4;5
"Dublin City 02/029";13;4;2;2
"Dublin City 02/029";14;5;3;2
"Dublin City 02/029";15;8;3;5
"Dublin City 02/029";16;7;4;3
"Dublin City 02/029";17;5;3;2
"Dublin City 02/029";18;12;2;10
"Dublin City 02/029";"19+";790;381;409
"Dublin City 02/029";"Total";911;438;473
"Dublin City 02/030";0;6;4;2
"Dublin City 02/030";1;8;5;3
"Dublin City 02/030";2;10;3;7
"Dublin City 02/030";3;14;5;9
"Dublin City 02/030";4;11;4;7
"Dublin City 02/030";5;14;9;5
"Dublin City 02/030";6;8;2;6
"Dublin City 02/030";7;8;5;3
"Dublin City 02/030";8;10;4;6
"Dublin City 02/030";9;9;8;1
"Dublin City 02/030";10;10;5;5
"Dublin City 02/030";11;7;3;4
"Dublin City 02/030";12;15;6;9
"Dublin City 02/030";13;11;6;5
"Dublin City 02/030";14;12;9;3
"Dublin City 02/030";15;7;4;3
"Dublin City 02/030";16;13;8;5
"Dublin City 02/030";17;6;3;3
"Dublin City 02/030";18;10;7;3
"Dublin City 02/030";"19+";805;365;440
"Dublin City 02/030";"Total";994;465;529
"Dublin City 02/031";0;6;3;3
"Dublin City 02/031";1;9;5;4
"Dublin City 02/031";2;5;2;3
"Dublin City 02/031";3;5;3;2
"Dublin City 02/031";4;10;5;5
"Dublin City 02/031";5;4;3;1
"Dublin City 02/031";6;12;6;6
"Dublin City 02/031";7;7;2;5
"Dublin City 02/031";8;5;2;3
"Dublin City 02/031";9;6;4;2
"Dublin City 02/031";10;11;6;5
"Dublin City 02/031";11;4;1;3
"Dublin City 02/031";12;13;7;6
"Dublin City 02/031";13;13;9;4
"Dublin City 02/031";14;8;6;2
"Dublin City 02/031";15;8;4;4
"Dublin City 02/031";16;7;2;5
"Dublin City 02/031";17;7;2;5
"Dublin City 02/031";18;6;4;2
"Dublin City 02/031";"19+";669;329;340
"Dublin City 02/031";"Total";815;405;410
"Dublin City 02/032";0;15;10;5
"Dublin City 02/032";1;14;6;8
"Dublin City 02/032";2;7;3;4
"Dublin City 02/032";3;17;8;9
"Dublin City 02/032";4;16;10;6
"Dublin City 02/032";5;16;11;5
"Dublin City 02/032";6;13;9;4
"Dublin City 02/032";7;10;6;4
"Dublin City 02/032";8;20;6;14
"Dublin City 02/032";9;19;6;13
"Dublin City 02/032";10;16;6;10
"Dublin City 02/032";11;13;6;7
"Dublin City 02/032";12;10;4;6
"Dublin City 02/032";13;12;8;4
"Dublin City 02/032";14;17;7;10
"Dublin City 02/032";15;19;8;11
"Dublin City 02/032";16;11;4;7
"Dublin City 02/032";17;15;6;9
"Dublin City 02/032";18;17;8;9
"Dublin City 02/032";"19+";704;336;368
