"Theme 1 - 2 : Persons by sex, age and marital status, 2006";;;;;;;;;;;;;
"Geographic Area";"Age Group";"Males - Total";"Males - Single";"Males - Married";"Males - Separated";"Males - Divorced";"Males - Widowed";"Females - Total";"Females - Single";"Females - Married";"Females - Separated";"Females - Divorced";"Females - Widowed"
"Dublin City 02/002";"40 - 44 years";41;13;20;8;0;0;43;19;16;5;2;1
"Dublin City 02/002";"45 - 49 years";38;12;21;3;2;0;41;7;25;4;2;3
"Dublin City 02/002";"50 - 54 years";18;1;12;3;2;0;15;2;8;2;1;2
"Dublin City 02/002";"55 - 59 years";12;2;6;1;1;2;12;2;7;3;0;0
"Dublin City 02/002";"60 - 64 years";13;1;7;0;1;4;15;0;10;0;0;5
"Dublin City 02/002";"65 - 69 years";29;2;22;1;0;4;33;1;24;1;0;7
"Dublin City 02/002";"70 - 74 years";31;0;23;0;1;7;42;0;21;0;1;20
"Dublin City 02/002";"75 - 79 years";19;0;17;0;0;2;27;0;8;0;0;19
"Dublin City 02/002";"80 - 84 years";6;0;1;0;0;5;7;0;1;0;0;6
"Dublin City 02/002";"85 years and over";0;0;0;0;0;0;2;0;0;0;0;2
"Dublin City 02/003";"0 - 4 years";35;35;0;0;0;0;21;21;0;0;0;0
"Dublin City 02/003";"5 - 9 years";47;47;0;0;0;0;39;39;0;0;0;0
"Dublin City 02/003";"10 - 14 years";39;39;0;0;0;0;35;35;0;0;0;0
"Dublin City 02/003";"15 - 19 years";34;34;0;0;0;0;32;32;0;0;0;0
"Dublin City 02/003";"20 - 24 years";46;46;0;0;0;0;35;35;0;0;0;0
"Dublin City 02/003";"25 - 29 years";34;31;2;1;0;0;36;34;2;0;0;0
"Dublin City 02/003";"30 - 34 years";43;32;9;0;2;0;33;18;14;0;1;0
"Dublin City 02/003";"35 - 39 years";36;23;11;2;0;0;36;17;12;5;2;0
"Dublin City 02/003";"40 - 44 years";36;18;15;1;1;1;46;23;19;1;1;2
"Dublin City 02/003";"45 - 49 years";32;11;20;1;0;0;31;10;16;4;0;1
"Dublin City 02/003";"50 - 54 years";27;7;18;1;1;0;32;8;17;3;2;2
"Dublin City 02/003";"55 - 59 years";18;6;10;2;0;0;23;5;11;2;3;2
"Dublin City 02/003";"60 - 64 years";13;0;12;0;1;0;17;0;10;3;0;4
"Dublin City 02/003";"65 - 69 years";15;0;11;2;0;2;24;2;13;0;1;8
"Dublin City 02/003";"70 - 74 years";19;1;10;0;0;8;24;1;11;3;0;9
"Dublin City 02/003";"75 - 79 years";14;0;11;0;0;3;18;2;7;1;0;8
"Dublin City 02/003";"80 - 84 years";4;0;3;0;0;1;9;0;2;0;0;7
"Dublin City 02/003";"85 years and over";1;0;0;0;0;1;13;1;0;0;0;12
"Dublin City 02/004";"0 - 4 years";24;24;0;0;0;0;24;24;0;0;0;0
"Dublin City 02/004";"5 - 9 years";30;30;0;0;0;0;28;28;0;0;0;0
"Dublin City 02/004";"10 - 14 years";35;35;0;0;0;0;25;25;0;0;0;0
"Dublin City 02/004";"15 - 19 years";30;30;0;0;0;0;23;23;0;0;0;0
"Dublin City 02/004";"20 - 24 years";34;34;0;0;0;0;23;22;1;0;0;0
"Dublin City 02/004";"25 - 29 years";29;25;3;1;0;0;19;16;3;0;0;0
"Dublin City 02/004";"30 - 34 years";33;24;9;0;0;0;25;15;8;1;1;0
"Dublin City 02/004";"35 - 39 years";31;24;7;0;0;0;47;29;13;2;3;0
"Dublin City 02/004";"40 - 44 years";33;16;13;2;1;1;24;11;6;5;1;1
"Dublin City 02/004";"45 - 49 years";24;10;8;3;3;0;27;13;11;3;0;0
"Dublin City 02/004";"50 - 54 years";24;6;17;0;1;0;27;10;14;1;0;2
"Dublin City 02/004";"55 - 59 years";20;5;13;1;1;0;17;4;10;1;1;1
"Dublin City 02/004";"60 - 64 years";8;2;4;1;1;0;11;0;5;3;0;3
"Dublin City 02/004";"65 - 69 years";12;0;10;0;0;2;21;1;13;1;0;6
"Dublin City 02/004";"70 - 74 years";15;0;12;0;0;3;26;1;10;1;1;13
"Dublin City 02/004";"75 - 79 years";11;1;9;0;0;1;26;1;7;1;0;17
"Dublin City 02/004";"80 - 84 years";11;0;9;0;0;2;15;0;6;1;0;8
"Dublin City 02/004";"85 years and over";1;0;1;0;0;0;8;0;0;0;0;8
"Dublin City 02/005";"0 - 4 years";33;33;0;0;0;0;22;22;0;0;0;0
"Dublin City 02/005";"5 - 9 years";37;37;0;0;0;0;25;25;0;0;0;0
"Dublin City 02/005";"10 - 14 years";25;25;0;0;0;0;23;23;0;0;0;0
"Dublin City 02/005";"15 - 19 years";25;25;0;0;0;0;18;18;0;0;0;0
"Dublin City 02/005";"20 - 24 years";36;36;0;0;0;0;38;38;0;0;0;0
"Dublin City 02/005";"25 - 29 years";33;29;3;1;0;0;37;27;7;2;0;1
"Dublin City 02/005";"30 - 34 years";24;18;5;1;0;0;23;15;7;1;0;0
"Dublin City 02/005";"35 - 39 years";29;15;11;2;1;0;24;15;9;0;0;0
"Dublin City 02/005";"40 - 44 years";31;13;16;1;1;0;25;9;13;3;0;0
"Dublin City 02/005";"45 - 49 years";27;5;14;4;3;1;26;11;11;4;0;0
"Dublin City 02/005";"50 - 54 years";20;5;11;0;3;1;21;2;14;3;1;1
"Dublin City 02/005";"55 - 59 years";7;2;4;0;1;0;12;3;6;0;1;2
"Dublin City 02/005";"60 - 64 years";8;1;6;0;0;1;9;0;7;1;0;1
"Dublin City 02/005";"65 - 69 years";11;0;10;0;0;1;19;1;10;1;0;7
"Dublin City 02/005";"70 - 74 years";16;0;13;0;0;3;26;0;19;0;0;7
"Dublin City 02/005";"75 - 79 years";24;0;18;0;0;6;29;0;10;0;0;19
"Dublin City 02/005";"80 - 84 years";17;0;12;0;0;5;17;0;4;0;0;13
"Dublin City 02/005";"85 years and over";3;0;2;0;0;1;4;0;1;0;0;3
"Dublin City 02/006";"0 - 4 years";26;26;0;0;0;0;35;35;0;0;0;0
"Dublin City 02/006";"5 - 9 years";35;35;0;0;0;0;27;27;0;0;0;0
"Dublin City 02/006";"10 - 14 years";39;39;0;0;0;0;30;30;0;0;0;0
"Dublin City 02/006";"15 - 19 years";45;44;1;0;0;0;38;38;0;0;0;0
"Dublin City 02/006";"20 - 24 years";41;39;2;0;0;0;40;40;0;0;0;0
"Dublin City 02/006";"25 - 29 years";29;27;2;0;0;0;33;27;4;1;1;0
"Dublin City 02/006";"30 - 34 years";25;17;8;0;0;0;27;12;14;1;0;0
"Dublin City 02/006";"35 - 39 years";34;17;14;2;1;0;25;14;10;0;1;0
"Dublin City 02/006";"40 - 44 years";32;16;12;2;1;1;41;15;21;3;1;1
"Dublin City 02/006";"45 - 49 years";46;15;27;3;1;0;45;11;25;7;0;2
"Dublin City 02/006";"50 - 54 years";37;13;17;7;0;0;27;8;14;1;1;3
"Dublin City 02/006";"55 - 59 years";22;6;10;3;2;1;16;5;8;3;0;0
"Dublin City 02/006";"60 - 64 years";13;6;7;0;0;0;24;10;9;3;0;2
"Dublin City 02/006";"65 - 69 years";16;1;12;1;0;2;17;4;7;1;0;5
"Dublin City 02/006";"70 - 74 years";11;1;6;1;0;3;21;3;10;0;0;8
"Dublin City 02/006";"75 - 79 years";18;1;12;0;0;5;35;4;14;0;0;17
"Dublin City 02/006";"80 - 84 years";17;1;10;0;0;6;24;4;5;0;0;15
"Dublin City 02/006";"85 years and over";4;0;2;0;0;2;14;5;1;0;0;8
"Dublin City 02/007";"0 - 4 years";24;24;0;0;0;0;16;16;0;0;0;0
"Dublin City 02/007";"5 - 9 years";32;32;0;0;0;0;40;40;0;0;0;0
"Dublin City 02/007";"10 - 14 years";33;33;0;0;0;0;27;27;0;0;0;0
"Dublin City 02/007";"15 - 19 years";35;35;0;0;0;0;45;45;0;0;0;0
"Dublin City 02/007";"20 - 24 years";36;36;0;0;0;0;46;44;2;0;0;0
"Dublin City 02/007";"25 - 29 years";34;31;3;0;0;0;32;30;1;1;0;0
"Dublin City 02/007";"30 - 34 years";36;27;9;0;0;0;23;12;11;0;0;0
"Dublin City 02/007";"35 - 39 years";38;18;19;1;0;0;50;21;26;1;0;2
"Dublin City 02/007";"40 - 44 years";44;10;26;3;4;1;34;5;22;3;3;1
"Dublin City 02/007";"45 - 49 years";24;3;20;1;0;0;35;11;19;1;1;3
"Dublin City 02/007";"50 - 54 years";28;7;21;0;0;0;34;7;24;1;1;1
"Dublin City 02/007";"55 - 59 years";26;7;16;1;1;1;19;2;11;1;1;4
"Dublin City 02/007";"60 - 64 years";31;10;18;3;0;0;34;5;22;2;0;5
"Dublin City 02/007";"65 - 69 years";22;5;14;1;1;1;29;5;14;2;0;8
"Dublin City 02/007";"70 - 74 years";24;5;15;2;0;2;19;1;7;0;0;11
"Dublin City 02/007";"75 - 79 years";15;2;7;1;0;5;15;0;5;0;0;10
"Dublin City 02/007";"80 - 84 years";8;1;2;0;0;5;17;3;2;0;0;12
"Dublin City 02/007";"85 years and over";3;2;0;0;0;1;5;0;0;0;0;5
"Dublin City 02/008";"0 - 4 years";28;28;0;0;0;0;28;28;0;0;0;0
"Dublin City 02/008";"5 - 9 years";30;30;0;0;0;0;44;44;0;0;0;0
"Dublin City 02/008";"10 - 14 years";41;41;0;0;0;0;54;54;0;0;0;0
"Dublin City 02/008";"15 - 19 years";42;42;0;0;0;0;41;40;0;1;0;0
"Dublin City 02/008";"20 - 24 years";45;45;0;0;0;0;45;44;1;0;0;0
"Dublin City 02/008";"25 - 29 years";45;41;4;0;0;0;36;33;3;0;0;0
"Dublin City 02/008";"30 - 34 years";24;17;7;0;0;0;27;19;7;1;0;0
"Dublin City 02/008";"35 - 39 years";36;18;14;3;0;1;46;26;17;3;0;0
"Dublin City 02/008";"40 - 44 years";30;9;18;2;1;0;40;13;18;6;3;0
"Dublin City 02/008";"45 - 49 years";27;4;17;4;2;0;38;13;19;3;2;1
"Dublin City 02/008";"50 - 54 years";25;6;16;3;0;0;27;4;14;5;3;1
"Dublin City 02/008";"55 - 59 years";26;7;14;2;1;2;32;8;15;3;1;5
"Dublin City 02/008";"60 - 64 years";15;0;13;1;1;0;17;1;12;1;0;3
"Dublin City 02/008";"65 - 69 years";22;1;19;1;0;1;28;0;15;3;0;10
"Dublin City 02/008";"70 - 74 years";11;0;5;2;0;4;23;0;8;0;0;15
"Dublin City 02/008";"75 - 79 years";15;0;8;0;0;7;32;1;10;1;0;20
"Dublin City 02/008";"80 - 84 years";12;1;9;0;0;2;17;1;6;0;0;10
"Dublin City 02/008";"85 years and over";7;0;4;0;0;3;11;1;0;0;0;10
"Dublin City 02/009";"0 - 4 years";25;25;0;0;0;0;35;35;0;0;0;0
"Dublin City 02/009";"5 - 9 years";45;45;0;0;0;0;55;55;0;0;0;0
"Dublin City 02/009";"10 - 14 years";55;55;0;0;0;0;58;58;0;0;0;0
"Dublin City 02/009";"15 - 19 years";50;50;0;0;0;0;42;42;0;0;0;0
"Dublin City 02/009";"20 - 24 years";39;39;0;0;0;0;33;32;1;0;0;0
"Dublin City 02/009";"25 - 29 years";24;23;1;0;0;0;34;30;3;1;0;0
"Dublin City 02/009";"30 - 34 years";18;15;3;0;0;0;28;25;3;0;0;0
"Dublin City 02/009";"35 - 39 years";41;25;11;2;2;1;43;25;12;6;0;0
"Dublin City 02/009";"40 - 44 years";48;16;27;2;3;0;73;32;32;5;1;3
"Dublin City 02/009";"45 - 49 years";37;10;16;7;2;2;28;8;9;5;2;4
"Dublin City 02/009";"50 - 54 years";15;6;3;4;2;0;17;7;4;3;3;0
"Dublin City 02/009";"55 - 59 years";4;2;2;0;0;0;4;1;2;1;0;0
"Dublin City 02/009";"60 - 64 years";7;1;5;0;1;0;9;1;6;0;1;1
"Dublin City 02/009";"65 - 69 years";17;1;15;0;0;1;46;0;32;1;0;13
"Dublin City 02/009";"70 - 74 years";51;0;42;2;0;7;46;1;31;3;0;11
"Dublin City 02/009";"75 - 79 years";21;0;16;0;0;5;35;0;14;0;0;21
"Dublin City 02/009";"80 - 84 years";11;0;9;0;0;2;11;0;4;0;0;7
"Dublin City 02/009";"85 years and over";4;1;2;0;0;1;6;0;1;0;0;5
"Dublin City 02/010";"0 - 4 years";28;28;0;0;0;0;21;21;0;0;0;0
"Dublin City 02/010";"5 - 9 years";32;32;0;0;0;0;16;16;0;0;0;0
"Dublin City 02/010";"10 - 14 years";24;24;0;0;0;0;14;14;0;0;0;0
"Dublin City 02/010";"15 - 19 years";26;26;0;0;0;0;33;33;0;0;0;0
"Dublin City 02/010";"20 - 24 years";29;28;1;0;0;0;39;38;1;0;0;0
"Dublin City 02/010";"25 - 29 years";21;20;1;0;0;0;29;22;7;0;0;0
"Dublin City 02/010";"30 - 34 years";47;33;14;0;0;0;35;19;13;2;1;0
"Dublin City 02/010";"35 - 39 years";37;16;18;2;1;0;37;19;15;1;2;0
"Dublin City 02/010";"40 - 44 years";42;21;18;2;1;0;44;16;22;2;4;0
"Dublin City 02/010";"45 - 49 years";42;13;24;4;1;0;25;5;15;1;3;1
"Dublin City 02/010";"50 - 54 years";25;10;14;0;0;1;23;4;13;3;1;2
"Dublin City 02/010";"55 - 59 years";30;8;21;1;0;0;28;4;21;2;1;0
"Dublin City 02/010";"60 - 64 years";17;2;13;1;0;1;27;2;22;2;0;1
"Dublin City 02/010";"65 - 69 years";38;3;34;0;0;1;36;3;24;0;0;9
"Dublin City 02/010";"70 - 74 years";25;2;19;1;0;3;34;2;20;1;0;11
"Dublin City 02/010";"75 - 79 years";19;0;15;0;0;4;21;3;6;0;1;11
"Dublin City 02/010";"80 - 84 years";5;0;2;0;0;3;18;1;2;0;0;15
"Dublin City 02/010";"85 years and over";1;0;0;0;0;1;12;1;0;0;0;11
"Dublin City 02/011";"0 - 4 years";20;20;0;0;0;0;19;19;0;0;0;0
"Dublin City 02/011";"5 - 9 years";23;23;0;0;0;0;16;16;0;0;0;0
"Dublin City 02/011";"10 - 14 years";20;20;0;0;0;0;19;19;0;0;0;0
"Dublin City 02/011";"15 - 19 years";20;20;0;0;0;0;33;33;0;0;0;0
"Dublin City 02/011";"20 - 24 years";33;33;0;0;0;0;26;24;2;0;0;0
"Dublin City 02/011";"25 - 29 years";37;31;5;0;1;0;30;27;3;0;0;0
"Dublin City 02/011";"30 - 34 years";25;12;13;0;0;0;26;11;15;0;0;0
"Dublin City 02/011";"35 - 39 years";33;7;23;2;1;0;22;7;15;0;0;0
"Dublin City 02/011";"40 - 44 years";51;21;26;3;1;0;36;8;24;3;0;1
"Dublin City 02/011";"45 - 49 years";26;12;10;0;2;2;39;11;23;3;2;0
"Dublin City 02/011";"50 - 54 years";32;6;23;2;0;1;28;8;18;1;1;0
"Dublin City 02/011";"55 - 59 years";21;2;17;0;0;2;19;3;14;1;0;1
"Dublin City 02/011";"60 - 64 years";15;2;10;3;0;0;13;1;10;0;1;1
"Dublin City 02/011";"65 - 69 years";14;2;12;0;0;0;16;2;10;1;0;3
"Dublin City 02/011";"70 - 74 years";20;0;12;0;0;8;29;1;15;0;0;13
"Dublin City 02/011";"75 - 79 years";30;3;19;0;0;8;47;0;21;0;0;26
"Dublin City 02/011";"80 - 84 years";19;0;14;0;0;5;25;1;7;1;0;16
"Dublin City 02/011";"85 years and over";4;0;1;0;0;3;9;2;1;0;0;6
"Dublin City 02/012";"0 - 4 years";27;27;0;0;0;0;15;15;0;0;0;0
"Dublin City 02/012";"5 - 9 years";19;19;0;0;0;0;12;12;0;0;0;0
"Dublin City 02/012";"10 - 14 years";32;32;0;0;0;0;27;27;0;0;0;0
"Dublin City 02/012";"15 - 19 years";32;32;0;0;0;0;31;31;0;0;0;0
"Dublin City 02/012";"20 - 24 years";44;44;0;0;0;0;33;33;0;0;0;0
"Dublin City 02/012";"25 - 29 years";20;19;1;0;0;0;21;17;4;0;0;0
"Dublin City 02/012";"30 - 34 years";36;24;11;1;0;0;32;20;12;0;0;0
"Dublin City 02/012";"35 - 39 years";35;16;18;1;0;0;27;11;14;0;2;0
"Dublin City 02/012";"40 - 44 years";28;5;21;1;1;0;47;13;29;4;0;1
"Dublin City 02/012";"45 - 49 years";45;9;29;5;2;0;45;8;32;3;0;2
"Dublin City 02/012";"50 - 54 years";38;8;26;2;1;1;25;8;14;2;0;1
"Dublin City 02/012";"55 - 59 years";18;3;14;0;0;1;17;3;11;1;1;1
"Dublin City 02/012";"60 - 64 years";11;0;9;0;0;2;17;5;8;0;0;4
"Dublin City 02/012";"65 - 69 years";11;2;9;0;0;0;20;1;13;0;0;6
"Dublin City 02/012";"70 - 74 years";17;1;13;0;0;3;30;2;16;0;0;12
"Dublin City 02/012";"75 - 79 years";17;2;11;2;0;2;29;1;10;0;0;18
"Dublin City 02/012";"80 - 84 years";16;0;14;0;0;2;27;1;6;0;0;20
"Dublin City 02/012";"85 years and over";11;0;6;0;0;5;30;1;6;0;0;23
"Dublin City 02/013";"0 - 4 years";22;22;0;0;0;0;13;13;0;0;0;0
"Dublin City 02/013";"5 - 9 years";23;23;0;0;0;0;13;13;0;0;0;0
"Dublin City 02/013";"10 - 14 years";26;26;0;0;0;0;15;15;0;0;0;0
"Dublin City 02/013";"15 - 19 years";22;22;0;0;0;0;35;35;0;0;0;0
"Dublin City 02/013";"20 - 24 years";31;31;0;0;0;0;28;27;1;0;0;0
"Dublin City 02/013";"25 - 29 years";32;28;4;0;0;0;26;24;2;0;0;0
"Dublin City 02/013";"30 - 34 years";26;20;5;0;1;0;24;12;11;0;0;1
"Dublin City 02/013";"35 - 39 years";33;19;13;0;1;0;33;15;12;3;3;0
"Dublin City 02/013";"40 - 44 years";28;9;15;2;2;0;42;17;19;5;1;0
"Dublin City 02/013";"45 - 49 years";33;5;26;1;1;0;31;7;21;2;1;0
"Dublin City 02/013";"50 - 54 years";34;6;23;1;3;1;26;1;22;3;0;0
"Dublin City 02/013";"55 - 59 years";20;0;19;0;1;0;21;1;17;0;1;2
"Dublin City 02/013";"60 - 64 years";20;5;11;3;0;1;23;1;18;2;0;2
"Dublin City 02/013";"65 - 69 years";43;0;37;1;0;5;70;0;46;4;1;19
"Dublin City 02/013";"70 - 74 years";30;0;26;0;1;3;35;3;18;0;0;14
"Dublin City 02/013";"75 - 79 years";18;1;10;1;0;6;19;1;7;0;0;11
"Dublin City 02/013";"80 - 84 years";16;0;14;0;0;2;12;2;5;0;0;5
"Dublin City 02/013";"85 years and over";0;0;0;0;0;0;7;0;0;0;0;7
"Dublin City 02/014";"0 - 4 years";15;15;0;0;0;0;29;29;0;0;0;0
"Dublin City 02/014";"5 - 9 years";20;20;0;0;0;0;23;23;0;0;0;0
"Dublin City 02/014";"10 - 14 years";29;29;0;0;0;0;23;23;0;0;0;0
"Dublin City 02/014";"15 - 19 years";33;33;0;0;0;0;27;27;0;0;0;0
"Dublin City 02/014";"20 - 24 years";35;33;2;0;0;0;42;41;1;0;0;0
"Dublin City 02/014";"25 - 29 years";32;30;2;0;0;0;34;31;3;0;0;0
"Dublin City 02/014";"30 - 34 years";23;16;5;1;1;0;26;11;15;0;0;0
"Dublin City 02/014";"35 - 39 years";37;13;21;2;1;0;32;12;18;1;1;0
"Dublin City 02/014";"40 - 44 years";47;22;24;1;0;0;46;11;34;1;0;0
"Dublin City 02/014";"45 - 49 years";39;7;31;1;0;0;33;6;23;1;2;1
"Dublin City 02/014";"50 - 54 years";20;6;11;2;1;0;24;2;15;5;2;0
"Dublin City 02/014";"55 - 59 years";14;2;12;0;0;0;22;1;17;2;1;1
"Dublin City 02/014";"60 - 64 years";27;1;23;1;1;1;20;3;14;0;1;2
"Dublin City 02/014";"65 - 69 years";29;0;27;0;0;2;49;1;36;3;0;9
"Dublin City 02/014";"70 - 74 years";40;0;33;0;0;7;49;0;31;1;0;17
"Dublin City 02/014";"75 - 79 years";26;2;19;0;0;5;34;2;18;1;0;13
"Dublin City 02/014";"80 - 84 years";15;0;13;0;0;2;11;0;2;1;0;8
"Dublin City 02/014";"85 years and over";5;0;4;1;0;0;5;0;2;0;0;3
"Dublin City 02/015";"0 - 4 years";23;23;0;0;0;0;21;21;0;0;0;0
"Dublin City 02/015";"5 - 9 years";19;19;0;0;0;0;25;25;0;0;0;0
"Dublin City 02/015";"10 - 14 years";54;54;0;0;0;0;46;46;0;0;0;0
"Dublin City 02/015";"15 - 19 years";56;55;0;0;1;0;62;62;0;0;0;0
"Dublin City 02/015";"20 - 24 years";53;52;0;1;0;0;62;61;1;0;0;0
"Dublin City 02/015";"25 - 29 years";40;35;5;0;0;0;26;20;6;0;0;0
"Dublin City 02/015";"30 - 34 years";30;11;19;0;0;0;33;15;17;1;0;0
"Dublin City 02/015";"35 - 39 years";20;9;11;0;0;0;24;12;11;0;1;0
"Dublin City 02/015";"40 - 44 years";32;6;22;2;1;1;52;10;33;6;2;1
"Dublin City 02/015";"45 - 49 years";59;4;52;1;1;1;68;5;56;2;3;2
"Dublin City 02/015";"50 - 54 years";40;1;36;1;1;1;44;1;34;3;3;3
"Dublin City 02/015";"55 - 59 years";27;0;23;3;0;1;17;4;12;0;0;1
"Dublin City 02/015";"60 - 64 years";25;2;22;1;0;0;32;1;27;2;0;2
"Dublin City 02/015";"65 - 69 years";24;0;24;0;0;0;34;2;27;2;1;2
"Dublin City 02/015";"70 - 74 years";31;0;29;0;1;1;28;0;18;2;0;8
"Dublin City 02/015";"75 - 79 years";11;0;10;1;0;0;14;0;10;0;0;4
