"Theme 1 - 2 : Persons by sex, age and marital status, 2006";;;;;;;;;;;;;
"Geographic Area";"Age Group";"Males - Total";"Males - Single";"Males - Married";"Males - Separated";"Males - Divorced";"Males - Widowed";"Females - Total";"Females - Single";"Females - Married";"Females - Separated";"Females - Divorced";"Females - Widowed"
"Dublin City 02/168";"50 - 54 years";9;0;7;1;0;1;12;4;7;1;0;0
"Dublin City 02/168";"55 - 59 years";12;0;11;0;1;0;10;2;8;0;0;0
"Dublin City 02/168";"60 - 64 years";7;1;4;2;0;0;11;5;4;1;0;1
"Dublin City 02/168";"65 - 69 years";5;2;3;0;0;0;8;3;3;1;0;1
"Dublin City 02/168";"70 - 74 years";7;6;1;0;0;0;4;2;1;0;1;0
"Dublin City 02/168";"75 - 79 years";5;1;3;0;0;1;3;1;0;0;0;2
"Dublin City 02/168";"80 - 84 years";1;1;0;0;0;0;9;4;1;0;0;4
"Dublin City 02/168";"85 years and over";1;1;0;0;0;0;18;9;3;0;0;6
"Dublin City 02/169";"0 - 4 years";14;14;0;0;0;0;6;6;0;0;0;0
"Dublin City 02/169";"5 - 9 years";5;5;0;0;0;0;1;1;0;0;0;0
"Dublin City 02/169";"10 - 14 years";4;4;0;0;0;0;6;6;0;0;0;0
"Dublin City 02/169";"15 - 19 years";8;8;0;0;0;0;21;20;1;0;0;0
"Dublin City 02/169";"20 - 24 years";48;46;2;0;0;0;62;58;4;0;0;0
"Dublin City 02/169";"25 - 29 years";71;59;11;1;0;0;75;65;10;0;0;0
"Dublin City 02/169";"30 - 34 years";47;32;12;0;2;1;51;30;15;3;3;0
"Dublin City 02/169";"35 - 39 years";26;14;11;0;1;0;19;14;5;0;0;0
"Dublin City 02/169";"40 - 44 years";21;10;8;2;1;0;19;9;9;1;0;0
"Dublin City 02/169";"45 - 49 years";17;5;10;1;1;0;18;5;10;1;1;1
"Dublin City 02/169";"50 - 54 years";12;4;7;1;0;0;13;8;2;0;1;2
"Dublin City 02/169";"55 - 59 years";7;4;3;0;0;0;10;3;5;0;0;2
"Dublin City 02/169";"60 - 64 years";6;1;3;2;0;0;9;3;4;1;0;1
"Dublin City 02/169";"65 - 69 years";7;5;1;0;1;0;2;1;0;0;0;1
"Dublin City 02/169";"70 - 74 years";1;1;0;0;0;0;2;0;1;0;0;1
"Dublin City 02/169";"75 - 79 years";6;3;3;0;0;0;5;1;1;1;0;2
"Dublin City 02/169";"80 - 84 years";3;0;2;0;0;1;5;1;2;0;0;2
"Dublin City 02/169";"85 years and over";0;0;0;0;0;0;1;0;0;0;0;1
"Dublin City 02/170";"0 - 4 years";6;6;0;0;0;0;15;15;0;0;0;0
"Dublin City 02/170";"5 - 9 years";9;9;0;0;0;0;14;14;0;0;0;0
"Dublin City 02/170";"10 - 14 years";3;3;0;0;0;0;5;5;0;0;0;0
"Dublin City 02/170";"15 - 19 years";9;9;0;0;0;0;14;14;0;0;0;0
"Dublin City 02/170";"20 - 24 years";47;47;0;0;0;0;55;51;4;0;0;0
"Dublin City 02/170";"25 - 29 years";77;71;5;0;0;1;60;51;6;1;1;1
"Dublin City 02/170";"30 - 34 years";36;25;10;0;0;1;28;19;9;0;0;0
"Dublin City 02/170";"35 - 39 years";29;17;11;0;1;0;25;15;8;2;0;0
"Dublin City 02/170";"40 - 44 years";25;10;12;1;2;0;17;5;12;0;0;0
"Dublin City 02/170";"45 - 49 years";9;2;6;1;0;0;5;3;1;0;0;1
"Dublin City 02/170";"50 - 54 years";14;8;5;0;1;0;14;3;5;3;2;1
"Dublin City 02/170";"55 - 59 years";7;3;3;1;0;0;2;1;1;0;0;0
"Dublin City 02/170";"60 - 64 years";4;0;3;1;0;0;3;0;3;0;0;0
"Dublin City 02/170";"65 - 69 years";3;0;2;0;0;1;5;2;1;1;0;1
"Dublin City 02/170";"70 - 74 years";2;1;1;0;0;0;5;3;1;1;0;0
"Dublin City 02/170";"75 - 79 years";1;0;1;0;0;0;7;0;3;0;0;4
"Dublin City 02/170";"80 - 84 years";3;1;2;0;0;0;4;1;1;0;0;2
"Dublin City 02/170";"85 years and over";2;1;0;0;0;1;5;0;1;0;0;4
"Dublin City 02/171";"0 - 4 years";13;13;0;0;0;0;12;12;0;0;0;0
"Dublin City 02/171";"5 - 9 years";8;8;0;0;0;0;12;12;0;0;0;0
"Dublin City 02/171";"10 - 14 years";12;12;0;0;0;0;11;11;0;0;0;0
"Dublin City 02/171";"15 - 19 years";10;9;1;0;0;0;12;12;0;0;0;0
"Dublin City 02/171";"20 - 24 years";36;36;0;0;0;0;31;30;1;0;0;0
"Dublin City 02/171";"25 - 29 years";60;51;8;0;0;1;58;50;7;0;1;0
"Dublin City 02/171";"30 - 34 years";37;26;10;0;0;1;38;24;13;0;1;0
"Dublin City 02/171";"35 - 39 years";26;14;11;0;1;0;17;8;9;0;0;0
"Dublin City 02/171";"40 - 44 years";16;5;11;0;0;0;15;5;9;0;1;0
"Dublin City 02/171";"45 - 49 years";21;12;9;0;0;0;13;4;9;0;0;0
"Dublin City 02/171";"50 - 54 years";17;6;10;0;1;0;19;5;11;2;1;0
"Dublin City 02/171";"55 - 59 years";11;2;6;0;2;1;14;5;6;2;1;0
"Dublin City 02/171";"60 - 64 years";6;1;4;0;0;1;11;7;4;0;0;0
"Dublin City 02/171";"65 - 69 years";7;4;3;0;0;0;9;3;2;2;0;2
"Dublin City 02/171";"70 - 74 years";2;0;2;0;0;0;8;4;2;0;0;2
"Dublin City 02/171";"75 - 79 years";4;2;2;0;0;0;2;1;1;0;0;0
"Dublin City 02/171";"80 - 84 years";0;0;0;0;0;0;7;3;0;0;0;4
"Dublin City 02/171";"85 years and over";0;0;0;0;0;0;3;2;0;0;0;1
"Dublin City 02/172";"0 - 4 years";12;12;0;0;0;0;4;4;0;0;0;0
"Dublin City 02/172";"5 - 9 years";3;3;0;0;0;0;6;6;0;0;0;0
"Dublin City 02/172";"10 - 14 years";2;2;0;0;0;0;4;4;0;0;0;0
"Dublin City 02/172";"15 - 19 years";7;7;0;0;0;0;14;14;0;0;0;0
"Dublin City 02/172";"20 - 24 years";35;33;2;0;0;0;40;39;1;0;0;0
"Dublin City 02/172";"25 - 29 years";82;71;9;0;0;2;58;50;8;0;0;0
"Dublin City 02/172";"30 - 34 years";37;26;9;0;2;0;36;27;9;0;0;0
"Dublin City 02/172";"35 - 39 years";27;17;9;0;0;1;13;10;3;0;0;0
"Dublin City 02/172";"40 - 44 years";11;7;4;0;0;0;16;8;5;2;1;0
"Dublin City 02/172";"45 - 49 years";11;6;4;1;0;0;14;3;9;1;1;0
"Dublin City 02/172";"50 - 54 years";11;1;7;1;1;1;8;4;4;0;0;0
"Dublin City 02/172";"55 - 59 years";9;3;5;1;0;0;11;5;3;1;2;0
"Dublin City 02/172";"60 - 64 years";2;1;1;0;0;0;4;1;1;0;1;1
"Dublin City 02/172";"65 - 69 years";5;1;3;0;1;0;5;1;2;1;0;1
"Dublin City 02/172";"70 - 74 years";2;1;1;0;0;0;3;0;0;0;0;3
"Dublin City 02/172";"75 - 79 years";3;1;2;0;0;0;10;3;3;0;0;4
"Dublin City 02/172";"80 - 84 years";2;0;2;0;0;0;4;1;1;0;0;2
"Dublin City 02/172";"85 years and over";1;0;1;0;0;0;3;0;1;0;0;2
"Dublin City 02/173";"0 - 4 years";14;14;0;0;0;0;25;25;0;0;0;0
"Dublin City 02/173";"5 - 9 years";9;9;0;0;0;0;7;7;0;0;0;0
"Dublin City 02/173";"10 - 14 years";5;5;0;0;0;0;8;8;0;0;0;0
"Dublin City 02/173";"15 - 19 years";8;8;0;0;0;0;10;10;0;0;0;0
"Dublin City 02/173";"20 - 24 years";29;29;0;0;0;0;31;31;0;0;0;0
"Dublin City 02/173";"25 - 29 years";42;40;2;0;0;0;48;42;5;0;0;1
"Dublin City 02/173";"30 - 34 years";26;16;9;1;0;0;27;18;7;1;0;1
"Dublin City 02/173";"35 - 39 years";21;9;10;1;1;0;14;2;12;0;0;0
"Dublin City 02/173";"40 - 44 years";17;4;13;0;0;0;19;6;13;0;0;0
"Dublin City 02/173";"45 - 49 years";14;5;8;0;0;1;9;2;6;0;1;0
"Dublin City 02/173";"50 - 54 years";11;2;8;0;1;0;18;6;8;3;1;0
"Dublin City 02/173";"55 - 59 years";11;4;6;1;0;0;12;2;5;4;0;1
"Dublin City 02/173";"60 - 64 years";7;1;4;1;1;0;7;0;6;0;0;1
"Dublin City 02/173";"65 - 69 years";4;0;4;0;0;0;2;0;1;0;0;1
"Dublin City 02/173";"70 - 74 years";2;0;1;0;0;1;5;4;0;0;0;1
"Dublin City 02/173";"75 - 79 years";3;0;2;0;0;1;4;2;1;0;0;1
"Dublin City 02/173";"80 - 84 years";4;2;1;0;0;1;4;0;2;0;0;2
"Dublin City 02/173";"85 years and over";2;1;0;0;0;1;2;2;0;0;0;0
"Dublin City 02/174";"0 - 4 years";14;14;0;0;0;0;16;16;0;0;0;0
"Dublin City 02/174";"5 - 9 years";19;19;0;0;0;0;17;17;0;0;0;0
"Dublin City 02/174";"10 - 14 years";16;16;0;0;0;0;17;17;0;0;0;0
"Dublin City 02/174";"15 - 19 years";13;13;0;0;0;0;18;18;0;0;0;0
"Dublin City 02/174";"20 - 24 years";26;25;1;0;0;0;22;21;1;0;0;0
"Dublin City 02/174";"25 - 29 years";33;32;1;0;0;0;37;33;4;0;0;0
"Dublin City 02/174";"30 - 34 years";21;17;4;0;0;0;22;17;5;0;0;0
"Dublin City 02/174";"35 - 39 years";23;11;10;1;1;0;21;9;12;0;0;0
"Dublin City 02/174";"40 - 44 years";33;10;20;3;0;0;22;3;17;2;0;0
"Dublin City 02/174";"45 - 49 years";19;6;13;0;0;0;22;7;12;2;1;0
"Dublin City 02/174";"50 - 54 years";16;1;13;0;1;1;19;6;12;0;1;0
"Dublin City 02/174";"55 - 59 years";17;8;7;2;0;0;13;4;6;1;0;2
"Dublin City 02/174";"60 - 64 years";9;1;6;1;1;0;18;5;7;2;1;3
"Dublin City 02/174";"65 - 69 years";3;0;2;0;0;1;11;2;8;1;0;0
"Dublin City 02/174";"70 - 74 years";7;2;4;0;0;1;12;0;4;1;0;7
"Dublin City 02/174";"75 - 79 years";7;1;4;1;0;1;10;3;3;0;0;4
"Dublin City 02/174";"80 - 84 years";2;0;2;0;0;0;10;4;0;0;0;6
"Dublin City 02/174";"85 years and over";2;0;1;0;0;1;8;3;0;0;0;5
"Dublin City 02/175";"0 - 4 years";13;13;0;0;0;0;14;14;0;0;0;0
"Dublin City 02/175";"5 - 9 years";16;16;0;0;0;0;10;10;0;0;0;0
"Dublin City 02/175";"10 - 14 years";11;11;0;0;0;0;7;7;0;0;0;0
"Dublin City 02/175";"15 - 19 years";9;9;0;0;0;0;7;7;0;0;0;0
"Dublin City 02/175";"20 - 24 years";12;12;0;0;0;0;12;11;1;0;0;0
"Dublin City 02/175";"25 - 29 years";32;29;3;0;0;0;35;33;2;0;0;0
"Dublin City 02/175";"30 - 34 years";24;18;6;0;0;0;11;7;4;0;0;0
"Dublin City 02/175";"35 - 39 years";17;7;8;1;1;0;16;2;13;0;1;0
"Dublin City 02/175";"40 - 44 years";18;3;14;1;0;0;18;3;14;0;1;0
"Dublin City 02/175";"45 - 49 years";14;2;11;0;1;0;17;3;12;1;1;0
"Dublin City 02/175";"50 - 54 years";14;4;9;1;0;0;9;2;6;0;0;1
"Dublin City 02/175";"55 - 59 years";12;7;5;0;0;0;10;2;6;0;2;0
"Dublin City 02/175";"60 - 64 years";8;1;5;0;2;0;5;1;3;0;1;0
"Dublin City 02/175";"65 - 69 years";1;1;0;0;0;0;3;0;2;0;0;1
"Dublin City 02/175";"70 - 74 years";8;4;3;0;0;1;3;1;1;0;0;1
"Dublin City 02/175";"75 - 79 years";2;1;1;0;0;0;3;3;0;0;0;0
"Dublin City 02/175";"80 - 84 years";0;0;0;0;0;0;1;1;0;0;0;0
"Dublin City 02/175";"85 years and over";1;1;0;0;0;0;1;1;0;0;0;0
"Dublin City 02/176";"0 - 4 years";18;18;0;0;0;0;10;10;0;0;0;0
"Dublin City 02/176";"5 - 9 years";16;16;0;0;0;0;12;12;0;0;0;0
"Dublin City 02/176";"10 - 14 years";8;8;0;0;0;0;8;8;0;0;0;0
"Dublin City 02/176";"15 - 19 years";7;7;0;0;0;0;7;7;0;0;0;0
"Dublin City 02/176";"20 - 24 years";23;23;0;0;0;0;25;25;0;0;0;0
"Dublin City 02/176";"25 - 29 years";27;23;4;0;0;0;30;26;4;0;0;0
"Dublin City 02/176";"30 - 34 years";27;20;7;0;0;0;17;10;7;0;0;0
"Dublin City 02/176";"35 - 39 years";14;5;7;1;0;1;16;4;12;0;0;0
"Dublin City 02/176";"40 - 44 years";17;5;9;0;0;3;15;7;7;0;1;0
"Dublin City 02/176";"45 - 49 years";16;7;8;0;1;0;16;4;9;0;2;1
"Dublin City 02/176";"50 - 54 years";14;9;3;1;1;0;12;6;3;2;1;0
"Dublin City 02/176";"55 - 59 years";11;3;6;0;2;0;8;2;6;0;0;0
"Dublin City 02/176";"60 - 64 years";8;4;4;0;0;0;10;4;3;0;0;3
"Dublin City 02/176";"65 - 69 years";2;1;1;0;0;0;6;3;1;1;0;1
"Dublin City 02/176";"70 - 74 years";2;1;1;0;0;0;6;4;0;0;0;2
"Dublin City 02/176";"75 - 79 years";0;0;0;0;0;0;4;3;0;0;0;1
"Dublin City 02/176";"80 - 84 years";0;0;0;0;0;0;7;4;0;0;0;3
"Dublin City 02/176";"85 years and over";1;0;1;0;0;0;3;2;1;0;0;0
"Dublin City 02/177";"0 - 4 years";11;11;0;0;0;0;14;14;0;0;0;0
"Dublin City 02/177";"5 - 9 years";10;10;0;0;0;0;8;8;0;0;0;0
"Dublin City 02/177";"10 - 14 years";8;8;0;0;0;0;9;9;0;0;0;0
"Dublin City 02/177";"15 - 19 years";9;9;0;0;0;0;7;7;0;0;0;0
"Dublin City 02/177";"20 - 24 years";33;33;0;0;0;0;42;42;0;0;0;0
"Dublin City 02/177";"25 - 29 years";41;38;3;0;0;0;47;41;6;0;0;0
"Dublin City 02/177";"30 - 34 years";14;5;7;1;1;0;20;13;6;0;1;0
"Dublin City 02/177";"35 - 39 years";13;8;5;0;0;0;17;7;7;1;2;0
"Dublin City 02/177";"40 - 44 years";17;1;14;2;0;0;22;8;13;1;0;0
"Dublin City 02/177";"45 - 49 years";15;4;10;0;1;0;16;7;6;1;2;0
"Dublin City 02/177";"50 - 54 years";7;1;4;1;1;0;13;5;8;0;0;0
"Dublin City 02/177";"55 - 59 years";15;5;9;1;0;0;13;2;8;1;2;0
"Dublin City 02/177";"60 - 64 years";10;2;8;0;0;0;7;2;3;1;0;1
"Dublin City 02/177";"65 - 69 years";2;0;2;0;0;0;5;2;1;0;0;2
"Dublin City 02/177";"70 - 74 years";5;0;4;1;0;0;2;0;0;1;0;1
"Dublin City 02/177";"75 - 79 years";3;1;0;0;0;2;6;1;2;0;0;3
"Dublin City 02/177";"80 - 84 years";1;0;1;0;0;0;1;0;0;0;0;1
"Dublin City 02/177";"85 years and over";0;0;0;0;0;0;4;0;0;0;0;4
"Dublin City 02/178";"0 - 4 years";16;16;0;0;0;0;29;29;0;0;0;0
"Dublin City 02/178";"5 - 9 years";14;14;0;0;0;0;11;11;0;0;0;0
"Dublin City 02/178";"10 - 14 years";13;13;0;0;0;0;14;14;0;0;0;0
"Dublin City 02/178";"15 - 19 years";15;15;0;0;0;0;25;25;0;0;0;0
"Dublin City 02/178";"20 - 24 years";30;29;1;0;0;0;51;49;2;0;0;0
"Dublin City 02/178";"25 - 29 years";30;28;2;0;0;0;26;25;1;0;0;0
"Dublin City 02/178";"30 - 34 years";17;11;6;0;0;0;16;9;7;0;0;0
"Dublin City 02/178";"35 - 39 years";22;11;11;0;0;0;18;3;15;0;0;0
"Dublin City 02/178";"40 - 44 years";18;3;13;2;0;0;20;3;17;0;0;0
"Dublin City 02/178";"45 - 49 years";22;4;15;2;1;0;17;1;15;0;0;1
"Dublin City 02/178";"50 - 54 years";20;3;15;1;1;0;17;1;12;0;4;0
"Dublin City 02/178";"55 - 59 years";17;2;13;0;1;1;19;5;11;0;0;3
"Dublin City 02/178";"60 - 64 years";16;4;11;1;0;0;14;1;10;0;2;1
"Dublin City 02/178";"65 - 69 years";3;1;2;0;0;0;2;0;0;0;0;2
"Dublin City 02/178";"70 - 74 years";6;0;5;0;0;1;8;0;2;0;0;6
"Dublin City 02/178";"75 - 79 years";4;0;3;0;0;1;14;6;2;0;0;6
"Dublin City 02/178";"80 - 84 years";3;1;1;0;0;1;19;5;3;0;0;11
"Dublin City 02/178";"85 years and over";6;0;2;0;0;4;21;7;2;0;0;12
"Dublin City 02/179";"0 - 4 years";21;21;0;0;0;0;17;17;0;0;0;0
"Dublin City 02/179";"5 - 9 years";21;21;0;0;0;0;29;29;0;0;0;0
"Dublin City 02/179";"10 - 14 years";22;22;0;0;0;0;27;27;0;0;0;0
"Dublin City 02/179";"15 - 19 years";26;26;0;0;0;0;22;22;0;0;0;0
"Dublin City 02/179";"20 - 24 years";40;40;0;0;0;0;26;26;0;0;0;0
"Dublin City 02/179";"25 - 29 years";24;24;0;0;0;0;30;28;2;0;0;0
"Dublin City 02/179";"30 - 34 years";23;17;6;0;0;0;22;17;5;0;0;0
"Dublin City 02/179";"35 - 39 years";13;5;7;1;0;0;10;2;8;0;0;0
"Dublin City 02/179";"40 - 44 years";27;5;22;0;0;0;32;3;28;0;1;0
"Dublin City 02/179";"45 - 49 years";26;6;20;0;0;0;30;6;23;0;1;0
"Dublin City 02/179";"50 - 54 years";37;4;29;0;3;1;35;5;27;2;1;0
"Dublin City 02/179";"55 - 59 years";22;4;18;0;0;0;18;4;12;0;0;2
"Dublin City 02/179";"60 - 64 years";12;2;7;1;1;1;16;2;11;2;1;0
"Dublin City 02/179";"65 - 69 years";12;0;12;0;0;0;17;2;13;0;0;2
"Dublin City 02/179";"70 - 74 years";15;0;14;0;1;0;18;3;13;0;0;2
"Dublin City 02/179";"75 - 79 years";13;1;12;0;0;0;17;2;10;0;0;5
"Dublin City 02/179";"80 - 84 years";5;0;4;0;0;1;12;1;2;0;0;9
"Dublin City 02/179";"85 years and over";4;0;3;0;0;1;8;1;1;0;0;6
"Dublin City 02/180";"0 - 4 years";22;22;0;0;0;0;15;15;0;0;0;0
"Dublin City 02/180";"5 - 9 years";18;18;0;0;0;0;19;19;0;0;0;0
"Dublin City 02/180";"10 - 14 years";18;18;0;0;0;0;12;12;0;0;0;0
"Dublin City 02/180";"15 - 19 years";18;18;0;0;0;0;37;37;0;0;0;0
"Dublin City 02/180";"20 - 24 years";36;36;0;0;0;0;39;39;0;0;0;0
"Dublin City 02/180";"25 - 29 years";36;34;2;0;0;0;44;40;4;0;0;0
"Dublin City 02/180";"30 - 34 years";31;26;5;0;0;0;30;20;8;1;1;0
"Dublin City 02/180";"35 - 39 years";17;7;10;0;0;0;26;11;13;1;1;0
"Dublin City 02/180";"40 - 44 years";20;5;14;1;0;0;17;4;13;0;0;0
"Dublin City 02/180";"45 - 49 years";18;7;11;0;0;0;25;7;16;1;0;1
"Dublin City 02/180";"50 - 54 years";21;2;15;1;3;0;28;5;20;1;1;1
"Dublin City 02/180";"55 - 59 years";21;2;15;2;2;0;20;4;14;2;0;0
"Dublin City 02/180";"60 - 64 years";21;4;14;2;1;0;12;2;10;0;0;0
"Dublin City 02/180";"65 - 69 years";10;1;8;0;0;1;14;7;5;0;0;2
"Dublin City 02/180";"70 - 74 years";8;0;8;0;0;0;19;4;11;0;0;4
"Dublin City 02/180";"75 - 79 years";8;0;7;0;0;1;25;14;5;0;0;6
"Dublin City 02/180";"80 - 84 years";5;0;3;0;0;2;16;12;1;1;0;2
"Dublin City 02/180";"85 years and over";6;0;3;0;0;3;22;18;0;0;0;4
"Dublin City 02/181";"0 - 4 years";23;23;0;0;0;0;21;21;0;0;0;0
"Dublin City 02/181";"5 - 9 years";34;34;0;0;0;0;22;22;0;0;0;0
"Dublin City 02/181";"10 - 14 years";30;30;0;0;0;0;23;23;0;0;0;0
"Dublin City 02/181";"15 - 19 years";22;22;0;0;0;0;24;24;0;0;0;0
"Dublin City 02/181";"20 - 24 years";41;40;1;0;0;0;35;33;2;0;0;0
"Dublin City 02/181";"25 - 29 years";43;40;3;0;0;0;38;36;2;0;0;0
"Dublin City 02/181";"30 - 34 years";23;19;4;0;0;0;22;15;7;0;0;0
"Dublin City 02/181";"35 - 39 years";19;8;10;0;1;0;24;5;18;1;0;0
"Dublin City 02/181";"40 - 44 years";18;3;15;0;0;0;22;3;17;0;1;1
"Dublin City 02/181";"45 - 49 years";28;2;25;1;0;0;34;5;26;2;1;0
"Dublin City 02/181";"50 - 54 years";27;3;23;1;0;0;21;3;15;0;2;1
"Dublin City 02/181";"55 - 59 years";15;1;12;2;0;0;16;2;14;0;0;0
"Dublin City 02/181";"60 - 64 years";12;1;11;0;0;0;11;1;10;0;0;0
"Dublin City 02/181";"65 - 69 years";4;1;3;0;0;0;11;4;4;1;0;2
"Dublin City 02/181";"70 - 74 years";5;0;3;0;1;1;4;3;1;0;0;0
"Dublin City 02/181";"75 - 79 years";3;1;2;0;0;0;10;2;2;0;0;6
"Dublin City 02/181";"80 - 84 years";0;0;0;0;0;0;8;2;2;0;0;4
"Dublin City 02/181";"85 years and over";6;0;5;0;0;1;11;2;1;0;0;8
"Dublin City 02/182";"0 - 4 years";17;17;0;0;0;0;16;16;0;0;0;0
"Dublin City 02/182";"5 - 9 years";13;13;0;0;0;0;14;14;0;0;0;0
"Dublin City 02/182";"10 - 14 years";8;8;0;0;0;0;8;8;0;0;0;0
"Dublin City 02/182";"15 - 19 years";13;13;0;0;0;0;35;35;0;0;0;0
"Dublin City 02/182";"20 - 24 years";31;30;1;0;0;0;42;42;0;0;0;0
"Dublin City 02/182";"25 - 29 years";60;55;5;0;0;0;65;58;7;0;0;0
"Dublin City 02/182";"30 - 34 years";31;21;10;0;0;0;48;30;18;0;0;0
"Dublin City 02/182";"35 - 39 years";27;9;15;2;1;0;12;4;8;0;0;0
"Dublin City 02/182";"40 - 44 years";23;9;13;1;0;0;20;7;12;0;0;1
"Dublin City 02/182";"45 - 49 years";12;3;7;2;0;0;22;8;14;0;0;0
"Dublin City 02/182";"50 - 54 years";13;2;9;1;1;0;17;9;6;1;0;1
"Dublin City 02/182";"55 - 59 years";16;2;14;0;0;0;23;7;13;1;1;1
"Dublin City 02/182";"60 - 64 years";11;1;8;1;0;1;10;1;7;1;0;1
"Dublin City 02/182";"65 - 69 years";4;3;1;0;0;0;9;5;1;0;0;3
"Dublin City 02/182";"70 - 74 years";6;1;4;1;0;0;4;2;2;0;0;0
"Dublin City 02/182";"75 - 79 years";1;0;0;0;1;0;1;0;0;0;0;1
"Dublin City 02/182";"80 - 84 years";1;0;1;0;0;0;0;0;0;0;0;0
"Dublin City 02/182";"85 years and over";2;0;0;0;0;2;3;0;0;0;0;3
"Dublin City 02/183";"0 - 4 years";9;9;0;0;0;0;3;3;0;0;0;0
"Dublin City 02/183";"5 - 9 years";0;0;0;0;0;0;6;6;0;0;0;0
"Dublin City 02/183";"10 - 14 years";1;1;0;0;0;0;1;1;0;0;0;0
"Dublin City 02/183";"15 - 19 years";4;4;0;0;0;0;3;3;0;0;0;0
"Dublin City 02/183";"20 - 24 years";36;36;0;0;0;0;46;45;1;0;0;0
"Dublin City 02/183";"25 - 29 years";58;53;5;0;0;0;69;61;7;1;0;0
"Dublin City 02/183";"30 - 34 years";41;31;9;0;1;0;32;25;7;0;0;0
"Dublin City 02/183";"35 - 39 years";22;14;5;1;2;0;10;5;3;1;1;0
"Dublin City 02/183";"40 - 44 years";10;6;4;0;0;0;11;7;2;0;2;0
"Dublin City 02/183";"45 - 49 years";9;5;1;3;0;0;6;5;1;0;0;0
"Dublin City 02/183";"50 - 54 years";6;2;3;0;0;1;12;4;8;0;0;0
"Dublin City 02/183";"55 - 59 years";17;4;10;0;3;0;10;5;5;0;0;0
"Dublin City 02/183";"60 - 64 years";5;3;2;0;0;0;6;2;2;0;0;2
"Dublin City 02/183";"65 - 69 years";3;1;1;1;0;0;4;4;0;0;0;0
"Dublin City 02/183";"70 - 74 years";0;0;0;0;0;0;4;2;0;0;0;2
"Dublin City 02/183";"75 - 79 years";0;0;0;0;0;0;0;0;0;0;0;0
"Dublin City 02/183";"80 - 84 years";0;0;0;0;0;0;3;2;0;0;0;1
"Dublin City 02/183";"85 years and over";0;0;0;0;0;0;1;1;0;0;0;0
"Dublin City 02/184";"0 - 4 years";12;12;0;0;0;0;8;8;0;0;0;0
"Dublin City 02/184";"5 - 9 years";7;7;0;0;0;0;9;9;0;0;0;0
"Dublin City 02/184";"10 - 14 years";8;8;0;0;0;0;5;5;0;0;0;0
"Dublin City 02/184";"15 - 19 years";6;6;0;0;0;0;7;7;0;0;0;0
"Dublin City 02/184";"20 - 24 years";16;14;1;0;0;1;25;25;0;0;0;0
"Dublin City 02/184";"25 - 29 years";22;20;2;0;0;0;26;23;2;1;0;0
"Dublin City 02/184";"30 - 34 years";24;17;6;1;0;0;15;6;8;1;0;0
"Dublin City 02/184";"35 - 39 years";17;10;6;1;0;0;11;2;9;0;0;0
"Dublin City 02/184";"40 - 44 years";11;3;8;0;0;0;12;1;8;0;1;2
"Dublin City 02/184";"45 - 49 years";10;5;5;0;0;0;7;3;3;1;0;0
"Dublin City 02/184";"50 - 54 years";7;1;5;1;0;0;6;3;2;0;1;0
"Dublin City 02/184";"55 - 59 years";6;1;5;0;0;0;10;1;7;1;1;0
"Dublin City 02/184";"60 - 64 years";3;0;3;0;0;0;3;0;2;0;0;1
"Dublin City 02/184";"65 - 69 years";3;0;2;1;0;0;3;0;2;0;0;1
"Dublin City 02/184";"70 - 74 years";2;0;2;0;0;0;0;0;0;0;0;0
"Dublin City 02/184";"75 - 79 years";2;0;1;0;1;0;4;2;2;0;0;0
"Dublin City 02/184";"80 - 84 years";2;0;2;0;0;0;4;0;3;0;0;1
"Dublin City 02/184";"85 years and over";2;0;2;0;0;0;3;0;1;0;0;2
"Dublin City 02/185";"0 - 4 years";4;4;0;0;0;0;8;8;0;0;0;0
"Dublin City 02/185";"5 - 9 years";9;9;0;0;0;0;10;10;0;0;0;0
"Dublin City 02/185";"10 - 14 years";6;6;0;0;0;0;10;10;0;0;0;0
"Dublin City 02/185";"15 - 19 years";7;7;0;0;0;0;8;8;0;0;0;0
"Dublin City 02/185";"20 - 24 years";48;47;0;1;0;0;54;54;0;0;0;0
"Dublin City 02/185";"25 - 29 years";48;46;2;0;0;0;41;39;1;0;0;1
"Dublin City 02/185";"30 - 34 years";34;23;9;0;0;2;30;19;11;0;0;0
"Dublin City 02/185";"35 - 39 years";21;13;7;1;0;0;11;4;7;0;0;0
"Dublin City 02/185";"40 - 44 years";20;9;9;1;0;1;14;6;6;0;2;0
"Dublin City 02/185";"45 - 49 years";12;4;7;0;1;0;17;8;8;0;0;1
"Dublin City 02/185";"50 - 54 years";15;6;8;0;1;0;11;3;8;0;0;0
"Dublin City 02/185";"55 - 59 years";12;4;8;0;0;0;8;6;1;1;0;0
"Dublin City 02/185";"60 - 64 years";11;5;5;0;0;1;3;1;2;0;0;0
"Dublin City 02/185";"65 - 69 years";7;1;5;0;1;0;9;4;4;0;0;1
"Dublin City 02/185";"70 - 74 years";2;2;0;0;0;0;5;3;1;0;0;1
"Dublin City 02/185";"75 - 79 years";1;1;0;0;0;0;9;2;1;0;0;6
"Dublin City 02/185";"80 - 84 years";3;0;2;0;0;1;7;0;1;0;0;6
"Dublin City 02/185";"85 years and over";1;0;0;0;0;1;3;1;0;0;0;2
"Dublin City 02/186";"0 - 4 years";10;10;0;0;0;0;15;15;0;0;0;0
