"Theme 2 - 3 : Usually resident population by ethnic or cultural background, 2006";;;;;;;;
"Geographic Area";"White Irish";"White Irish Traveller";"Any other White background";"Black or Black Irish";"Asian or Asian Irish";"Other";"Not stated";"Total"
"Galway City 26/046";773;0;69;34;28;12;8;924
"Galway City 26/047";770;18;110;17;18;11;6;950
"Galway City 26/048";894;0;40;21;3;4;16;978
"Galway City 26/049";687;48;116;81;3;14;36;985
"Galway City 26/050";787;116;182;56;4;32;0;1177
"Galway City 26/051";858;1;161;62;53;12;39;1186
"Galway City 26/052, 26/065";838;23;112;1;24;22;76;1096
"Galway City 26/053";656;29;155;9;58;14;71;992
"Galway City 26/054";773;0;62;5;26;12;1;879
"Galway City 26/055";709;7;145;71;27;30;17;1006
"Galway City 26/056";582;0;177;60;54;24;7;904
"Galway City 26/057";912;0;49;3;5;14;9;992
"Galway City 26/058";687;1;56;42;11;10;3;810
"Galway City 26/059";770;0;25;1;0;2;14;812
"Galway City 26/060";648;0;109;78;5;17;23;880
"Galway City 26/061";1122;18;42;10;7;14;24;1237
"Galway City 26/062";752;10;102;55;13;14;17;963
"Galway City 26/063";635;0;207;21;9;41;10;923
"Galway City 26/064";732;0;70;1;18;12;3;836
"Galway City 26/066";884;8;83;13;15;14;18;1035
"Galway City 26/067";504;0;102;4;31;21;14;676
"Galway City 26/068";534;0;192;27;8;26;17;804
"Galway City 26/069";486;0;41;10;18;13;7;575
"Galway City 26/070";868;0;71;58;26;30;14;1067
"Galway City 26/071";695;0;87;54;7;22;7;872
"Galway City 26/072";746;0;83;40;48;11;18;946
"Galway City 26/073";388;0;210;245;10;16;9;878
"Galway City 26/074";488;0;194;151;13;18;20;884
"Galway City 26/075";512;0;122;94;21;18;24;791
"Galway City 26/076";795;0;72;80;12;15;13;987
