"Theme 2 - 1 : Persons usually resident and present in the State on Census Night, classified by place of birth, 2006";;;;;;;
"Geographic Area";"Ireland";"UK";"Poland";"Lithuania";"Other EU25";"Rest of World";"Total"
"Cork City 17/063";1070;54;9;0;7;24;1164
"Cork City 17/064";667;36;8;0;15;26;752
"Cork City 17/065";354;27;28;3;31;71;514
"Cork City 17/066";928;49;16;3;42;61;1099
"Cork City 17/067";512;45;8;1;34;61;661
"Cork City 17/068";453;38;24;14;43;58;630
"Cork City 17/069";412;84;71;10;158;140;875
"Cork City 17/070";438;38;65;8;124;96;769
"Cork City 17/071";496;45;60;5;107;121;834
"Cork City 17/072";338;37;18;5;37;54;489
"Cork City 17/073";663;66;23;4;20;29;805
"Cork City 17/074";624;50;19;0;59;47;799
"Cork City 17/075";903;38;9;4;1;9;964
"Cork City 17/076";1175;47;17;0;4;9;1252
"Cork City 17/077";1057;28;1;0;0;0;1086
"Cork City 17/078";1024;28;0;0;0;1;1053
"Cork City 17/079";1122;31;0;0;1;1;1155
"Cork City 17/080";797;19;0;0;1;4;821
"Cork City 17/081";953;12;3;0;0;10;978
"Cork City 17/082";913;23;2;0;3;3;944
"Cork City 17/083";743;25;8;0;7;4;787
"Cork City 17/084";639;28;15;1;10;16;709
"Cork City 17/085";711;19;18;6;14;18;786
"Cork City 17/086";788;15;7;0;1;4;815
"Cork City 17/087";812;21;0;4;11;3;851
"Cork City 17/088";801;16;1;0;3;8;829
"Cork City 17/089";668;20;9;0;3;7;707
"Cork City 17/090";890;17;8;0;0;5;920
"Cork City 17/091";676;21;42;5;32;14;790
"Cork City 17/092";541;19;45;5;43;48;701
"Cork City 17/093";649;52;73;0;109;65;948
"Cork City 17/094";465;14;23;4;28;32;566
"Cork City 17/095";626;36;39;14;36;58;809
"Cork City 17/096";399;28;73;14;124;67;705
"Cork City 17/097";387;40;68;8;66;92;661
"Cork City 17/098";597;49;25;12;38;69;790
"Cork City 17/099";592;48;54;3;45;54;796
"Cork City 17/100";188;26;57;2;49;64;386
"Cork City 17/101";468;29;18;2;20;20;557
"Cork City 17/102";582;41;29;0;35;17;704
"Cork City 17/103";594;35;14;2;30;33;708
"Cork City 17/104";399;41;56;9;69;53;627
"Cork City 17/105";1394;60;24;1;19;33;1531
"Cork City 17/106";1010;34;0;3;10;14;1071
"Cork City 17/107";954;33;7;0;23;36;1053
"Cork City 17/108";889;33;6;0;15;27;970
"Cork City 17/109";819;51;22;0;5;21;918
"Cork City 17/110";673;45;4;0;2;5;729
"Cork City 17/111";1111;72;0;0;1;13;1197
"Cork City 17/112";902;44;5;0;10;13;974
"Cork City 17/113";913;52;5;2;16;16;1004
"Cork City 17/114";945;50;7;0;4;7;1013
"Cork City 17/115";1093;28;16;9;11;19;1176
"Cork City 17/116";1124;45;5;4;5;31;1214
"Cork City 17/117";988;23;9;0;1;3;1024
"Cork City 17/118";662;50;45;6;33;22;818
"Cork City 17/119";658;19;36;9;9;78;809
"Cork City 17/120";798;18;2;0;0;2;820
"Cork City 17/121";981;34;0;0;4;2;1021
"Cork City 17/122";996;29;11;2;21;14;1073
"Cork City 17/123";514;17;55;5;24;81;696
"Cork City 17/125";891;33;5;0;15;32;976
"Cork City 17/126";691;22;1;0;11;17;742
"Cork City 17/127";1085;50;5;3;20;66;1229
"Cork City 17/128";456;25;73;1;90;69;714
"Cork City 17/129";646;51;14;1;15;37;764
"Cork City 17/130";950;32;25;6;4;14;1031
"Cork City 17/131";527;52;11;5;41;36;672
"Cork City 17/132";450;26;33;17;44;79;649
"Cork City 17/133";545;33;36;4;64;27;709
"Cork City 17/134";457;31;147;3;155;84;877
"Cork City 17/135";508;29;11;0;41;92;681
"Cork Suburbs 18 ";55969;2959;1448;387;1015;2984;64762
"Cork Suburbs 18/184";909;47;1;0;5;18;980
"Cork Suburbs 18/185";801;59;9;11;21;59;960
"Cork Suburbs 18/186";948;54;48;20;14;38;1122
"Cork Suburbs 18/187";961;59;13;5;7;37;1082
"Cork Suburbs 18/188";874;59;45;7;20;64;1069
"Cork Suburbs 18/189";933;82;21;7;25;36;1104
"Cork Suburbs 18/190";1108;85;6;2;6;41;1248
"Cork Suburbs 18/191";1030;73;33;10;57;88;1291
"Cork Suburbs 18/192";778;53;13;0;19;37;900
"Cork Suburbs 18/193";999;59;22;10;8;28;1126
"Cork Suburbs 18/194";1028;60;24;7;15;34;1168
"Cork Suburbs 18/196";772;49;32;16;22;77;968
"Cork Suburbs 18/197";1064;47;9;3;7;29;1159
"Cork Suburbs 18/198";966;37;38;0;16;33;1090
"Cork Suburbs 18/199";714;32;9;6;20;41;822
"Cork Suburbs 18/200";604;46;17;8;28;71;774
"Cork Suburbs 18/201";1088;42;6;5;11;24;1176
"Cork Suburbs 18/202";972;54;8;0;15;22;1071
"Cork Suburbs 18/203";1225;70;11;3;8;40;1357
"Cork Suburbs 18/204";980;50;14;5;23;51;1123
"Cork Suburbs 18/205";1018;62;7;2;25;32;1146
"Cork Suburbs 18/206";926;30;0;0;7;25;988
"Cork Suburbs 18/207";859;35;46;7;17;67;1031
"Cork Suburbs 18/208";592;25;53;16;33;119;838
"Cork Suburbs 18/210";918;30;13;0;12;22;995
"Cork Suburbs 18/211";889;46;35;19;24;45;1058
"Cork Suburbs 18/212";1021;47;15;5;20;30;1138
"Cork Suburbs 18/213";909;33;32;6;15;74;1069
"Cork Suburbs 18/214";911;58;45;6;23;69;1112
"Cork Suburbs 18/215";950;37;50;3;32;215;1287
"Cork Suburbs 18/220";918;47;109;6;20;100;1200
"Cork Suburbs 18/222";1061;51;26;1;7;22;1168
"Cork Suburbs 18/223";1176;65;20;15;5;61;1342
