"Theme 2 - 5 : Number of persons by religion, 2006";;;;;
"Religion";"Catholic";"Other stated religion";"No religion";"Not stated";"Total"
"Dœn Laoghaire-Rathdown 05/115";897;159;85;10;1151
"Dœn Laoghaire-Rathdown 05/116";957;158;34;7;1156
"Dœn Laoghaire-Rathdown 05/117";977;142;59;14;1192
"Dœn Laoghaire-Rathdown 05/118";1589;175;104;28;1896
"Dœn Laoghaire-Rathdown 05/119";926;125;82;17;1150
"Dœn Laoghaire-Rathdown 05/121";929;156;73;23;1181
"Dœn Laoghaire-Rathdown 05/122";1098;168;55;15;1336
"Dœn Laoghaire-Rathdown 05/123";833;113;92;6;1044
"Dœn Laoghaire-Rathdown 05/126";772;145;57;7;981
"Dœn Laoghaire-Rathdown 05/127";995;113;68;7;1183
"Dœn Laoghaire-Rathdown 05/128";764;100;53;6;923
"Dœn Laoghaire-Rathdown 05/129";774;97;48;6;925
"Dœn Laoghaire-Rathdown 05/130";592;134;84;4;814
"Dœn Laoghaire-Rathdown 05/131";829;139;72;4;1044
"Dœn Laoghaire-Rathdown 05/132";848;302;70;7;1227
"Dœn Laoghaire-Rathdown 05/133";655;101;47;5;808
"Dœn Laoghaire-Rathdown 05/134";729;122;53;7;911
"Dœn Laoghaire-Rathdown 05/135";760;128;70;6;964
"Dœn Laoghaire-Rathdown 05/136";784;128;48;12;972
"Dœn Laoghaire-Rathdown 05/137";891;131;55;5;1082
"Dœn Laoghaire-Rathdown 05/138";794;73;53;8;928
"Dœn Laoghaire-Rathdown 05/139";833;70;51;8;962
"Dœn Laoghaire-Rathdown 05/140";813;78;58;11;960
"Dœn Laoghaire-Rathdown 05/141";847;58;52;6;963
"Dœn Laoghaire-Rathdown 05/142";781;48;54;4;887
"Dœn Laoghaire-Rathdown 05/143";772;84;39;8;903
"Dœn Laoghaire-Rathdown 05/144";693;177;74;8;952
"Dœn Laoghaire-Rathdown 05/145";778;72;63;18;931
"Dœn Laoghaire-Rathdown 05/146";785;123;47;4;959
"Dœn Laoghaire-Rathdown 05/147";803;84;63;18;968
"Dœn Laoghaire-Rathdown 05/148";850;40;58;12;960
