"Theme 2 - 4 : Usually resident population aged one year and over by usual residence one year before Census Day, 2006";;;;;
"Geographic Area";"Same address";"Elsewhere in County";"Elsewhere in Ireland";"Outside Ireland";"Total"
"Dún Laoghaire-Rathdown 05/131";964;36;4;24;1028
"Dún Laoghaire-Rathdown 05/132";1071;45;12;18;1146
"Dún Laoghaire-Rathdown 05/133";663;73;12;44;792
"Dún Laoghaire-Rathdown 05/134";830;39;3;17;889
"Dún Laoghaire-Rathdown 05/135";903;29;4;12;948
"Dún Laoghaire-Rathdown 05/136";889;45;8;10;952
"Dún Laoghaire-Rathdown 05/137";1010;32;5;19;1066
"Dún Laoghaire-Rathdown 05/138";852;30;9;21;912
"Dún Laoghaire-Rathdown 05/139";910;20;4;15;949
"Dún Laoghaire-Rathdown 05/140";904;22;7;14;947
"Dún Laoghaire-Rathdown 05/141";887;36;7;12;942
"Dún Laoghaire-Rathdown 05/142";804;48;3;14;869
"Dún Laoghaire-Rathdown 05/143";809;42;13;15;879
"Dún Laoghaire-Rathdown 05/144";851;46;10;22;929
"Dún Laoghaire-Rathdown 05/145";816;47;15;27;905
"Dún Laoghaire-Rathdown 05/146";856;43;8;21;928
"Dún Laoghaire-Rathdown 05/147";842;62;14;22;940
"Dún Laoghaire-Rathdown 05/148";887;36;3;16;942
"Dún Laoghaire-Rathdown 05/149";627;27;2;11;667
"Dún Laoghaire-Rathdown 05/150";927;36;7;19;989
"Dún Laoghaire-Rathdown 05/151";783;33;8;18;842
"Dún Laoghaire-Rathdown 05/152";1047;44;4;4;1099
"Dún Laoghaire-Rathdown 05/153";847;41;7;9;904
"Dún Laoghaire-Rathdown 05/154";934;37;6;9;986
"Dún Laoghaire-Rathdown 05/155";815;65;23;18;921
"Dún Laoghaire-Rathdown 05/156";817;31;8;9;865
"Dún Laoghaire-Rathdown 05/157";748;57;10;12;827
"Dún Laoghaire-Rathdown 05/158";564;42;9;14;629
"Dún Laoghaire-Rathdown 05/159";740;51;10;32;833
"Dún Laoghaire-Rathdown 05/160";821;56;16;26;919
"Dún Laoghaire-Rathdown 05/161";770;20;13;9;812
"Dún Laoghaire-Rathdown 05/162";790;67;10;26;893
"Dún Laoghaire-Rathdown 05/163";885;106;32;56;1079
"Dún Laoghaire-Rathdown 05/164";640;122;37;31;830
