"Theme 2 - 2 : Persons usually resident and present in the State on Census Night, classified by nationality, 2006";;;;;;;;
"Nationality";"Irish";"UK";"Polish";"Lithuanian";"Other EU25";"Rest of World";"Not Stated";"Total"
"156 Knockglass";277;16;0;6;4;5;4;312
"157 Knocknagashel";684;24;0;0;3;8;0;719
"158 Lackabaun";419;14;0;0;0;8;3;444
"159 Millbrook";441;13;5;0;3;5;2;469
"160 Mount Eagle";175;9;0;0;0;0;1;185
"161 Nohaval";311;28;0;0;1;5;2;347
"162 O'Brennan";436;13;5;0;5;3;1;463
"163 Ratass";978;52;5;0;8;8;9;1060
"164 Scartaglin";603;15;1;0;4;4;4;631
"165 Tralee Rural";14071;466;300;70;338;744;440;16429
"166 Tubrid";742;20;0;0;4;9;4;779
"Limerick City";46038;713;1538;241;1190;1746;420;51886
"001 Abbey A";4121;89;67;19;141;89;28;4554
"002 Abbey B";1743;40;55;9;57;102;17;2023
"003 Abbey C";429;12;44;12;34;44;7;582
"004 Abbey D";1437;15;4;0;14;18;5;1493
"005 Ballinacurra A";1735;19;71;6;51;30;10;1922
"006 Ballinacurra B";1449;5;0;0;16;9;10;1489
"007 Ballynanty";3319;68;16;0;4;23;24;3454
"008 Castle A";1093;14;15;2;50;37;4;1215
"009 Castle B";400;12;21;3;10;26;6;478
"010 Castle C";842;8;29;13;32;34;2;960
"011 Castle D";2040;30;32;4;14;42;7;2169
"012 Coolraine";1678;16;9;3;16;26;8;1756
"013 Custom House";258;3;70;6;61;79;13;490
"014 Dock A";836;40;431;67;244;384;28;2030
"015 Dock B";548;7;113;13;57;87;10;835
"016 Dock C";947;13;16;3;20;34;7;1040
"017 Dock D";728;9;23;2;24;123;11;920
"018 Farranshone";1050;9;9;0;14;19;3;1104
"019 Galvone A";1498;17;3;4;6;6;7;1541
"020 Galvone B";1505;46;1;0;2;8;11;1573
"021 Glentworth A";524;10;18;1;17;20;2;592
"022 Glentworth B";1218;9;0;0;0;3;8;1238
"023 Glentworth C";517;0;6;0;1;3;22;549
"024 John's A";1180;15;0;0;1;2;11;1209
"025 John's B";982;13;7;2;17;12;13;1046
"026 John's C";283;9;75;9;22;21;13;432
"027 Killeely A";1555;11;0;0;0;10;1;1577
"028 Killeely B";864;8;37;4;8;14;9;944
"029 Market";796;26;205;32;105;169;24;1357
"030 Prospect A";929;11;7;0;16;33;14;1010
"031 Prospect B";968;13;2;0;4;16;23;1026
"032 Rathbane";1664;8;0;0;1;4;14;1691
"033 St. Laurence";1046;13;5;2;5;19;5;1095
"034 Shannon A";186;8;74;17;45;69;13;412
"035 Shannon B";310;12;54;5;35;69;4;489
"036 Singland A";1688;26;0;2;13;10;8;1747
"037 Singland B";3672;49;19;1;33;52;18;3844
"Limerick County";119451;2997;1742;435;1376;2603;1111;129715
"001 Abbeyville";285;2;0;0;1;1;2;291
"002 Adare North";558;12;15;0;0;4;1;590
"003 Adare South";1483;31;81;0;27;56;17;1695
"004 Ballingarry";788;20;4;0;9;6;6;833
"005 Ballyagran";488;12;4;0;1;0;1;506
"006 Ballygrennan";263;6;0;0;0;2;0;271
"007 Ballynabanoge";298;10;1;0;0;2;0;311
"008 Ballynoe";431;7;1;0;2;2;0;443
"009 Castletown";368;4;0;0;0;1;0;373
"010 Coolrus";405;3;0;0;1;2;3;414
"011 Crean";402;6;1;0;0;4;6;419
"012 Crecora";418;5;0;0;0;4;1;428
"013 Croom";1491;36;5;5;10;17;23;1587
"014 Dunnaman";608;11;0;0;3;3;1;626
"015 Fedamore";1051;16;0;2;1;4;9;1083
"016 Garrane";293;4;1;4;1;1;3;307
"017 Grange";479;6;0;0;1;5;2;493
"018 Kilfinny";260;3;0;0;0;0;2;265
"019 Kilpeacon";474;11;0;4;1;3;3;496
"020 Rathmore";275;6;0;0;0;4;1;286
"021 Fleanmore";203;2;0;0;0;0;0;205
"022 Glin";1033;29;29;17;5;24;7;1144
"023 Kilfergus";484;7;8;0;0;2;2;503
"024 Kilmoylan";433;18;0;0;0;1;8;460
"025 Ardpatrick";382;9;0;0;0;3;4;398
"026 Athlacca";338;6;7;0;0;2;5;358
"027 Ballymacshaneboy";419;8;0;0;0;1;1;429
"028 Bruff";1171;36;20;1;5;11;15;1259
"029 Bruree";940;20;1;2;7;9;9;988
"030 Bulgaden";319;22;0;0;1;0;5;347
"031 Cahercorney";578;17;0;0;3;2;2;602
"032 Colmanswell";530;9;0;0;6;4;1;550
"033 Darragh";293;10;0;0;1;5;2;311
"034 Dromin";493;17;1;0;0;7;5;523
"035 Emlygrennan";593;27;0;0;17;10;8;655
"036 Glenbrohane";357;30;4;0;0;1;6;398
"037 Griston";248;3;0;0;3;3;2;259
"038 Hospital";1123;45;10;3;13;5;5;1204
"039 Kilfinnane";987;45;15;2;8;11;4;1072
"040 Kilflyn";208;4;2;0;1;2;3;220
"041 Kilmallock";2009;51;36;0;21;30;37;2184
"042 Kilteely";528;14;0;3;1;2;5;553
"043 Knockainy";645;11;0;0;6;2;7;671
"044 Knocklong";807;25;11;1;6;3;12;865
"045 Particles";170;10;0;0;2;1;5;188
"046 Rockhill";311;1;0;0;1;3;1;317
"047 Tobernea";591;14;0;0;6;2;2;615
"048 Uregare";545;15;0;0;0;2;3;565
"049 Abington";722;17;0;0;5;3;5;752
"050 Ballybricken";1523;39;0;0;5;18;10;1595
"051 Ballycummin";13274;261;643;150;394;1149;175;16046
"052 Ballysimon";9560;167;336;35;294;420;63;10875
"053 Ballyvarra";3772;79;29;10;36;90;29;4045
"054 Caherconlish East";496;11;0;0;2;0;0;509
"055 Caherconlish West";1314;31;6;0;6;20;9;1386
"056 Caherelly";262;9;0;0;0;3;4;278
"057 Cappamore";1352;30;2;0;0;3;16;1403
"058 Carrig";573;5;2;0;0;3;3;586
"059 Castleconnell";2442;97;2;0;13;28;11;2593
"060 Clarina";1591;14;4;0;2;11;22;1644
"061 Clonkeen";665;12;0;0;2;3;6;688
"062 Doon West";215;1;0;0;1;1;2;220
"063 Glenstal";866;29;1;0;1;6;8;911
"064 Kilmurry";823;22;3;0;2;5;8;863
"065 Limerick North Rural";6688;122;81;25;72;128;78;7194
"066 Limerick South Rural";1349;14;11;0;5;32;10;1421
"067 Patrickswell";1452;28;4;0;12;10;14;1520
"068 Roxborough";1551;13;0;5;7;13;10;1599
"069 Anglesborough";309;12;0;0;0;0;4;325
"070 Ballylanders";549;28;4;0;3;9;16;609
"071 Cullane";331;14;2;0;0;4;4;355
"072 Duntryleague";291;24;3;0;1;0;2;321
"073 Galbally";525;20;3;0;1;0;5;554
"074 Kilbeheny";241;6;0;0;0;1;2;250
"075 Kilglass";266;8;0;0;0;0;0;274
"076 Knocknascrow";161;1;0;0;0;0;0;162
"077 Riversdale";207;5;0;0;0;1;5;218
"078 Abbeyfeale";2250;76;25;21;31;46;20;2469
"079 Ardagh";922;21;4;0;1;5;21;974
"080 Ballintober";341;11;0;0;0;3;6;361
"081 Ballynoe West";311;3;0;0;0;1;1;316
"082 Boola";139;0;0;0;0;0;3;142
"083 Broadford";849;23;1;1;3;5;9;891
"084 Caher";300;27;0;0;4;5;1;337
"085 Cleanglass";296;10;0;0;0;0;2;308
"086 Cloncagh";248;6;0;0;1;0;4;259
"087 Danganbeg";367;8;0;0;1;4;2;382
"088 Dromcolliher";928;14;1;6;16;4;8;977
"089 Dromtrasna";761;56;0;0;9;3;7;836
"090 Feenagh";304;8;0;0;0;0;2;314
"091 Garryduff";279;11;5;0;0;0;0;295
"092 Glenagower";477;9;9;0;7;2;4;508
"093 Glengort";670;32;0;0;1;3;1;707
"094 Glensharrold";414;16;0;0;1;0;3;434
"095 Kilmeedy";335;4;0;0;0;1;2;342
"096 Knockaderry";449;17;4;0;0;0;4;474
"097 Mahoonagh";505;6;0;2;2;2;0;517
"098 Monagay";1066;27;5;0;1;9;3;1111
"099 Mountcollins";472;27;1;0;2;5;0;507
"100 Mountplummer";309;3;0;0;2;0;1;315
"101 Newcastle Rural";1639;53;74;34;65;35;11;1911
"102 Newcastle Urban";3287;112;160;71;104;83;38;3855
"103 Port";505;30;0;0;2;5;4;546
"104 Rathronan";784;32;0;0;2;9;9;836
"105 Rooskagh";268;18;0;0;1;3;2;292
"106 Templeglentan";804;30;2;0;0;3;4;843
"107 Askeaton East";645;15;4;3;4;8;5;684
"108 Askeaton West";928;33;7;0;7;15;8;998
"109 Aughinish";207;7;0;0;0;2;0;216
"110 Ballyallinan";372;2;0;1;3;2;7;387
"111 Ballynacarriga";600;20;2;0;2;4;3;631
"112 Castletown";391;16;0;1;2;2;1;413
"113 Craggs";253;5;0;0;3;1;8;270
"114 Croagh";649;15;2;0;5;8;5;684
"115 Dromard";723;6;1;0;2;3;7;742
"116 Dunmoylan East";437;11;2;0;0;1;3;454
"117 Dunmoylan West";77;6;0;0;1;1;0;85
"118 Iveruss";266;5;0;0;1;0;4;276
"119 Kilcornan";632;12;0;0;5;10;5;664
"120 Kildimo";563;23;0;0;3;3;2;594
"121 Kilscannell";466;5;0;0;0;2;5;478
"122 Lismakeery";405;15;0;0;0;3;4;427
"123 Loghill";663;18;10;0;0;3;6;700
"124 Mohernagh";130;6;0;0;1;0;0;137
"125 Nantinan";712;34;1;0;1;8;5;761
"126 Pallaskenry";968;32;0;0;2;8;2;1012
"127 Rathkeale Rural";343;5;0;1;1;3;5;358
"128 Rathkeale Urban";1325;17;3;13;22;17;18;1415
"129 Riddlestown";457;12;0;2;0;3;9;483
"130 Shanagolden";880;21;13;6;10;15;14;959
"131 Shanid";448;14;0;0;5;4;7;478
"132 Bilboa";374;24;0;0;0;2;1;401
"133 Doon South";1195;32;0;4;1;3;9;1244
"134 Grean";1322;19;11;0;0;2;13;1367
"135 Oola";1043;29;2;0;3;1;9;1087
"136 Templebredon";472;13;0;0;1;3;6;495
"North Tipperary";59910;1989;793;321;766;939;553;65271
"001 Nenagh East Urban";2112;56;142;77;74;95;46;2602
"002 Nenagh West Urban";3975;103;200;77;83;164;30;4632
"003 Templemore";2072;41;64;2;13;16;13;2221
"004 Thurles Urban";6145;130;149;29;84;160;64;6761
"005 Aglishcloghane";269;12;0;0;1;5;1;288
"006 Ballingarry";512;42;1;0;2;4;7;568
"007 Ballylusky";291;8;0;0;0;4;2;305
"008 Borrisokane";1053;43;4;0;4;10;14;1128
"009 Carrig";174;8;0;0;2;1;2;187
"010 Cloghjordan";699;45;13;0;6;12;7;782
"011 Cloghprior";246;18;0;0;2;3;0;269
"012 Clohaskin";183;12;0;0;0;0;1;196
"013 Finnoe";174;7;0;0;3;0;0;184
"014 Graigue";248;19;4;0;2;1;1;275
"015 Kilbarron";502;41;2;0;7;0;9;561
"016 Lorrha East";314;3;3;0;1;0;9;330
"017 Lorrha West";322;11;0;0;7;2;3;345
"018 Mertonhall";141;5;0;0;0;1;2;149
"019 Rathcabban";232;8;0;0;1;0;1;242
"020 Redwood";126;2;0;0;0;2;1;131
"021 Riverstown";494;14;2;0;1;4;4;519
"022 Terryglass";413;10;0;0;9;3;5;440
"023 Uskane";198;7;0;0;2;2;4;213
"024 Abington";522;25;0;0;1;1;4;553
"025 Aghnameadle";261;6;6;0;0;1;1;275
"026 Ardcrony";451;26;0;0;0;2;4;483
"027 Ballina";2059;130;40;10;42;77;18;2376
"028 Ballygibbon";494;21;0;0;3;3;5;526
"029 Ballymackey";477;14;0;0;2;5;6;504
"030 Ballynaclogh";604;39;0;0;9;1;0;653
"031 Birdhill";618;26;1;0;9;6;7;667
"032 Burgesbeg";403;6;2;0;1;6;7;425
"033 Carrigatogher";660;22;0;5;1;8;8;704
"034 Castletown";1232;63;3;0;16;16;15;1345
"035 Derrycastle";360;31;0;0;9;16;0;416
"036 Dolla";202;12;0;0;0;1;1;216
"037/045 Greenhall/Lackagh";278;8;0;0;7;0;6;299
"038 Kilcomenty";625;7;2;0;0;2;1;637
"039 Kilkeary";568;15;0;0;1;2;4;590
"040 Killoscully";358;12;0;0;10;3;1;384
"041 Kilmore";599;19;0;0;4;1;10;633
"042 Kilnaneave";471;12;0;0;0;2;1;486
"043 Kilnarath";299;7;0;0;0;3;2;311
"044 Knigh";642;25;0;6;4;6;1;684
"046 Latteragh";591;26;0;0;1;1;7;626
"047 Monsea";600;23;0;0;2;5;4;634
"048 Nenagh Rural";1704;48;1;0;9;9;10;1781
"049 Newport";2007;58;1;0;12;33;3;2114
"050 Templederry";135;14;0;0;1;3;4;157
"051 Youghalarra";830;27;3;0;2;10;2;874
"052 Borrisnafarney";251;16;3;0;0;4;2;276
"053 Borrisnoe";102;2;0;0;0;0;0;104
"054 Bourney East";270;3;0;0;0;0;1;274
"055 Bourney West";353;11;0;0;1;1;4;370
"056 Killavinoge";378;18;0;0;1;2;6;405
"057 Killea";335;9;0;0;0;2;3;349
"058 Rathnaveoge";241;4;0;0;2;0;4;251
"059 Roscrea";5096;104;94;110;244;110;74;5832
"060 Timoney";286;7;0;0;0;1;7;301
"061 Ballycahill";375;9;2;0;1;0;2;389
"062 Ballymurreen";212;10;0;0;1;0;4;227
"063 Borrisoleigh";1070;45;11;5;13;21;13;1178
"064 Drom";997;30;0;0;1;2;8;1038
"065 Foilnaman";263;22;0;0;2;0;3;290
"066 Glenkeen";368;12;0;0;5;1;0;386
"067 Gortkelly";453;9;0;0;6;0;8;476
"068 Holycross";1332;41;5;0;8;10;9;1405
"069 Inch";431;10;2;0;0;3;3;449
"070 Kilrush";449;21;5;0;0;1;2;478
"071 Littleton";1089;17;0;0;1;10;11;1128
"072 Longfordpass";276;12;0;0;0;0;2;290
"073 Loughmoe";579;10;0;0;0;2;4;595
"074 Moyaliff";351;21;0;0;1;2;3;378
"075 Moycarky";475;11;0;0;0;0;1;487
"076 Moyne";466;13;1;0;0;3;5;488
"077 Rahelty";638;25;0;0;3;3;2;671
"078 Templetouhy";781;20;0;0;1;11;1;814
"079 Thurles Rural";1963;70;27;0;21;28;10;2119
"080 Twomileborris";788;27;0;0;4;10;2;831
"081 Upperchurch";297;13;0;0;0;0;1;311
"South Tipperary";75181;2923;958;428;835;1408;684;82417
"082 Carrickbeg Urban";1318;37;18;7;7;17;5;1409
"083 Carrick-on-Suir Urban";3927;113;80;35;48;139;51;4393
"084 Cashel Urban";2034;56;61;47;45;96;35;2374
"085 Clonmel East Urban";3318;113;173;46;74;87;40;3851
"086 Clonmel West Urban";5633;117;75;17;53;126;80;6101
"087 Tipperary East Urban";2458;53;18;13;58;47;15;2662
"088 Tipperary West Urban";1515;45;56;28;35;33;6;1718
"089 Carrick-on-Suir Rural";457;20;0;0;4;10;2;493
"090 Garrangibbon";569;27;1;0;12;6;5;620
"091 Kilmurry";306;5;0;0;2;4;1;318
"092 Newtown";358;13;0;0;3;7;1;382
"093 Ardmayle";524;19;2;0;6;10;5;566
"094 Ardsallagh";407;24;2;0;7;8;5;453
"095 Ballysheehan";453;17;2;0;0;2;2;476
"096 Cashel Rural";1586;62;15;3;14;50;9;1739
"097 Clogher";195;6;0;0;6;11;1;219
"098 Cloneen";385;16;0;0;2;3;1;407
"099 Clonoulty East";485;18;0;0;2;3;3;511
"100 Clonoulty West";628;15;1;2;11;1;7;665
"101 Colman";377;12;0;0;2;3;1;395
"102 Cooleagh";467;27;1;0;0;14;6;515
"103 Drangan";589;28;2;0;0;0;5;624
"104 Fethard";738;27;0;0;5;10;4;784
"105 Gaile";655;46;3;0;7;14;1;726
"106 Graigue";126;10;1;0;1;5;1;144
"107 Greystown";400;18;0;0;5;3;4;430
"108 Killeenasteena";595;14;1;0;7;8;1;626
"109 Killenaule";1084;32;2;4;10;15;25;1172
"110 Kilpatrick";879;27;7;11;22;12;4;962
"111 Knockgraffon";702;24;2;0;7;2;7;744
"112 Magorban";493;23;0;0;5;4;8;533
"113 Nodstown";450;13;0;0;1;2;7;473
"114 Oughterleague";477;20;0;4;0;6;3;510
"115 Peppardstown";1188;69;4;0;26;19;5;1311
"116 Tullamain";587;52;8;0;11;25;7;690
"117 Ardfinnan";936;28;0;2;3;3;6;978
"118 Ballybacon";357;28;1;0;4;2;4;396
"119 Ballyporeen";826;24;0;0;11;11;0;872
"120 Burncourt";347;27;0;0;2;2;2;380
"121 Caher";948;41;75;28;27;57;10;1186
"122 Clogheen";812;78;0;7;30;16;7;950
"123 Coolagarranroe";463;23;3;0;0;1;5;495
"124 Derrygrath";547;27;1;1;6;15;5;602
"125 Kilcommon";1797;106;55;51;25;71;20;2125
"126 Kilcoran";404;16;0;2;4;1;2;429
"127 Mortlestown";1076;55;108;62;44;71;8;1424
"128 Newcastle";535;24;0;0;6;3;12;580
"129 Tubbrid";489;34;4;0;9;4;2;542
"130 Tullaghmelan";885;51;0;0;8;13;4;961
"131 Tullaghorton";234;23;0;0;0;0;4;261
"132 Ballyclerahan";929;35;0;1;7;16;6;994
"133 Clonmel Rural";4208;116;94;15;25;93;38;4589
"134 Inishlounaght";2865;59;20;7;12;74;26;3063
"135 Kilcash";625;29;0;3;2;2;5;666
"137/136 Kilsheelan/Killaloan";1145;27;2;2;1;8;6;1191
"138 Kiltinan";263;17;0;0;8;2;1;291
"139 Lisronagh";751;25;0;0;4;4;5;789
"140 Anner";325;33;0;0;3;0;5;366
"141 Ballingarry";663;32;0;0;3;4;6;708
"142 Ballyphilip";368;25;0;0;0;2;1;396
"143 Buolick";568;14;0;2;0;0;3;587
"144 Crohane";215;6;0;0;0;0;0;221
"145 Farranrory";452;17;0;0;0;0;3;472
"146 Fennor";525;15;0;2;1;3;6;552
"147 Kilcooly";287;2;0;0;0;0;1;290
"148 Kilvemnon";351;16;0;0;0;3;3;373
"149 Modeshil";290;18;1;0;1;1;3;314
"150 Mullinahone";742;49;0;0;4;1;14;810
"151 New Birmingham";458;16;0;0;1;5;3;483
"152 Poyntstown";182;7;0;0;0;0;2;191
"153 Ballycarron";220;36;0;0;1;0;0;257
"154 Ballygriffin";242;6;2;0;0;0;3;253
"155 Ballykisteen";617;27;3;1;0;5;5;658
"156 Bansha";740;34;11;4;3;12;5;809
"157 Bruis";295;11;0;0;1;2;2;311
"158 Cappagh";747;36;0;3;5;2;3;796
"159 Clonbeg";581;42;0;2;4;6;3;638
"160 Cullen";265;9;1;0;0;7;2;284
"161 Curraheen";283;12;0;0;2;1;3;301
"162 Donohill";590;25;0;0;4;6;1;626
"163 Drumwood";472;21;0;0;0;3;0;496
"164 Emly";557;18;6;0;2;3;9;595
"165 Glengar";244;16;0;0;3;1;2;266
"166 Golden";697;40;7;1;12;11;8;776
"167 Kilfeakle";442;19;1;0;3;2;0;467
"168 Killadriffe";480;26;0;1;0;2;8;517
"169 Kilmucklin";481;24;0;0;1;0;4;510
"170 Lattin";457;24;0;0;3;3;0;487
"171 Rathlynin";297;10;1;1;0;3;5;317
"172 Rodus";226;5;4;0;0;1;2;238
"173 Shronell";371;9;1;0;2;3;3;389
"174 Solloghodbeg";203;9;0;0;0;0;3;215
"175 Templeneiry";354;37;0;0;2;3;10;406
"176 Thomastown";349;32;0;0;2;5;1;389
"177 Tipperary Rural";1740;34;22;13;36;37;11;1893
"Waterford City";39860;961;662;179;839;1831;777;45109
"001 Ballybeg North";2354;55;18;2;1;64;88;2582
"002/006 Ballybeg South/Ballynaneashagh";270;0;0;0;1;0;2;273
"003 Ballybricken West";126;4;8;10;3;3;0;154
"004 Ballymaclode";1214;27;4;2;9;32;6;1294
"005 Ballynakill";1962;73;12;6;19;76;26;2174
"007 Ballytruckle";4555;121;26;10;46;191;87;5036
"008 Bilberry";417;7;54;14;28;53;11;584
"009 Centre A";335;19;21;3;29;72;16;495
"010 Centre B";232;5;1;3;12;23;9;285
"011 Cleaboy";2684;41;42;12;29;58;67;2933
"012 Custom House A";265;9;20;2;25;31;13;365
"013 Custom House B";110;5;4;4;28;108;27;286
"014 Farranshoneen";4693;156;21;16;120;262;75;5343
"015 Ferrybank";867;20;8;0;25;6;3;929
"016 Gracedieu";345;9;3;0;2;4;19;382
"017 Grange North";975;7;7;0;7;28;15;1039
"018 Grange South";1706;30;6;7;13;35;25;1822
"019 Grange Upper";2047;79;46;13;96;288;20;2589
"020 Kilbarry";675;13;27;12;13;49;3;792
"021 Kingsmeadow";1270;24;11;0;11;30;21;1367
"022 Larchville";837;4;6;0;1;4;9;861
"023 Lisduggan";1030;15;7;0;8;14;16;1090
"024 Military Road";804;11;5;0;15;17;16;868
"025 Morrisson's Avenue East";436;8;19;0;24;11;2;500
"026 Morrisson's Avenue West";308;4;3;0;1;0;0;316
"027 Morrisson's Road";520;17;7;2;4;20;6;576
"028 Mount Sion";667;16;2;11;13;28;6;743
"029 Newport's Square";500;8;12;4;11;15;11;561
"030 Newtown";1131;21;0;1;7;9;12;1181
"031 Park";916;38;95;14;100;134;35;1332
"032 Poleberry";1094;32;44;8;33;44;70;1325
"033 Roanmore";844;20;5;0;4;14;3;890
"034 Shortcourse";264;6;13;5;14;22;4;328
"035 Slievekeale";618;4;0;0;6;18;2;648
"036 The Glen";314;22;79;18;73;56;25;587
"037 Ticor North";2071;27;25;0;8;12;21;2164
"038 Ticor South";404;4;1;0;0;0;6;415
"Waterford County";56423;2688;364;111;513;788;384;61271
"001 Dungarvan No. 1 Urban";4007;176;113;34;79;48;40;4497
"002 Dungarvan No. 2 Urban";2773;107;67;21;53;36;30;3087
"003 Ballydurn";163;5;0;0;0;0;0;168
"004 Carrickbeg Rural";442;8;0;0;0;5;3;458
"005 Clonea";389;11;0;0;0;2;4;406
"006 Fenoagh";204;11;1;0;2;0;0;218
"007 Glen";375;13;0;0;1;7;7;403
"008 Kilmeadan";666;21;0;0;3;6;5;701
"009 Mothel";418;16;1;0;1;3;6;445
"010 Portlaw";1301;57;13;0;3;9;9;1392
"011 Rathgormuck";164;6;0;0;2;0;2;174
"012 Ross";250;11;0;0;0;0;3;264
"013 Ballymacarbry";423;7;0;0;0;2;1;433
"014 Graignagower";451;16;3;0;0;0;0;470
"015 Gurteen";313;12;0;0;1;0;1;327
"016 Kilmacomma";454;17;0;0;2;7;4;484
"017 Kilronan";155;3;0;0;3;1;2;164
"018 St. Mary's";611;11;2;0;2;0;5;631
"019 Aird Mhór";153;2;0;0;1;6;2;164
"020 Baile Mhac Airt";321;23;0;0;3;5;7;359
"021 Bohadoon";222;8;0;0;0;4;2;236
"022 Cappagh";337;22;0;0;4;4;2;369
"023 Carriglea";520;20;0;0;12;5;5;562
"024 Clonea";1619;72;11;0;18;14;16;1750
"025 Colligan";553;34;1;0;3;9;1;601
"026 Coumaraglin";218;11;0;0;0;0;0;229
"027 Dromana";494;37;0;0;7;2;1;541
"028 Dromore";168;17;0;0;5;1;0;191
"029 Dungarvan Rural";1298;47;28;13;15;14;3;1418
"030 Keereen";225;13;0;0;0;0;2;240
"031 Knockaunbrandaun";148;1;0;0;1;3;1;154
"032 Modelligo";249;19;0;0;0;3;0;271
"033 Mountstuart";73;2;0;0;0;1;0;76
"034 An Rinn";1096;38;2;0;10;15;9;1170
"035 Seskinan";391;37;0;0;1;0;0;429
"036 Whitechurch";200;6;1;0;0;1;0;208
"037 Annestown";715;36;4;0;4;6;2;767
"038 Ballylaneen";242;15;0;0;0;0;1;258
"039 Carrigcastle";253;17;0;0;0;1;2;273
"040 Comeragh";427;34;2;0;1;4;2;470
"041 Dunhill";209;6;0;0;2;0;2;219
"042 Fews";234;9;0;0;2;6;1;252
"043 Fox's Castle";357;24;0;0;1;0;2;384
"044 Gardenmorris";377;16;2;1;2;0;0;398
"045 Georgestown";150;5;0;0;0;0;4;159
"046 Kilbarrymeaden";256;17;0;0;3;1;2;279
"047 Kilmacthomas";1213;49;21;0;1;9;11;1304
"048 Knockmahon";393;17;1;0;8;2;0;421
"049 Mountkennedy";395;10;0;0;1;0;0;406
"050 Newtown";436;14;0;0;0;1;1;452
"051 Stradbally";652;60;0;0;6;7;3;728
"052 Tinnasaggart";78;7;0;0;0;0;1;86
"053 Ballyduff";260;20;1;0;3;4;4;292
"054 Ballyhane";385;20;0;0;2;4;2;413
"055 Ballyin";406;24;5;0;3;1;7;446
"056 Ballynamult";163;13;0;0;1;0;2;179
"057 Ballysaggartmore";291;18;0;0;1;2;3;315
"058 Cappoquin";1127;47;31;4;12;17;7;1245
"059 Castlerichard";480;23;1;0;3;6;1;514
"060 Drumroe";218;32;0;0;3;0;2;255
"061 Gortnapeaky";153;12;0;0;0;0;3;168
"062 Kilcockan";169;24;0;0;0;1;0;194
"063 Kilwatermoy East";95;11;2;0;0;2;0;110
"064 Kilwatermoy West";148;9;0;0;0;1;3;161
"065 Lismore Rural";865;75;0;0;4;16;0;960
"066 Lismore Urban";682;60;5;0;11;9;11;778
"067 Mocollop";194;8;2;0;1;4;2;211
"068 Modelligo";273;16;0;0;0;2;0;291
"069 Tallow";1110;38;1;16;20;7;17;1209
"070 Ballynakill (part)";349;4;0;1;4;7;1;366
"071 Drumcannon";322;7;0;0;1;1;5;336
"072 Faithlegg (part)";1772;69;1;0;9;17;7;1875
"073 Islandikane";1823;86;0;0;15;28;11;1963
"074 Kilbarry (part)";143;4;0;0;1;3;0;151
"075 Killea";1187;52;16;0;10;24;8;1297
"076 Killoteran";606;11;2;2;3;2;0;626
"077 Kilmacleague";344;11;0;0;2;3;0;360
"078 Kilmeadan";785;25;0;0;6;9;1;826
"079 Newcastle";432;15;0;0;2;0;1;450
"080 Pembrokestown";458;9;0;0;2;2;2;473
"081 Rathmoylan";834;49;2;0;4;27;9;925
"082 Reisk";907;21;2;0;3;8;3;944
"083 Tramore";7767;431;12;14;90;305;42;8661
"084 Woodstown";546;27;0;5;3;1;4;586
"085 Ardmore";655;30;3;0;9;1;3;701
"086 Ballyheeny";498;28;0;0;3;6;1;536
"087 Clashmore";360;25;0;0;4;2;1;392
"088 Glenwilliam";160;9;0;0;1;2;3;175
"089 Grallagh";180;11;1;0;3;1;0;196
"090 Grange";229;15;1;0;1;1;8;255
"091 Kinsalebeg";424;28;3;0;7;7;0;469
"092 Templemichael";392;18;0;0;3;5;3;421
"Connacht";442453;18784;7189;1955;7322;13137;4287;495127
"Galway City";57628;1597;2489;532;2464;4267;830;69807
"001 Ballybaan";7752;218;474;109;228;789;107;9677
"002 Baile an Bhriotaihg";573;12;58;9;25;35;6;718
"003 Bearna";10405;378;279;101;430;965;73;12631
"004 An Caisleán Gearr";2751;119;234;45;134;213;43;3539
"005 Claddagh";2208;52;53;4;107;85;23;2532
"006 Dangan";3617;70;102;4;92;161;41;4087
"007 Eyre Square";2638;112;143;8;258;310;100;3569
"008 An Cnocán Carrach";1249;35;10;1;33;39;4;1371
"009 Lough Atalia";973;17;25;0;45;20;15;1095
"010 Mionlach";4361;63;296;128;244;368;24;5484
"011 Mervue";1789;43;75;9;34;45;15;2010
"012 Murroogh";1961;48;108;15;48;104;53;2337
"013 Newcastle";1819;29;21;1;19;75;18;1982
"014 Nuns Island";1124;25;30;0;65;43;9;1296
"015 Rahoon";2317;89;89;33;115;178;53;2874
"016 Renmore";1273;36;26;3;23;30;22;1413
"017 Rockbarton";1495;20;17;9;50;22;17;1630
"018 Paróiste San Nicoláis";1961;48;82;7;151;142;47;2438
"019 Salthill";2479;78;102;18;167;310;70;3224
"020 Shantalla";1654;27;33;5;34;70;25;1848
"021 Taylors Hill";2015;55;129;6;98;212;61;2576
"022 Wellpark";1214;23;103;17;64;51;4;1476
"Galway County";142852;5263;1664;384;1637;3842;1363;157005
"001 Ballinasloe Urban";5233;144;231;58;57;207;51;5981
"002 Abbeygormacan";398;6;0;0;3;1;3;411
"003 Ahascragh";583;17;9;0;0;4;6;619
"004 Aughrim";542;12;0;0;2;9;5;570
"005 Ballinasloe Rural";549;6;0;0;1;5;6;567
"006 Ballymacward";309;4;0;0;3;1;1;318
"007 Clonfert";426;4;2;1;2;3;4;442
"008 Clontuskert";215;8;0;0;0;1;2;226
