"Theme 2 - 2 : Persons usually resident and present in the State on Census Night, classified by nationality, 2006";;;;;;;;
"Nationality";"Irish";"UK";"Polish";"Lithuanian";"Other EU25";"Rest of World";"Not Stated";"Total"
"061 Tahilla";131;26;0;0;15;6;3;181
"062 Aghadoe";687;26;12;0;21;22;4;772
"063 Aglish";333;8;0;0;3;3;4;351
"064 Ballyhar";167;7;0;1;1;2;1;179
"065 Brewsterfield";630;15;0;0;9;17;2;673
"066 Caragh";758;32;0;0;34;7;5;836
"067 Churchtown";425;23;2;0;3;3;4;460
"068 Clydagh";116;3;0;0;4;2;1;126
"069 Coolies";649;25;21;2;8;9;4;718
"070 Coom";1796;54;32;0;5;10;9;1906
"071 Curraghmore";266;9;2;0;3;3;2;285
"072 Currans";245;11;0;0;0;2;0;258
"073 Doocarrig";544;9;1;0;0;12;0;566
"074 Dromin";606;30;0;0;5;1;0;642
"075 Dunloe";676;55;8;0;13;15;9;776
"076 Flesk";350;12;0;0;6;7;2;377
"077 Headfort";589;16;0;0;9;2;0;616
"078 Kilbonane";457;16;2;5;11;5;1;497
"079 Kilcummin";1533;68;1;7;8;24;18;1659
"080 Kilfelim";231;2;0;0;2;0;0;235
"081 Kilgobnet";735;47;4;0;7;12;11;816
"082 Killarney Rural";5388;196;185;35;141;146;71;6162
"083 Killeentierna";839;36;0;0;2;10;4;891
"084 Killorglin";3324;263;21;52;39;63;36;3798
"085 Kilnanare";808;37;0;0;4;10;13;872
"086 Knocknahoe";265;8;2;0;5;3;0;283
"087 Lahard";561;12;0;0;8;4;4;589
"088 Milltown";1310;55;3;28;17;16;10;1439
"089 Molahiffe";1256;71;17;3;14;10;6;1377
"090 Muckross";578;20;31;13;42;26;7;717
"091 Rathmore";1434;29;108;2;12;33;4;1622
"092 Rockfield";301;27;0;0;3;5;1;337
"093 Ardagh";654;19;0;6;1;6;4;690
"094 Astee";489;8;0;0;0;3;0;500
"095 Ballincloher";403;12;0;0;6;6;1;428
"096 Ballyconry";404;21;2;0;0;3;4;434
"097 Ballyduff";871;34;0;0;0;7;8;920
"098 Ballyegan";114;1;0;0;0;0;1;116
"099 Ballyhorgan";375;18;0;0;0;7;3;403
"100 Beal";148;5;0;0;3;3;2;161
"101 Carrig";390;13;0;0;0;4;1;408
"102 Causeway";532;14;5;0;0;3;15;569
"103 Cloontubbrid";301;6;0;0;0;8;2;317
"104 Drommartin";434;15;1;0;0;4;6;460
"105 Duagh";445;15;2;0;2;4;0;468
"106 Ennismore";534;36;0;0;1;5;2;578
"107 Gullane";208;3;0;0;0;2;3;216
"108 Gunsborough";320;18;0;0;2;1;0;341
"109 Kilfeighny";774;43;0;0;11;6;4;838
"110 Killehenny";1658;54;12;0;2;16;21;1763
"111 Killury";507;14;0;0;0;2;4;527
"112 Kilmeany";607;43;1;0;4;2;2;659
"113 Kilshenane";250;8;0;0;0;0;1;259
"114 Kiltomy";382;7;0;3;1;1;9;403
"115 Leitrim";464;23;0;0;0;5;2;494
"116 Lislaughtin";606;19;0;0;3;14;2;644
"117 Lisselton";323;17;0;0;0;1;1;342
"118 Listowel Rural";1294;60;4;0;4;11;12;1385
"119 Lixnaw";714;36;9;0;7;5;10;781
"120 Moynsha";418;24;0;0;6;1;4;453
"121 Newtownsandes";953;49;6;0;3;6;11;1028
"122 Rathea";385;21;0;0;0;1;9;416
"123 Shronowen";227;2;0;0;0;3;6;238
"124 Tarbert";752;23;7;4;2;16;2;806
"125 Tarmon";447;31;0;0;0;7;2;487
"126 Trienearagh";391;14;0;0;2;4;0;411
"127 Urlee";342;5;0;0;0;5;1;353
"128 Abbeydorney";913;38;5;0;3;6;2;967
"129 Arabela";1141;37;1;0;4;11;6;1200
"130 Ardfert";863;34;6;0;4;11;4;922
"131 Ballyegan";273;16;0;0;4;5;1;299
"132 Ballyheige";1271;52;15;0;3;4;5;1350
"133 Ballynahaglish";1303;45;0;0;13;27;4;1392
"134 Ballynorig";449;14;0;0;0;3;3;469
"135 Ballyseedy";1361;67;30;5;27;49;7;1546
"136 Banna";673;44;1;0;4;6;4;732
"137 Baurtregaum";385;24;1;0;3;3;2;418
"138 Blennerville";668;23;0;0;4;12;2;709
"139 Boolteens";409;7;1;0;2;2;1;422
"140 Brosna";693;48;0;0;3;6;4;754
"141 Carker";419;8;0;0;0;2;9;438
"142 Castleisland";2953;51;67;25;6;53;20;3175
"143 Clogherbrien";1489;40;0;0;4;13;3;1549
"144 Cordal";267;5;0;0;0;2;1;275
"145 Crinny";300;7;0;0;0;0;0;307
"146 Derreen";174;6;0;0;0;1;0;181
"147 Doon";584;21;0;0;2;6;4;617
"148 Gneeves";327;10;0;0;0;1;2;340
"149 Kerryhead";553;16;0;0;1;4;0;574
"150 Kilflyn";269;8;2;0;1;0;0;280
"151 Kilgarrylander";570;44;0;0;2;7;1;624
"152 Kilgobban";235;18;0;0;0;3;6;262
"153 Killahan";294;18;0;0;0;0;4;316
"154 Kilmurry";287;12;0;0;0;2;3;304
"155 Kiltallagh";535;28;8;6;3;6;2;588
