"Theme 2 - 1 : Persons usually resident and present in the State on Census Night, classified by place of birth, 2006";;;;;;;
"Birthplace";"Ireland";"UK";"Poland";"Lithuania";"Other EU25";"Rest of World";"Total"
"035 Cabra West C";2521;90;38;30;65;96;2840
"036 Cabra West D";2365;104;50;28;78;166;2791
"037 Clontarf East A";2963;120;18;12;26;73;3212
"038 Clontarf East B";5572;330;76;26;225;313;6542
"039 Clontarf East C";2622;138;30;7;58;101;2956
"040 Clontarf East D";2278;138;17;6;70;117;2626
"041 Clontarf East E";1422;89;13;6;37;56;1623
"042 Clontarf West A";2946;129;43;26;98;164;3406
"043 Clontarf West B";2169;80;28;9;36;64;2386
"044 Clontarf West C";2621;194;79;13;219;306;3432
"045 Clontarf West D";1503;98;93;15;148;184;2041
"046 Clontarf West E";2027;95;37;12;43;104;2318
"047 Drumcondra South A";3193;190;100;20;134;243;3880
"048 Drumcondra South B";1090;66;44;3;50;86;1339
"049 Drumcondra South C";2835;135;22;18;70;127;3207
"050 Edenmore";2529;102;10;11;40;54;2746
"051 Finglas North A";3301;117;9;2;9;26;3464
"052 Finglas North B";2777;89;19;6;31;31;2953
"053 Finglas North C";2768;119;53;5;37;33;3015
"054 Finglas South A";2458;64;18;7;23;55;2625
"055 Finglas South B";3033;116;16;13;31;84;3293
"056 Finglas South C";2486;62;4;6;12;15;2585
"057 Finglas South D";2059;60;10;8;14;29;2180
"058 Grace Park";5182;227;53;41;139;218;5860
"059 Grange A";6286;326;44;26;97;235;7014
"060 Grange B";2444;117;109;19;41;111;2841
"061 Grange C";3055;115;19;16;41;52;3298
"062 Grange D";3772;181;37;23;35;137;4185
"063 Grange E";2423;122;19;9;17;52;2642
"064 Harmonstown A";2576;94;11;14;47;57;2799
"065 Harmonstown B";2371;102;32;11;44;65;2625
"066 Inns Quay A";2703;111;77;33;198;543;3665
"067 Inns Quay B";1856;124;172;53;297;534;3036
"068 Inns Quay C";1794;73;111;11;190;454;2633
"069 Kilmore A";3010;125;46;65;69;152;3467
"070 Kilmore B";2610;77;10;4;8;80;2789
"071 Kilmore C";1383;48;4;0;6;15;1456
"072 Kilmore D";2113;55;15;16;16;37;2252
"073 Mountjoy A";2109;105;266;30;274;546;3330
"074 Mountjoy B";1576;99;368;71;406;788;3308
"075 North City";1296;117;155;27;421;891;2907
"076 North Dock A";959;52;34;13;41;84;1183
"077 North Dock B";2960;155;79;45;177;178;3594
"078 North Dock C";2593;166;166;28;303;653;3909
"079 Phoenix Park";1131;93;52;21;62;174;1533
"080 Priorswood A";1480;63;3;2;9;19;1576
"081 Priorswood B";2713;107;0;6;4;45;2875
"082 Priorswood C";3245;175;12;4;12;68;3516
"083 Priorswood D";2519;99;26;18;37;51;2750
"084 Priorswood E";2563;89;8;10;21;31;2722
"085 Raheny-Foxfield";2363;105;4;3;16;42;2533
"086 Raheny-Greendale";2071;116;13;11;16;41;2268
"087 Raheny-St. Assam";2978;144;14;2;49;90;3277
"088 Rotunda A";2125;121;329;50;364;1076;4065
"089 Rotunda B";981;74;138;28;292;543;2056
"090 Whitehall A";3232;123;43;5;75;185;3663
"091 Whitehall B";3442;164;45;33;106;147;3937
"092 Whitehall C";1881;78;27;19;54;94;2153
"093 Whitehall D";2065;131;61;17;72;196;2542
"094 Chapelizod";2349;206;77;23;87;264;3006
"095 Cherry Orchard A";2479;130;24;19;29;128;2809
"096 Carna";2581;66;3;1;7;30;2688
"097 Cherry Orchard C";3497;113;45;23;20;91;3789
"098 Crumlin A";3445;98;41;9;43;133;3769
"099 Crumlin B";2826;101;34;15;26;112;3114
"100 Crumlin C";2058;77;53;5;52;126;2371
"101 Crumlin D";3502;141;64;15;70;189;3981
"102 Crumlin E";2554;71;31;2;28;100;2786
"103 Crumlin F";2551;82;70;18;40;308;3069
"104 Decies";2726;49;12;0;8;41;2836
"105 Drumfinn";3342;83;15;9;10;63;3522
"106 Inchicore A";1595;76;122;6;40;93;1932
"107 Inchicore B";1573;78;40;4;23;78;1796
"108 Kilmainham A";2205;82;31;13;18;63;2412
"109 Kilmainham B";1205;137;70;13;88;121;1634
"110 Kilmainham C";3326;179;168;37;129;364;4203
"111 Kimmage A";1863;54;24;1;28;39;2009
"112 Kimmage B";3417;104;43;8;27;75;3674
"113 Kimmage C";2334;155;52;8;116;199;2864
"114 Kimmage D";2358;102;8;4;36;78;2586
"115 Kimmage E";3051;134;45;0;57;97;3384
"116 Kylemore";2559;84;6;0;12;25;2686
"117 Mansion House A";2886;218;73;24;255;441;3897
"118 Mansion House B";354;38;13;0;69;83;557
"119 Merchants Quay A";1242;70;96;13;151;297;1869
"120 Merchants Quay B";2004;156;255;11;452;916;3794
"121 Merchants Quay C";1976;127;126;14;186;371;2800
"122 Merchants Quay D";1619;103;40;7;99;163;2031
"123 Merchants Quay E";1355;103;54;8;151;542;2213
"124 Merchants Quay F";1763;113;73;22;73;369;2413
"125 Pembroke East A";4133;188;49;6;151;178;4705
"126 Pembroke East B";2731;247;43;17;122;209;3369
"127 Pembroke East C";2809;316;26;23;159;358;3691
"128 Pembroke East D";3260;251;30;7;149;527;4224
"129 Pembroke East E";2406;294;27;14;247;426;3414
"130 Pembroke West A";3145;270;63;8;187;352;4025
"131 Pembroke West B";1968;222;17;8;137;439;2791
"132 Pembroke West C";2625;308;71;10;252;503;3769
"133 Rathfarnham";3573;382;44;14;154;398;4565
"134 Rathmines East A";2940;279;89;18;213;601;4140
"135 Rathmines East B";3989;356;65;20;224;548;5202
"136 Rathmines East C";2659;233;37;7;119;285;3340
"137 Rathmines East D";1982;185;38;10;118;360;2693
"138 Rathmines West A";3177;285;246;52;334;798;4892
"139 Rathmines West B";2038;229;134;24;256;500;3181
"140 Rathmines West C";1831;183;80;13;150;299;2556
"141 Rathmines West D";2275;206;88;12;152;416;3149
"142 Rathmines West E";2423;220;65;11;156;329;3204
"143 Rathmines West F";1950;226;80;14;141;390;2801
"144 Royal Exchange A";1776;172;45;8;318;536;2855
"145 Royal Exchange B";1073;69;10;2;104;284;1542
"146 St. Kevin's";2700;261;157;24;310;922;4374
"147 South Dock";3143;374;113;12;493;587;4722
"148 Terenure A";2765;170;54;6;113;209;3317
"149 Terenure B";2840;153;22;11;73;172;3271
"150 Terenure C";1571;98;15;1;20;59;1764
"151 Terenure D";725;52;1;0;6;16;800
"152 Ushers A";1014;94;114;6;92;577;1897
"153 Ushers B";709;76;103;9;91;249;1237
"154 Ushers C";2368;151;139;11;129;222;3020
"155 Ushers D";1180;79;79;4;36;256;1634
"156 Ushers E";1588;72;35;4;50;160;1909
"157 Ushers F";2529;188;40;10;98;321;3186
"158 Walkinstown A";1792;58;28;10;11;64;1963
"159 Walkinstown B";1637;63;14;7;12;62;1795
"160 Walkinstown C";1930;70;36;12;31;44;2123
"161 Wood Quay A";2173;131;21;6;94;172;2597
"162 Wood Quay B";2161;199;119;16;240;668;3403
"Dún Laoghaire-Rathdown";161430;11742;1788;386;4391;10684;190421
"001 Ballinteer-Broadford";2749;143;29;7;35;169;3132
"002 Ballinteer-Ludford";1914;83;6;7;17;69;2096
"003 Ballinteer-Marley";2189;105;11;7;23;91;2426
"004 Ballinteer-Meadowbroads";1366;83;7;4;29;71;1560
"005 Ballinteer-Meadowmount";1792;87;5;14;16;44;1958
"006 Ballinteer-Woodpark";3770;238;16;0;63;177;4264
"007 Ballybrack";2854;155;13;2;31;100;3155
"008 Blackrock-Booterstown";2209;209;51;2;96;287;2854
"009 Blackrock-Carysfort";4572;306;56;10;162;398;5504
"010 Blackrock-Central";2720;268;40;13;125;325;3491
"011 Blackrock-Glenomena";1445;94;9;5;61;171;1785
"012 Blackrock-Monkstown";2401;236;54;26;113;173;3003
"013 Blackrock-Newpark";1774;148;20;3;49;97;2091
"014 Blackrock-Seapoint";1012;108;23;2;71;90;1306
"015 Blackrock-Stradbrook";2005;147;23;8;39;113;2335
"016 Blackrock-Templehill";2174;179;21;5;86;171;2636
"017 Blackrock-Williamstown";1779;183;15;6;72;249;2304
"018 Cabinteely-Granitefield";2064;143;28;6;53;93;2387
"019 Cabinteely-Kilbogget";2745;119;7;0;16;75;2962
"020 Cabinteely-Loughlinstown";1865;179;67;21;108;281;2521
"021 Cabinteely-Pottery";4301;235;18;8;72;182;4816
"022 Churchtown-Castle";1100;57;1;0;19;59;1236
"023 Churchtown-Landscape";1079;61;0;3;13;25;1181
"024 Churchtown-Nutgrove";2754;117;20;2;46;133;3072
"025 Churchtown-Orwell";1625;99;3;0;27;58;1812
"026 Churchtown-Woodlawn";1123;79;6;0;37;51;1296
"027 Clonskeagh-Belfield";1650;131;10;0;96;303;2190
"028 Clonskeagh-Farranboley";1291;62;6;9;22;81;1471
"029 Clonskeagh-Milltown";1533;88;5;0;66;179;1871
"030 Clonskeagh-Roebuck";1676;133;6;0;50;129;1994
"031 Clonskeagh-Windy Arbour";2034;123;35;6;99;175;2472
"032 Dalkey-Avondale";1215;115;8;0;13;40;1391
"033 Dalkey-Bullock";1427;121;3;0;28;82;1661
"034 Dalkey-Coliemore";1128;113;3;0;30;94;1368
"035 Dalkey Hill";1084;145;2;0;33;79;1343
"036 Dalkey Upper";1799;165;4;0;46;82;2096
"037 Dundrum-Balally";4153;262;57;26;91;239;4828
"038 Dundrum-Kilmacud";2301;216;53;11;98;252;2931
"039 Dundrum-Sandyford";4875;351;77;13;109;301;5726
"040 Dundrum-Sweetmount";1633;92;17;2;29;80;1853
"041 Dundrum-Taney";2243;110;11;1;74;114;2553
"042 Dún Laoghaire-East Central";1214;131;79;4;120;229;1777
"043 Dún Laoghaire-Glasthule";2142;210;29;0;50;162;2593
"044 Dún Laoghaire-Glenageary";1492;154;74;2;63;146;1931
"045 Dún Laoghaire-Monkstown Farm";1682;88;37;5;55;90;1957
"046 Dún Laoghaire-Mount Town";1427;82;15;0;21;52;1597
"047 Dún Laoghaire-Sallynoggin East";2562;151;15;0;42;101;2871
"048 Dún Laoghaire-Sallynoggin South";1222;69;21;6;14;33;1365
"049 Dún Laoghaire-Sallynoggin West";1792;86;35;0;27;29;1969
"050 Dún Laoghaire-Sandycove";3004;323;36;5;84;214;3666
"051 Dún Laoghaire-Salthill";1121;148;72;0;85;215;1641
"052 Dún Laoghaire-West Central";1538;126;62;9;79;177;1991
"053 Foxrock-Beechpark";1490;111;9;1;21;55;1687
"054 Foxrock-Carrickmines";5013;431;13;10;137;318;5922
"055 Foxrock-Deans Grange";2129;168;7;0;47;101;2452
"056 Foxrock-Torquay";1162;81;22;0;23;66;1354
"057 Glencullen";11368;886;173;20;328;785;13560
"058 Killiney North";2712;260;12;0;58;145;3187
"059 Killiney South";5654;336;37;10;82;186;6305
"060 Shankill-Rathmichael";3857;327;26;17;99;231;4557
"061 Shankill-Rathsallagh";2968;188;5;0;40;131;3332
"062 Shankill-Shanganagh";4348;324;58;45;149;308;5232
"063 Stillorgan-Deerpark";2473;167;12;7;55;85;2799
"064 Stillorgan-Kilmacud";3300;214;26;2;79;173;3794
"065 Stillorgan-Leopardstown";1733;120;4;3;42;128;2030
"066 Stillorgan-Merville";2335;170;17;6;91;209;2828
"067 Stillorgan-Mount Merrion";2045;131;13;0;49;121;2359
"068 Stillorgan-Priory";1633;117;25;1;69;171;2016
"069 Tibradden";591;55;8;4;19;41;718
"Fingal";191746;12239;3685;2270;7476;19358;236774
"001 Airport";1008;92;72;18;62;143;1395
"002 Balbriggan Rural";7764;489;96;42;229;938;9558
"003 Balbriggan Urban";5762;375;43;16;136;340;6672
"004 Baldoyle";5292;312;35;16;77;165;5897
"005 Balgriffin";788;65;6;1;7;26;893
"006 Ballyboghil";891;30;1;0;10;15;947
"007 Balscadden";591;33;1;0;9;15;649
"008 Blanchardstown-Abbotstown";2602;144;153;94;294;774;4061
"009 Blanchardstown-Blakestown";23808;1398;589;615;939;4702;32051
"010 Blanchardstown-Coolmine";8275;421;251;147;342;1256;10692
"011 Blanchardstown-Corduff";4011;193;56;65;74;390;4789
"012 Blanchardstown-Delwood";3902;184;82;93;135;521;4917
"013 Blanchardstown-Mulhuddart";1864;98;116;44;121;508;2751
"014 Blanchardstown-Roselawn";1592;56;8;16;42;93;1807
"015 Blanchardstown-Tyrrelstown";1289;70;7;0;25;154;1545
"016 Castleknock-Knockmaroon";12863;853;308;273;532;2020;16849
"017 Castleknock-Park";3800;214;37;12;85;159;4307
"018 Clonmethan";580;22;9;0;5;6;622
"019 Donabate";6403;534;71;7;129;381;7525
"020 Dubber";2726;124;153;45;170;470;3688
"021 Garristown";1079;43;9;0;24;22;1177
"022 Hollywood";953;33;0;0;0;7;993
"023 Holmpatrick";2921;136;0;4;24;54;3139
"024 Howth";6924;591;30;1;173;307;8026
"025 Kilsallaghan";1903;95;8;10;26;25;2067
"026 Kinsaley";4612;292;69;35;164;256;5428
" 027 Lucan North";970;91;6;7;14;61;1149
"028 Lusk";6018;341;49;56;190;339;6993
"029 Malahide East";4872;501;37;2;174;390;5976
"030 Malahide West";5411;401;27;15;116;228;6198
"031 Portmarnock North";4084;228;8;2;51;114;4487
"032 Portmarnock South";3108;208;14;5;64;97;3496
"033 Rush";6834;404;170;67;406;257;8138
"034 Skerries";6777;581;52;31;229;430;8100
"035 Sutton";5052;318;55;31;107;237;5800
"036 Swords-Forrest";9704;648;286;147;636;871;12292
"037 Swords-Glasmore";6548;338;203;54;245;289;7677
"038 Swords-Lissenhall";6884;477;234;98;533;697;8923
"039 Swords-Seatown";4752;378;61;17;295;308;5811
"040 Swords Village";1843;109;42;32;224;222;2472
"041 The Ward";3251;252;203;89;317;1013;5125
"042 Turnapin";1435;67;28;63;41;58;1692
"South Dublin";210770;9971;3614;2059;3542;14731;244687
"001 Ballinascorney";601;38;10;15;17;59;740
"002 Ballyboden";4633;220;34;18;57;187;5149
"003 Bohernabreena";3847;185;21;12;39;150;4254
"004 Clondalkin-Ballymount";1742;56;44;10;51;92;1995
"005 Clondalkin-Cappaghmore";1759;92;8;9;6;47;1921
"006 Clondalkin-Dunawley";9078;423;254;116;131;830;10832
"007 Clondalkin-Monastery";8053;404;487;268;186;750;10148
"008 Clondalkin-Moorfield";5487;213;51;10;33;157;5951
"009 Clondalkin-Rowlagh";3959;111;27;6;17;54;4174
"010 Clondalkin Village";7048;361;308;135;152;502;8506
"011 Edmondstown";5002;248;35;13;73;259;5630
"012 Firhouse-Ballycullen";5715;316;22;21;88;405;6567
"013 Firhouse-Knocklyon";3720;134;14;7;26;85;3986
"014 Firhouse Village";9006;455;70;65;196;894;10686
"015 Lucan-Esker";19018;1277;426;506;585;3799;25611
"016 Lucan Heights";4579;243;34;24;65;251;5196
"017 Lucan-St. Helen's";5645;323;70;47;86;353;6524
"018 Newcastle";2303;119;42;25;51;63;2603
"019 Palmerston Village";3388;106;47;32;40;125;3738
"020 Palmerston West";6912;235;85;30;77;269;7608
"021 Rathcoole";3057;174;127;13;55;140;3566
"022 Rathfarnham-Ballyroan";2251;102;6;6;22;73;2460
"023 Rathfarnham-Butterfield";2922;154;21;1;31;115;3244
"024 Rathfarnham-Hermitage";3963;233;45;9;69;245;4564
"025 Rathfarnham-St. Enda's";3425;181;31;22;69;156;3884
"026 Rathfarnham Village";2562;154;45;11;62;171;3005
"027 Saggart";1696;92;31;5;22;72;1918
"028 Tallaght-Avonbeg";1462;52;4;0;18;28;1564
"029 Tallaght-Belgard";1536;54;64;58;53;66;1831
"030 Tallaght-Fettercairn";5856;283;38;26;51;322;6576
"031 Tallaght-Glenview";1063;43;24;6;24;77;1237
"032 Tallaght-Jobstown";11158;557;204;117;199;1212;13447
"033 Tallaght-Killinardan";3847;178;25;4;26;53;4133
"034 Tallaght-Kilnamanagh";4551;134;68;39;49;81;4922
"035 Tallaght-Kiltipper";5689;255;49;30;61;326;6410
"036 Tallaght-Kingswood";3532;138;70;20;42;120;3922
"037 Tallaght-Millbrook";3235;103;25;34;37;105;3539
"038 Tallaght-Oldbawn";3824;172;75;28;60;193;4352
"039 Tallaght-Springfield";5721;223;377;186;267;991;7765
"040 Tallaght-Tymon";4674;197;41;20;52;119;5103
"041 Templeogue-Cypress";2672;104;8;14;39;90;2927
"042 Templeogue-Kimmage Manor";3728;196;28;5;65;198;4220
"043 Templeogue-Limekiln";3381;113;43;6;15;76;3634
"044 Templeogue-Orwell";2145;75;7;0;25;42;2294
"045 Templeogue-Osprey";2401;65;5;1;10;61;2543
"046 Templeogue Village";1596;142;12;1;52;112;1915
"047 Terenure-Cherryfield";2003;79;19;19;34;77;2231
"048 Terenure-Greentrees";2681;97;10;4;23;46;2861
"049 Terenure-St. James";2644;62;23;5;34;33;2801
"Kildare County";158086;10354;4021;1048;3102;7719;184330
"001 Athy East Urban";2720;184;70;16;85;143;3218
"002 Athy West Urban";2596;145;59;7;48;162;3017
"003 Naas Urban";15306;1051;1355;261;482;1312;19767
"004 Athy Rural";2159;112;37;11;53;105;2477
"005 Ballaghmoon";205;7;0;0;2;3;217
"006 Ballitore";704;48;4;0;8;12;776
"007 Ballybrackan";440;23;0;0;0;3;466
"008 Ballyshannon";1439;122;5;1;9;41;1617
"009 Belan";198;11;0;0;5;5;219
"010 Bert";146;4;0;0;1;2;153
"011 Burtown";271;24;0;0;4;12;311
"012 Carrigeen";523;30;2;4;2;13;574
"013 Castledermot";1205;45;13;0;8;21;1292
"014 Churchtown";440;40;0;0;1;0;481
"015 Dunmanoge";425;22;4;4;1;1;457
"016 Fontstown";352;15;2;0;2;7;378
"017 Graney";564;32;6;0;6;11;619
"018 Grangemellon";539;20;0;0;0;9;568
"019 Harristown";353;21;0;1;1;5;381
"020 Inchaquire";171;9;0;1;1;3;185
"021 Johnstown";150;11;3;0;1;2;167
"022 Kilberry";564;14;0;0;0;2;580
"023 Kildangan";486;27;2;0;9;5;529
"024 Kilkea";297;22;2;0;0;5;326
"025 Kilrush";544;32;1;0;1;2;580
"026 Lackagh";620;32;0;1;5;18;676
"027 Monasterevin";3280;178;60;3;39;60;3620
"028 Moone";388;24;0;0;8;5;425
"029 Narraghmore";636;48;4;0;10;12;710
"030 Nurney";830;43;0;1;4;13;891
"031 Quinsborough";122;12;0;0;0;2;136
"032 Skerries";449;24;0;0;6;4;483
"033 Balraheen";1460;115;5;7;11;31;1629
"034 Celbridge";12226;981;196;216;314;895;14828
"035 Cloncurry";1263;78;6;0;10;34;1391
"036 Donadea";622;32;2;0;5;17;678
"037 Donaghcumper";3562;276;61;33;67;196;4195
"038 Kilcock";3908;278;211;15;68;156;4636
"039 Leixlip";12654;728;200;53;267;740;14642
"040 Maynooth";9123;723;253;63;262;765;11189
"041 Straffan";1230;67;16;0;26;32;1371
"042 Ballynadrumny";474;23;5;5;10;13;530
"043 Cadamstown";988;74;6;0;6;19;1093
"044 Carbury";1585;64;0;40;16;12;1717
"045 Carrick";222;16;0;0;0;8;246
"046 Cloncurry";317;22;5;2;2;3;351
"047 Drehid";213;7;0;7;0;1;228
"048 Dunfierth";640;31;1;2;2;8;684
"049 Killinthomas";421;12;0;0;0;4;437
"050 Kilpatrick";778;48;1;5;5;4;841
"051 Kilrainy";561;43;4;3;3;6;620
"052 Lullymore";171;8;0;0;0;2;181
"053 Rathangan";1333;82;26;0;17;26;1484
"054 Thomastown";654;48;0;1;9;11;723
"055 Windmill Cross";763;52;0;35;12;16;878
"056 Ballymore Eustace";1369;92;13;5;16;10;1505
"057 Ballysax East";1983;84;3;4;19;24;2117
"058 Ballysax West";949;54;5;0;7;20;1035
"059 Bodenstown";3176;253;38;10;52;181;3710
"060 Carnalway";1489;107;12;1;30;51;1690
"061 Carragh";1358;84;1;3;5;30;1481
"062 Clane";5099;432;132;28;130;234;6055
"063 Donore";682;35;14;0;3;14;748
"064 Downings";2286;153;14;5;30;76;2564
"065 Droichead Nua (Newbridge) Rural";1632;123;5;2;11;73;1846
"066 Droichead Nua (Newbridge) Urban";6332;383;377;32;232;439;7795
"067 Dunmurry";356;21;4;2;5;11;399
"068 Feighcullen";474;25;8;0;3;7;517
"069 Gilltown";788;54;0;5;12;23;882
"070 Kilcullen";2646;166;35;12;50;98;3007
"071 Kildare";7361;430;171;31;151;559;8703
"072 Kill";3320;223;9;18;26;101;3697
"073 Killashee";212;20;4;9;14;14;273
"074 Kilmeage North";1628;110;3;4;10;15;1770
"075 Kilmeage South";1495;101;21;3;10;29;1659
"076 Kilteel";497;39;1;0;1;11;549
"077 Ladytown";755;33;21;0;8;20;837
"078 Morristownbiller";9224;619;399;43;286;460;11031
"079 Naas Rural";1397;108;57;18;31;84;1695
"080 Newtown";442;21;0;1;0;7;471
"081 Oldconnell";782;35;13;0;9;21;860
"082 Oughterard";631;24;7;0;6;15;683
"083 Pollardstown";253;24;1;0;4;8;290
"084 Rathernan";474;25;0;1;1;4;505
"085 Rathmore";921;54;7;3;9;17;1011
"086 Robertstown";1765;82;1;10;10;29;1897
"087 Timahoe North";940;37;1;0;3;7;988
"088 Timahoe South";641;46;1;0;1;22;711
"089 Usk";439;17;16;0;3;6;481
"Kilkenny County";77467;5088;995;207;1064;1868;86689
"001 Kilkenny No. 1 Urban";4123;228;216;24;135;284;5010
"002 Kilkenny No. 2 Urban";2889;162;79;8;103;155;3396
"003 Burnchurch";443;16;0;0;1;6;466
"004 Callan Rural";1217;74;2;0;10;15;1318
"005 Callan Urban";1293;100;10;3;44;35;1485
"006 Coolaghmore";321;21;0;0;12;9;363
"007 Dunamaggan";320;28;0;0;1;4;353
"008 Earlstown";191;9;0;0;0;5;205
"009 Kells";533;48;7;1;5;15;609
"010 Killamery";188;15;0;0;3;0;206
"011 Kilmaganny";605;57;1;0;9;10;682
"012 Kilmanagh";421;25;0;0;4;9;459
"013 Mallardstown";180;12;0;0;16;10;218
"014 Scotsborough";146;9;0;0;0;0;155
"015 Tullaghanbrogue";386;25;0;0;1;5;417
"016 Boolyglass";133;2;0;0;0;1;136
"017 Fiddown";675;60;8;0;6;13;762
"018 Muckalee";148;15;0;0;0;0;163
"019 Pilltown";1359;125;14;1;33;34;1566
"020 Templeorum";342;43;0;0;3;16;404
"021 Tubbrid";340;24;3;0;0;5;372
"022 Tullahought";156;5;0;1;2;0;164
"023 Whitechurch";372;39;1;0;3;4;419
"024 Attanagh";339;17;5;0;2;4;367
"025 Ballyragget";1296;116;0;0;9;20;1441
"026 Castlecomer";2169;158;25;9;8;28;2397
"027 Clogh";1166;74;0;0;4;7;1251
"028 Clogharinka";216;5;0;0;1;2;224
"029 Kilmacar";403;17;0;0;0;5;425
"030 Moneenroe";1158;82;0;0;2;13;1255
"031 Mothell";381;31;2;2;1;12;429
"032 Muckalee";424;19;0;0;0;7;450
"033 Brownsford";119;3;0;0;0;0;122
"034 Dysartmoon";228;22;0;0;0;3;253
"035 Jerpoint West";170;15;0;0;1;0;186
"036 Listerlin";297;14;0;0;0;1;312
"037 Rosbercon Rural";502;40;3;6;6;4;561
"038 Shanbogh";451;19;0;0;1;4;475
"039 The Rower";715;31;0;0;3;4;753
"040 Ballinamara";292;28;2;0;4;2;328
"041 Ballybeagh";252;23;0;0;0;2;277
"042 Ballycallan";410;25;0;0;0;1;436
"043 Clara";574;29;0;0;1;3;607
"044 Coolcraheen";457;26;0;0;3;9;495
"045 Dunbell";477;21;0;0;0;11;509
"046 Dunmore";420;27;3;0;3;4;457
"047 Freshford";973;55;15;0;22;18;1083
"048 Gowran";1028;59;4;0;7;11;1109
"049 Grange";724;63;0;0;3;9;799
"050 Kilkenny Rural";12949;851;340;114;337;491;15082
"051 Kilkieran";521;27;0;0;2;11;561
"052 Odagh";403;21;0;0;4;15;443
"053 Outrath";675;38;4;0;2;9;728
"054 Paulstown";754;57;34;0;6;14;865
"055 Rathcoole";387;24;0;1;0;4;416
"056 Rathealy";157;7;0;0;1;1;166
"057 St. Canice";523;22;2;0;2;10;559
"058 Shankill";579;40;6;0;11;4;640
"059 Tiscoffin";312;34;4;0;3;9;362
"060 Tullaroan";286;13;5;0;2;0;306
"061 Aghaviller";362;19;4;0;0;8;393
"062 Ballyhale";303;16;0;0;5;3;327
"063 Ballyvool";154;6;0;0;0;5;165
"064 Bennettsbridge";831;63;3;0;5;9;911
"065 Bramblestown";198;13;0;0;1;2;214
"066 Castlebanny";142;10;0;0;0;2;154
"067 Castlegannon";103;9;0;0;0;3;115
"068 Coolhill";259;10;0;0;0;3;272
"069 Danesfort";443;23;0;0;6;14;486
"070 Ennisnag";485;49;2;0;5;16;557
"071 Famma";239;31;1;0;3;9;283
"072 Freaghana";185;6;0;0;0;3;194
"073 Goresbridge";539;46;3;0;5;3;596
"074 Graiguenamanagh";1428;115;6;0;11;14;1574
"075 Inistioge";660;65;2;0;7;15;749
"076 Jerpoint Church";723;35;1;0;8;20;787
"077 Kilfane";226;18;2;0;0;5;251
"078 Kilkeasy";282;15;0;0;1;5;303
"079 Kiltorcan";131;16;2;0;0;2;151
"080 Knocktopher";392;21;11;0;8;1;433
"081 Pleberstown";157;9;0;0;1;4;171
"082 Powerstown";433;36;0;0;2;5;476
"083 Stonyford";483;30;0;0;5;15;533
"084 Thomastown";1628;155;24;4;31;43;1885
"085 Tullaherin";164;19;1;0;0;5;189
"086 Ullard";220;21;1;2;5;1;250
"087 Woolengrange";247;17;0;0;2;0;266
"088 Balleen";366;32;3;0;0;3;404
"089 Ballyconra";260;7;0;0;0;0;267
"090 Baunmore";138;11;0;0;1;0;150
"091 Clomantagh";249;24;0;0;2;1;276
"092 Galmoy";277;7;1;0;0;1;286
"093 Glashare";293;6;0;0;0;1;300
"094 Johnstown";820;28;9;0;2;8;867
"095 Lisdowney";201;10;0;0;0;3;214
"096 Rathbeagh";212;18;0;0;1;2;233
"097 Tubbridbrittain";272;6;0;0;0;0;278
"098 Urlingford";923;70;53;9;5;27;1087
"099 Aglish";856;44;0;0;4;8;912
"100 Ballincrea";283;24;1;0;1;0;309
"101 Dunkitt";944;43;7;0;7;7;1008
"102 Farnoge";273;4;0;0;0;2;279
"103 Kilbeacon";170;2;0;0;0;2;174
"104 Kilbride";326;12;0;0;4;6;348
"105 Kilcolumb";504;33;1;0;2;5;545
"106 Kilculliheen (part)";3030;204;57;10;64;101;3466
"107 Killahy";662;33;1;0;2;5;703
"108 Kilmakevoge";401;20;0;1;0;3;425
"109 Pollrone";1074;77;1;4;2;18;1176
"110 Portnascully";924;71;0;7;4;27;1033
"111 Rathpatrick";1091;47;0;0;5;15;1158
"112 Rossinan";684;32;0;0;3;12;731
"113 Ullid";849;55;3;0;2;9;918
"Laoighis County";59304;3411;960;469;803;1591;66538
"001 Abbeyleix";2253;175;12;11;32;56;2539
"002 Aghmacart";276;10;2;0;5;3;296
"003 Ballinakill";724;40;0;0;3;4;771
"004 Ballyroan";653;29;1;1;1;6;691
"005 Blandsfort";261;18;0;0;0;1;280
"006 Caher";71;9;0;0;1;2;83
"007 Castletown";588;25;10;0;1;10;634
"008 Clash";295;12;0;0;0;3;310
"009 Clonkeen";609;18;0;0;1;10;638
"010 Colt";206;3;0;0;0;1;210
"011 Cuffsborough";217;7;3;0;5;4;236
"012 Cullahill";319;4;1;11;5;1;341
"013 Cullenagh";101;8;0;0;0;1;110
"014 Donaghmore";220;15;5;0;2;4;246
"015 Donore";387;27;1;0;1;0;416
"016 Dunmore";205;13;0;0;2;0;220
"017 Durrow";1102;72;9;0;54;15;1252
"018 Dysartgallen";233;2;0;3;0;3;241
"019 Fossy";119;11;0;0;0;0;130
"020 Grantstown";292;7;0;0;2;6;307
"021 Kilcoke";140;6;4;0;0;6;156
"022 Kildellig";210;8;9;0;2;4;233
"023 Killermogh";299;21;4;0;7;5;336
"024 Kilnaseer";282;11;1;0;5;7;306
"025 Raheen";378;12;0;0;2;2;394
"026 Rathdowney";1131;68;15;0;45;26;1285
"027 Timahoe";509;14;0;0;0;2;525
"028 Ballyadams";319;28;1;0;0;5;353
