"Theme 2 - 1 : Persons usually resident and present in the State on Census Night, classified by place of birth, 2006";;;;;;;
"Birthplace";"Ireland";"UK";"Poland";"Lithuania";"Other EU25";"Rest of World";"Total"
"057 Emyvale";898;144;4;132;20;19;1217
"058 Enagh";388;70;4;4;4;5;475
"059 Figullar";323;69;1;15;0;8;416
"060 Glaslough";573;158;1;4;3;12;751
"061 Killylough";496;45;1;0;0;9;551
"062 Kilmore";467;53;0;1;2;0;523
"063 Monaghan Rural";4025;588;255;349;147;151;5515
"064 Rackwallace";676;94;3;7;7;5;792
"065 Scotstown";897;147;5;0;6;19;1074
"066 Shanmullagh";194;22;0;0;0;7;223
"067 Sheskin";465;77;0;1;1;7;551
"068 Tedavnet";734;94;0;8;4;14;854
"069 Tehallan";700;149;10;17;7;16;899
"070 Tullycorbet";582;45;0;1;1;6;635
"State";3559384;271781;63090;24808;78810;174140;4172013
