"Theme 2 - 4 : Usually resident population aged one year and over by usual residence one year before Census Day, 2006";;;;;
"Usual Residence";"Same address";"Elsewhere in County";"Elsewhere in Ireland";"Outside Ireland";"Total"
"007 Ballytruckle";4489;275;62;94;4920
"008 Bilberry";444;47;28;62;581
"009 Centre A";364;75;19;30;488
"010 Centre B";229;33;17;6;285
"011 Cleaboy";2643;141;64;46;2894
"012 Custom House A";275;42;17;25;359
"013 Custom House B";239;13;6;25;283
"014 Farranshoneen";4606;315;168;156;5245
"015 Ferrybank";872;17;17;20;926
"016 Gracedieu";366;5;0;1;372
"017 Grange North";905;86;11;21;1023
"018 Grange South";1686;66;21;20;1793
"019 Grange Upper";2088;178;116;154;2536
"020 Kilbarry";559;125;63;30;777
"021 Kingsmeadow";1183;110;36;26;1355
"022 Larchville";808;33;6;7;854
"023 Lisduggan";1045;26;2;9;1082
"024 Military Road";807;18;15;18;858
"025 Morrisson's Avenue East";416;32;11;35;494
"026 Morrisson's Avenue West";299;9;0;6;314
"027 Morrisson's Road";534;24;9;2;569
"028 Mount Sion";630;59;34;17;740
"029 Newport's Square";477;48;10;13;548
"030 Newtown";1080;66;14;12;1172
"031 Park";1018;124;75;110;1327
"032 Poleberry";1002;123;134;49;1308
"033 Roanmore";842;28;8;6;884
"034 Shortcourse";279;28;6;11;324
"035 Slievekeale";598;33;6;8;645
"036 The Glen";379;75;45;83;582
"037 Ticor North";2007;69;39;32;2147
"038 Ticor South";387;20;6;2;415
"Waterford County";55379;2884;1084;1004;60351
"001 Dungarvan No. 1 Urban";3960;308;54;118;4440
"002 Dungarvan No. 2 Urban";2695;179;70;102;3046
"003 Ballydurn";164;1;1;0;166
"004 Carrickbeg Rural";438;0;13;2;453
"005 Clonea";390;5;6;1;402
"006 Fenoagh";203;3;7;3;216
"007 Glen";380;6;8;4;398
"008 Kilmeadan";642;39;3;1;685
"009 Mothel";410;16;1;9;436
"010 Portlaw";1233;86;24;22;1365
"011 Rathgormuck";167;1;3;1;172
"012 Ross";243;9;5;1;258
"013 Ballymacarbry";405;11;5;5;426
"014 Graignagower";443;10;9;4;466
"015 Gurteen";286;7;21;6;320
"016 Kilmacomma";457;3;9;7;476
"017 Kilronan";149;0;14;0;163
"018 St. Mary's";577;8;30;6;621
"019 Aird Mhór";154;2;4;0;160
"020 Baile Mhac Airt";336;8;6;0;350
"021 Bohadoon";219;12;3;1;235
"022 Cappagh";341;9;5;8;363
"023 Carriglea";516;33;6;4;559
"024 Clonea";1503;138;44;35;1720
"025 Colligan";535;36;9;9;589
"026 Coumaraglin";211;12;4;1;228
"027 Dromana";477;40;13;5;535
"028 Dromore";178;6;2;5;191
"029 Dungarvan Rural";1183;116;36;53;1388
"030 Keereen";226;4;4;0;234
"031 Knockaunbrandaun";151;0;2;0;153
"032 Modelligo";245;13;3;4;265
"033 Mountstuart";73;2;0;0;75
"034 An Rinn";1070;39;24;25;1158
"035 Seskinan";407;15;1;3;426
"036 Whitechurch";182;15;7;1;205
"037 Annestown";687;45;7;10;749
"038 Ballylaneen";234;14;1;3;252
"039 Carrigcastle";267;5;0;0;272
"040 Comeragh";430;21;3;11;465
"041 Dunhill";210;5;2;0;217
"042 Fews";242;2;2;2;248
"043 Fox's Castle";370;10;0;1;381
"044 Gardenmorris";363;19;7;4;393
"045 Georgestown";145;3;4;2;154
"046 Kilbarrymeaden";249;20;0;3;272
"047 Kilmacthomas";1185;60;17;19;1281
"048 Knockmahon";389;15;5;4;413
"049 Mountkennedy";388;9;2;0;399
"050 Newtown";419;16;6;2;443
"051 Stradbally";657;27;16;17;717
"052 Tinnasaggart";84;0;0;0;84
"053 Ballyduff";264;10;11;3;288
"054 Ballyhane";391;14;4;2;411
"055 Ballyin";417;12;4;9;442
"056 Ballynamult";166;8;0;0;174
"057 Ballysaggartmore";302;6;1;2;311
"058 Cappoquin";1138;43;11;37;1229
"059 Castlerichard";480;6;10;14;510
"060 Drumroe";247;1;4;2;254
"061 Gortnapeaky";152;5;7;3;167
"062 Kilcockan";185;3;4;1;193
"063 Kilwatermoy East";105;0;2;2;109
"064 Kilwatermoy West";149;0;5;4;158
"065 Lismore Rural";885;37;14;8;944
"066 Lismore Urban";711;25;17;16;769
"067 Mocollop";198;2;4;5;209
"068 Modelligo";277;8;1;0;286
"069 Tallow";1116;23;33;19;1191
"070 Ballynakill (part)";314;42;3;5;364
"071 Drumcannon";309;14;8;4;335
"072 Faithlegg (part)";1760;63;20;7;1850
"073 Islandikane";1799;92;19;27;1937
"074 Kilbarry (part)";127;21;1;0;149
"075 Killea";1127;93;29;27;1276
"076 Killoteran";595;11;10;5;621
"077 Kilmacleague";336;15;1;1;353
"078 Kilmeadan";780;18;11;3;812
"079 Newcastle";412;27;2;2;443
"080 Pembrokestown";447;18;1;1;467
"081 Rathmoylan";816;47;10;37;910
"082 Reisk";873;41;11;7;932
"083 Tramore";7541;594;164;190;8489
"084 Woodstown";530;40;5;5;580
"085 Ardmore";633;23;33;6;695
"086 Ballyheeny";489;17;18;3;527
"087 Clashmore";367;5;11;5;388
"088 Glenwilliam";168;2;1;1;172
"089 Grallagh";186;3;0;3;192
"090 Grange";229;13;6;5;253
"091 Kinsalebeg";422;13;23;5;463
"092 Templemichael";368;6;37;4;415
"Connacht";435949;26173;11383;14759;488264
"Galway City";54223;7619;2942;4125;68909
"001 Ballybaan";7316;1274;378;514;9482
"002 Baile an Bhriotaihg";534;78;27;71;710
"003 Bearna";10381;1092;430;478;12381
"004 An Caisleán Gearr";2764;356;123;250;3493
"005 Claddagh";2004;259;107;147;2517
"006 Dangan";3102;464;283;204;4053
"007 Eyre Square";2271;613;280;390;3554
"008 An Cnocán Carrach";1170;108;35;48;1361
"009 Lough Atalia";916;74;44;53;1087
"010 Mionlach";4100;638;276;428;5442
"011 Mervue";1757;118;48;73;1996
"012 Murroogh";1766;274;123;148;2311
"013 Newcastle";1709;172;27;54;1962
"014 Nuns Island";978;176;60;79;1293
"015 Rahoon";2298;259;123;145;2825
"016 Renmore";1203;132;36;28;1399
"017 Rockbarton";1416;117;29;60;1622
"018 Paróiste San Nicoláis";1609;438;149;228;2424
"019 Salthill";2381;358;139;293;3171
"020 Shantalla";1523;171;59;56;1809
"021 Taylors Hill";1938;273;91;246;2548
"022 Wellpark";1087;175;75;132;1469
"Galway County";141382;7639;2024;3610;154655
"001 Ballinasloe Urban";5094;393;140;266;5893
"002 Abbeygormacan";391;13;1;0;405
"003 Ahascragh";580;17;7;8;612
"004 Aughrim";546;8;4;5;563
"005 Ballinasloe Rural";543;17;1;1;562
"006 Ballymacward";289;19;3;3;314
"007 Clonfert";425;4;4;1;434
"008 Clontuskert";220;5;1;0;226
"009 Kellysgrove";321;11;5;1;338
"010 Kilconnell";636;21;5;12;674
"011 Killaan";491;11;4;7;513
"012 Killallaghtan";407;18;3;1;429
"013 Killoran";269;6;5;1;281
"014 Killure";754;24;4;1;783
"015 Kilmacshane";208;6;3;10;227
"016 Kiltormer";530;23;2;6;561
"017 Kylemore";166;1;1;1;169
"018 Laurencetown";352;11;4;0;367
"019 Lismanny";233;2;0;2;237
"020 Oatfield";383;17;6;0;406
"021 Ballynakill";438;37;10;6;491
"022 Binn an Choire";187;4;1;12;204
"023 Bunowen";394;14;2;7;417
"024 Cleggan";259;7;3;8;277
"025 Clifden";1648;120;31;76;1875
"026 Cushkillary";146;5;1;16;168
"027/028 Derrycunlagh/Derrylea";215;13;2;5;235
"029 Doonloughan";96;1;0;1;98
"030 Errislannan";208;1;2;3;214
"031 An Uillinn";92;4;1;0;97
"032 Inishbofin";175;9;2;3;189
"033 An Cnoc Buí";762;11;2;4;779
"034 Maíros";315;15;1;11;342
"035 Abhainn Ghabhla";302;3;1;4;310
"036 Rinvyle";1089;38;15;22;1164
"037 Roundstone";363;12;4;1;380
"038 Sillerna";402;7;12;7;428
"039 Scainimh";585;22;0;5;612
"040 Annaghdown";1573;63;8;20;1664
"041 Aughrim";984;51;10;5;1050
"042 Baile an Teampaill (part)";1221;75;23;42;1361
"043 Ballynacourty";996;43;4;15;1058
"044 Bearna (part)";2614;227;47;54;2942
"045 Belleville";467;18;5;3;493
"046 Carnmore";1939;105;20;34;2098
"047 Ceathrú an Bhrúnaigh (part)";803;40;2;8;853
"048 Baile Chláir";1582;128;30;54;1794
"049 Clarinbridge";2232;209;88;75;2604
"050 Deerpark";1056;55;20;13;1144
"051 Na Forbacha";1096;58;8;22;1184
"052 Galway Rural (part)";107;5;2;0;114
"053 Árainn";1077;34;12;19;1142
"054 Cill Chuimin";1227;22;14;17;1280
"055 Cill Aithnín";819;59;10;28;916
"056 Leacach Beag";1089;77;16;23;1205
"057 Liscananaun";1223;61;4;32;1320
"058 Lisín an Bhealaigh";807;48;8;15;878
"059 Maigh Cuilinn";1565;100;20;43;1728
"060 Oranmore";2667;343;157;215;3382
"061 Sailearna";1267;43;9;17;1336
"062 Sliabh an Aonaigh";629;27;8;7;671
"063 An Spidéal";1082;107;20;35;1244
"064 Stradbally";958;34;8;17;1017
"065 Tulaigh Mhic Aodháin";1545;101;23;38;1707
"066 Ballinastack";300;8;4;5;317
"067 Ballymoe";400;6;6;7;419
"068 Ballynakill";410;13;2;6;431
"069 Boyounagh";255;10;0;1;266
"070 Creggs";361;13;4;9;387
"071 Curraghmore";155;7;0;8;170
"072 Glennamaddy";769;26;16;24;835
"073 Island";274;1;6;1;282
"074 Kilcroan";483;24;9;14;530
"075 Kiltullagh";175;2;1;0;178
"076 Raheen";456;12;4;10;482
"077 Scregg";209;6;5;0;220
"078 Shankill";287;4;4;2;297
"079 Templetogher";395;7;1;1;404
"080 Toberroe";289;10;4;5;308
"081 Ardamullivan";535;19;4;5;563
"082 Ardrahan";417;28;12;9;466
"083 Ballycahalan";179;5;2;1;187
"084 Beagh";534;26;9;18;587
"085 Cahermore";407;23;14;1;445
"086 Cappard";89;2;3;3;97
"087 Castletaylor";435;18;6;9;468
"088 Doorus";602;23;15;10;650
"089 Drumacoo";874;61;4;29;968
"090 Gort";2185;184;39;298;2706
"091 Kilbeacanty";266;7;0;7;280
"092 Killeely";1121;49;18;31;1219
"093 Killeenavarra";567;26;14;12;619
"094 Killinny";373;7;7;4;391
"095 Kiltartan";624;21;5;8;658
"096 Kilthomas";79;6;1;1;87
"097 Kinvarra";1006;45;15;26;1092
"098 Rahasane";242;28;3;3;276
"099 Skehanagh";383;5;1;1;390
"100 Aille";393;9;5;1;408
"101 Athenry";3319;378;61;179;3937
"102 Ballynagar";192;6;0;0;198
"103 Bracklagh";403;2;5;3;413
"104 Bullaun";198;7;0;4;209
"105 Cappalusk";330;11;4;3;348
"106 Castleboy";453;19;6;5;483
"107 Cloonkeen";319;18;2;4;343
"108 Colmanstown";89;2;1;0;92
"109 Craughwell";1213;69;19;25;1326
"110 Derrylaur";110;2;0;0;112
"111 Drumkeary";531;18;6;3;558
"112 Graigabbey";257;20;1;2;280
"113 Grange";656;18;6;1;681
"114 Greethill";730;44;9;9;792
"115 Kilchreest";293;7;5;7;312
"116 Kilconickny";534;37;3;2;576
"117 Kilconierin";362;18;0;5;385
"118 Killimor";292;14;2;2;310
"119 Killogilleen";563;39;1;15;618
"120 Kilmeen";552;24;7;9;592
"121 Kilreekill";264;11;1;0;276
"122 Kilteskill";295;12;0;0;307
"123 Kiltullagh";577;46;9;7;639
"124 Lackalea";268;18;7;5;298
"125 Leitrim";376;9;0;3;388
"127 Loughrea Rural";829;25;4;12;870
"128 Loughrea Urban";3681;364;64;296;4405
"129/126 Marblehill/Loughatorick";367;9;5;11;392
"130 Mountain";238;9;2;1;250
"131 Movode";176;13;1;2;192
"132 Raford";348;21;3;2;374
"133 Tiaquin";431;18;4;2;455
"134 Woodford";460;24;6;4;494
"135 Annagh";329;4;5;3;341
"136 Ballynakill";466;20;7;6;499
"137 Caltra";322;15;6;1;344
"138 Castleblakeney";441;11;5;5;462
"139 Castleffrench";455;5;10;3;473
"140 Clonbrock";467;13;10;6;496
"141 Cloonkeen";272;6;0;0;278
"142 Cooloo";485;19;1;1;506
"143 Derryglassaun";707;44;8;16;775
"144 Killeroran";1172;28;22;43;1265
"145 Killian";294;6;3;5;308
"146 Mount Bellew";1524;77;13;64;1678
"147 Mounthazel";406;31;1;6;444
"148 Taghboy";205;2;0;1;208
"149 Camas";353;5;2;1;361
"150 An Fhairche";850;27;20;34;931
"151 Conga";506;9;17;13;545
"152 An Crompán";2175;43;13;14;2245
"153 An Chorr";153;0;0;1;154
"154 Garmna";1236;11;4;13;1264
"155 Cill Chuimín";109;3;0;2;114
"156 Leitir Breacáin";170;14;5;5;194
"157 Letterfore";265;9;0;3;277
"158 Leitir Móir";829;10;3;15;857
"159 Oughterard";2218;142;37;61;2458
"160 An Ros";100;1;0;2;103
"161 An Turlach";522;14;5;10;551
"162 Wormhole";1789;98;28;13;1928
"163 Abbeyville";227;12;1;1;241
"164 Ballyglass";146;11;4;4;165
"165 Coos";121;7;4;4;136
"166 Derrew";150;4;1;0;155
"167 Drummin";341;11;9;0;361
"168 Eyrecourt";451;11;5;3;470
"169 Killimor";625;45;9;12;691
"170 Kilmalinoge";230;3;1;0;234
"171 Kilquain";275;6;1;6;288
"172 Meelick";235;9;2;5;251
"173 Moat";153;6;1;0;160
"174 Pallas";382;18;3;10;413
"175 Portumna";1688;108;48;88;1932
"176 Tiranascragh";158;4;0;3;165
"177 Tynagh";387;14;4;3;408
"178 Abbey East";587;11;4;18;620
"179 Abbey West";537;18;1;15;571
"180 Addergoole";472;13;3;7;495
"181 Annaghdown";1177;27;7;8;1219
"182 Ballinderry";287;24;8;5;324
"183 Ballinduff";556;30;5;9;600
"184 Ballynapark";772;42;8;10;832
"185 Beaghmore";266;12;0;1;279
"186 Belclare";704;18;5;6;733
"187 Carrownagur";346;19;1;5;371
"188 Carrowrevagh";377;12;4;0;393
"189 Claretuam";897;46;7;4;954
"190 Clonbern";353;8;2;4;367
"191 Cloonkeen";421;14;3;5;443
"192 Cummer";787;101;12;15;915
"193 Donaghpatrick";494;11;4;7;516
"194 Doonbally";466;13;8;2;489
"195 Dunmore North";498;21;9;5;533
"196 Dunmore South";770;39;18;18;845
"197 Foxhall";533;11;1;3;548
"198 Headford";1169;72;26;37;1304
"199 Hillsbrook";599;18;4;6;627
"200 Kilbennan";334;11;5;5;355
"201 Kilcoona";468;16;8;10;502
"202 Killeany";476;32;2;7;517
"203 Killeen";591;20;3;18;632
"204 Killererin";678;15;7;5;705
"205 Killower";657;52;3;7;719
"206 Killursa";854;46;17;15;932
"207 Kilmoylan";797;47;16;15;875
"208 Kilshanvy";366;12;3;1;382
"209 Levally";341;6;13;0;360
"210 Milltown";506;16;4;8;534
"211 Monivea";596;7;2;15;620
"212 Moyne";609;9;6;6;630
"213 Ryehill";514;26;8;7;555
"214 Toberadosh";333;6;4;2;345
"215 Tuam Rural";3836;439;74;155;4504
"216 Tuam Urban";2595;207;35;97;2934
"Leitrim County";25332;1014;953;868;28167
"001 Ballinamore";939;35;39;39;1052
"002 Cloverhill";309;2;3;4;318
"003 Corrala";219;3;3;0;225
"004 Drumreilly North";144;5;1;5;155
"005 Drumreilly South";110;10;0;4;124
"006 Garadice";458;6;8;1;473
"007/011 Greaghlass/Stralongford";330;3;4;4;341
"008 Killygar";120;0;8;3;131
"009 Newtowngore";178;8;4;2;192
"010 Oughteragh";83;0;0;0;83
"012 Aghacashel";82;2;1;0;85
"013 Annaduff";196;2;2;0;200
"014 Barnameenagh";133;4;10;4;151
"015 Carrick-on-Shannon";2623;252;178;312;3365
"017/016 Drumreilly West/Drumreilly East";177;2;1;5;185
"018 Drumshanbo";915;48;32;32;1027
"019 Drumsna";552;19;11;1;583
"020 Gortnagullion";252;16;0;6;274
"021 Gowel";290;5;15;2;312
"022 Keshcarrigan";304;12;10;26;352
"023 Kiltubbrid";133;1;10;0;144
"024 Leitrim";711;38;41;27;817
"025 Moher";176;10;9;3;198
"026 Yugan";225;2;3;1;231
"027/028 Aghalateeve/Aghanlish";220;5;3;1;229
"029/032 Melvin/Aghavoghill";187;8;0;7;202
"030 Gubacreeny";466;8;22;7;503
"031 Kinlough";713;35;71;26;845
"033 Tullaghan";508;11;33;26;578
"035 Ballaghameehan";191;4;3;5;203
"036 Belhavel";255;7;1;9;272
"037 Cloonclare";175;5;1;5;186
"038 Cloonlogher";250;9;4;6;269
"039 Drumahaire";1011;50;99;51;1211
"040 Drumkeeran";496;8;9;7;520
"041/034 Garvagh/Arigna";132;3;1;3;139
"042 Glenade";153;7;6;6;172
"043 Glenaniff";144;1;4;6;155
"044 Glenboy";225;5;1;4;235
"045 Glencar";235;6;4;0;245
"046 Glenfarn";115;4;8;2;129
"047 Killanummery";325;13;19;0;357
"048 Killarga";89;1;0;1;91
"049 Kiltyclogher";241;2;7;2;252
"050 Lurganboy";350;18;8;3;379
"051 Mahanagh";259;8;3;4;274
"052 Manorhamilton";1372;98;75;67;1612
"053 Munakill";187;10;7;0;204
"054 Sramore";289;3;0;6;298
"055 St. Patrick's";132;6;3;3;144
"056 Aghavas";281;4;4;1;290
"057 Beihy";287;10;6;2;305
"058 Breandrum";253;7;3;0;263
"059 Bunnybeg";141;4;1;0;146
"060 Carrigallen East";278;4;8;23;313
"061 Carrigallen West";358;5;2;15;380
"062 Cashel";150;1;3;1;155
"063 Castlefore";234;5;1;3;243
"064 Cattan";248;11;3;2;264
"065 Cloone";304;12;2;2;320
"066 Corriga";152;3;4;0;159
"067 Drumard";197;6;3;1;207
"068 Drumdoo";272;5;6;4;287
"069 Drumod";491;29;25;26;571
"070 Fenagh";313;4;9;8;334
"071 Gortermone";289;1;4;3;297
"072 Keeldra";195;4;2;0;201
"073 Lisgillock";200;6;1;3;210
"074 Mohill";1228;53;35;26;1342
"075 Rinn";244;4;10;5;263
"076 Riverstown";249;5;6;1;261
"077 Roosky";376;8;22;3;409
"078 Rowan";213;3;8;1;225
"Mayo County";109682;5243;2119;2989;120033
"001 Ardnaree South Urban";2174;226;31;62;2493
"002 Ballina Urban";3688;238;104;137;4167
"003 Castlebar Urban";4924;540;197;287;5948
"004 Westport Urban";3997;403;103;205;4708
"005 Ardagh";318;3;0;6;327
"006 Ardnaree North";888;26;12;21;947
"007 Ardnaree South Rural";2064;134;68;47;2313
"008 Attymass East";379;16;1;9;405
"009 Attymass West";197;16;4;6;223
"010 Ballina Rural";2177;135;81;62;2455
"011 Ballycastle";591;13;12;5;621
"012 Ballysakeery";519;14;5;3;541
"013 Béal Deirg Mór";170;4;3;0;177
"014 Bunaveela";105;1;0;2;108
"015 Carrowmore";782;23;6;11;822
"016 Crossmolina North";871;53;14;9;947
"017 Crossmolina South";757;16;4;16;793
"018 Deel";501;4;5;0;510
"019 Derry";211;1;1;2;215
"020 Fortland";448;18;2;1;469
"021 Kilfian East";213;0;3;0;216
"022 Kilfian South";232;4;4;1;241
"023 Kilfian West";128;3;1;1;133
"024 Kilgarvan";742;5;8;10;765
"025 Killala";1152;44;19;21;1236
"026 Lackan North";318;15;3;8;344
"027 Lackan South";411;9;2;9;431
"028 Letterbrick";159;2;0;0;161
"029 Mount Falcon";1142;17;18;9;1186
"030 Rathoma";206;5;3;2;216
"031 Sallymount";417;14;5;3;439
"032 Sraheen";961;44;8;17;1030
"033 Baile an Chalaidh";229;4;2;18;253
"034 Ballinrobe";2644;165;68;193;3070
"035 Baile Óbha";205;5;1;1;212
"036 Burriscarra";414;9;5;10;438
"037 An Cheapaigh Dhuibh";314;3;0;11;328
"038 Cong";641;14;5;30;690
"039 Coonard";245;11;7;4;267
"040 Dalgan";999;26;23;25;1073
"041 Hollymount";707;28;8;12;755
"042 Houndswood";545;13;7;11;576
"043 Kilcommon";627;8;8;3;646
"044 Kilmaine";897;28;16;13;954
"045 Neale";628;26;14;4;672
"046 Newbrook";496;6;2;3;507
"047 Abhainn Bhrain";224;3;3;4;234
"048 Partraí";443;18;10;12;483
"049 Roslee";358;15;6;8;387
"050 Shrule";978;11;33;15;1037
"051 An Geata Mór Thuaidh";796;13;11;8;828
"052 An Geata Mór Theas";864;17;8;7;896
"053 Bangor";439;24;5;2;470
"054 Barr Rúscaí";107;2;0;0;109
"055 Béal an Mhuirthead";1700;119;41;88;1948
"056 Gleann na Muaidhe";243;1;1;0;245
"057 Gleann Chaisil";489;3;7;4;503
"058/065 Glenco/Sheskin";112;1;0;1;114
"059 Guala Mhór";146;3;0;1;150
"060 Cnoc an Daimh";346;3;3;3;355
"061 Cnoc na Lobhar";826;5;7;4;842
"062 Moing na Bó";284;17;9;5;315
"063 Na Monga";224;10;1;0;235
"064 Cnoc na Ráithe";674;17;13;10;714
"066 Addergoole";708;23;11;4;746
"067 Balla";1231;68;8;24;1331
"068 Ballinafad";452;35;2;7;496
"069 Ballyhean";493;14;8;3;518
"070 Ballynagoraher";341;6;2;2;351
"071 Bellavary";876;32;4;12;924
"072 Breaghwy";1461;73;29;22;1585
"073 Burren";277;7;1;1;286
"074 Castlebar Rural";5812;429;156;220;6617
"075 Clogher";458;23;5;3;489
"076 Cloonkeen";721;16;1;15;753
"077 Croaghmoyle";145;13;1;0;159
"078 Killavally";413;18;4;13;448
"079 Manulla";800;21;7;12;840
"080 Pontoon";396;9;0;1;406
"081 Strade";537;13;1;4;555
"082 Tamhnaigh na Graí";329;15;6;4;354
"083 Turlough";1109;66;15;12;1202
"084 Ballindine";736;14;17;12;779
"085 Ballyhaunis";2062;166;76;195;2499
"086 Ballyhowly";446;23;3;10;482
"087 Bekan";676;12;8;8;704
"088 Caraun";321;12;2;1;336
"089 Claremorris";2609;195;99;164;3067
"090 Cloghermore";157;2;6;0;165
"091 Course";397;12;5;14;428
"092 Crossboyne";536;22;18;6;582
"093 Culnacleha";448;16;6;4;474
"094 Garrymore";429;11;6;2;448
"095 Kilcolman";427;11;4;1;443
"096 Kilvine";554;21;12;10;597
"097 Knock North";616;26;10;33;685
"098 Knock South";660;20;20;21;721
"099 Loughanboy";337;6;6;0;349
"100 Mayo";396;11;3;5;415
"101 Murneen";395;12;6;1;414
"102 Tagheen";191;3;5;0;199
"103 Aghamore";588;11;7;5;611
"104 Ballinamore";335;12;2;2;351
"105 Bohola";202;8;1;4;215
"106 Brackloon";561;12;12;7;592
"107 Callow";350;9;8;2;369
"108 Cloonmore";459;6;17;14;496
"109 Coolnaha";457;10;12;9;488
"110 Cuildoo";350;15;6;2;373
"111 Doocastle";393;6;9;3;411
"112 Kilbeagh";917;34;16;61;1028
"113 Kilkelly";813;40;20;15;888
"114 Killedan";660;27;6;6;699
"115 Kilmovee";582;13;19;7;621
"116 Kiltamagh";1307;88;27;59;1481
"117 Meelick";527;10;5;11;553
"118 Sonnagh";1114;37;23;57;1231
"119 Swineford";2470;72;35;39;2616
"120 Toocananagh";350;14;2;2;368
"121 Toomore";1219;62;22;39;1342
"122 Tumgesh";312;1;3;3;319
"123 Urlaur";477;20;6;14;517
"124 Acaill";835;43;13;19;910
"125 Aghagower North";758;65;2;5;830
"126 Aghagower South";131;0;0;0;131
"127 Aillemore";331;4;9;2;346
"128 Ballycroy North";297;2;2;3;304
"129 Ballycroy South";357;8;1;1;367
"131 Clare Island";179;6;2;1;188
"132 Clogher";718;13;17;18;766
"133 An Corrán";638;24;10;17;689
"134 Croaghpatrick";485;25;3;23;536
"135 Derryloughan";515;22;13;19;569
"136 Dumha Éige";585;28;7;5;625
"137 Drummin";175;4;1;2;182
"138 Emlagh";234;4;1;11;250
"139 Erriff";100;0;1;1;102
"140 Glenhest";214;2;0;3;219
"141 Islandeady";923;43;9;7;982
"142 Kilgeever";102;1;0;0;103
"143 Kilmaclasser";511;10;2;4;527
"144 Kilmeena";1272;51;23;19;1365
"145 Kilsallagh";430;21;19;20;490
"146 Knappagh";590;22;7;10;629
"147 Louisburgh";708;17;11;25;761
"148 Newport East";916;43;14;21;994
"149 Newport West";709;26;10;16;761
"150/130 Owennadornaun/Bundorragha";128;3;3;8;142
"151 Slievemahanagh";403;9;1;2;415
"152 Slievemore";928;25;19;18;990
"153 Srahmore";125;1;2;2;130
"154 Westport Rural";1304;64;35;18;1421
"Roscommon County";52170;1755;1887;1583;57395
"001 Athlone West Rural";2416;119;372;120;3027
"002 Ballydangan";602;13;11;10;636
"003 Ballynamona";476;4;15;1;496
"004 Caltragh";229;8;4;3;244
"005 Carnagh";628;19;32;1;680
"006 Carrowreagh";426;8;23;2;459
"007 Castlesampson";326;5;5;0;336
"008 Cloonburren";222;1;4;1;228
"009 Cloonown";216;8;8;0;232
"010 Crannagh";1076;16;28;10;1130
"011 Creagh";1009;18;27;4;1058
"012 Culliagh";185;0;2;0;187
"013 Drumlosh";302;3;6;4;315
"014 Dysart";208;6;4;7;225
"015 Kilcar";301;15;13;1;330
"016 Kiltoom";1468;29;36;23;1556
"017 Lecarrow";268;1;26;2;297
"018 Moore";261;1;7;3;272
"019 Rockhill";304;5;9;5;323
"020 Taghboy";359;20;12;1;392
"021 Taghmaconnell";241;4;3;0;248
"022 Thomastown";706;12;11;5;734
"023 Turrock";288;10;8;2;308
"024 Aghafin";119;1;4;3;127
"026 Aughrim East";186;4;7;3;200
"027 Aughrim West";179;0;2;2;183
"028 Ballyfarnan";201;2;4;5;212
"029 Ballyfermoyle";129;2;2;1;134
"030 Boyle Rural";1169;60;39;57;1325
"031 Boyle Urban";1423;50;23;63;1559
"032 Breedoge";246;2;1;6;255
"033 Cloonteen";263;9;3;4;279
"034 Creeve";118;1;1;4;124
"035 Croghan";254;2;7;0;263
"036 Crossna";172;0;6;3;181
"037 Danesfort";588;29;57;50;724
"038 Estersnow";83;5;3;2;93
"039 Keadew";453;10;6;1;470
"040 Kilbryan";271;5;14;6;296
"041 Kilcolagh";82;2;1;0;85
"042 Killukin";222;14;7;3;246
"043 Killummod";87;2;0;0;89
"044 Kilmacumsy";217;9;15;5;246
"045 Kilmore";151;1;3;3;158
"046/048 Lisgarve/Mantua";209;1;3;4;217
"047/025 Lough Allen/Altagowlan";290;4;4;5;303
"049 Oakport";216;3;11;10;240
"050 Rockingham";320;3;9;3;335
"051 Rushfield";396;15;7;8;426
"052 Tivannagh";222;11;14;3;250
"053 Tumna North";169;4;2;2;177
"054 Tumna South";183;2;4;0;189
"055 Artagh North";721;30;21;9;781
"056 Artagh South";419;8;2;7;436
"057 Ballaghaderreen";2304;108;79;150;2641
"058 Ballinlough";926;22;29;29;1006
"059 Ballintober";637;20;7;13;677
"060 Baslick";141;7;3;1;152
"061 Bellanagare";511;34;10;17;572
"062 Buckill";342;1;16;4;363
"063 Carrowduff";207;6;2;0;215
"064 Castleplunket";463;17;9;10;499
"065 Castlereagh";2396;145;170;86;2797
"066 Castleteheen";286;6;5;9;306
"067 Cloonfower";276;8;2;0;286
"068 Coolougher";465;21;8;5;499
"069 Edmondstown";414;3;2;4;423
"070 Fairymount";332;11;5;11;359
"071 Frenchpark";766;58;15;19;858
"072 Kiltullagh";884;34;40;45;1003
"073 Loughglinn";648;9;20;11;688
"074 Annaghmore";297;6;8;8;319
"075 Athleague East";372;10;12;6;400
"076 Athleague West";452;9;5;20;486
"077 Ballygarden";186;1;3;12;202
"078 Bumlin";334;8;10;0;352
"079 Cams";441;7;12;3;463
"080 Cloonfinlough";168;3;4;8;183
"081 Cloontuskert";913;51;32;30;1026
"082 Cloonygormican";389;10;3;8;410
"083 Cloonyquin";269;9;3;1;282
"084 Creeve";136;6;3;2;147
"085 Cregga";164;3;0;5;172
"086 Drumdaff";397;20;12;1;430
"087 Dunamon";299;2;1;4;306
"088 Elia";125;3;0;0;128
"089 Elphin";661;30;30;31;752
"090 Fuerty";638;21;14;10;683
"091 Kilbride North";349;9;7;13;378
"092 Kilbride South";308;12;7;3;330
"093 Kilgefin";268;6;2;1;277
"094 Kilglass North";367;4;21;2;394
