"Theme 2 - 4 : Usually resident population aged one year and over by usual residence one year before Census Day, 2006";;;;;
"Usual Residence";"Same address";"Elsewhere in County";"Elsewhere in Ireland";"Outside Ireland";"Total"
"050 Templederry";143;2;3;8;156
"051 Youghalarra";775;56;19;15;865
"052 Borrisnafarney";263;1;3;5;272
"053 Borrisnoe";92;2;9;1;104
"054 Bourney East";263;4;4;0;271
"055 Bourney West";347;12;8;2;369
"056 Killavinoge";382;8;2;7;399
"057 Killea";317;14;8;3;342
"058 Rathnaveoge";226;10;11;2;249
"059 Roscrea";5324;181;88;160;5753
"060 Timoney";276;13;6;2;297
"061 Ballycahill";360;20;2;2;384
"062 Ballymurreen";214;6;4;0;224
"063 Borrisoleigh";1102;30;17;17;1166
"064 Drom";940;47;20;11;1018
"065 Foilnaman";263;16;6;0;285
"066 Glenkeen";369;8;2;2;381
"067 Gortkelly";440;18;5;7;470
"068 Holycross";1326;41;8;13;1388
"069 Inch";424;10;7;2;443
"070 Kilrush";455;4;3;7;469
"071 Littleton";1070;27;4;7;1108
"072 Longfordpass";269;6;6;4;285
"073 Loughmoe";562;15;8;2;587
"074 Moyaliff";356;6;2;7;371
"075 Moycarky";465;8;6;2;481
"076 Moyne";456;13;4;6;479
"077 Rahelty";640;17;4;2;663
"078 Templetouhy";786;15;9;0;810
"079 Thurles Rural";1891;111;38;49;2089
"080 Twomileborris";765;31;16;8;820
"081 Upperchurch";306;0;2;1;309
"South Tipperary";74379;3820;1256;1787;81242
"082 Carrickbeg Urban";1271;74;14;22;1381
"083 Carrick-on-Suir Urban";3895;203;89;132;4319
"084 Cashel Urban";1985;195;47;118;2345
"085 Clonmel East Urban";3342;203;61;188;3794
"086 Clonmel West Urban";5432;389;74;120;6015
"087 Tipperary East Urban";2406;133;31;65;2635
"088 Tipperary West Urban";1440;134;51;69;1694
"089 Carrick-on-Suir Rural";469;6;5;8;488
"090 Garrangibbon";589;11;6;6;612
"091 Kilmurry";298;13;2;2;315
"092 Newtown";365;2;7;4;378
"093 Ardmayle";513;29;6;12;560
"094 Ardsallagh";421;14;4;10;449
"095 Ballysheehan";422;40;6;5;473
"096 Cashel Rural";1530;121;17;44;1712
"097 Clogher";197;5;2;15;219
"098 Cloneen";361;23;11;1;396
"099 Clonoulty East";490;13;2;3;508
"100 Clonoulty West";629;20;1;5;655
"101 Colman";366;10;5;6;387
"102 Cooleagh";476;22;4;9;511
"103 Drangan";577;22;9;7;615
"104 Fethard";726;35;9;8;778
"105 Gaile";627;53;15;19;714
"106 Graigue";138;0;2;1;141
"107 Greystown";402;20;3;1;426
"108 Killeenasteena";582;18;15;5;620
"109 Killenaule";1106;19;10;15;1150
"110 Kilpatrick";874;50;12;17;953
"111 Knockgraffon";679;30;14;7;730
"112 Magorban";491;15;6;7;519
"113 Nodstown";411;39;12;3;465
"114 Oughterleague";479;14;3;7;503
"115 Peppardstown";1185;53;22;28;1288
"116 Tullamain";585;36;16;32;669
"117 Ardfinnan";914;41;10;2;967
"118 Ballybacon";376;8;1;6;391
"119 Ballyporeen";827;13;17;8;865
"120 Burncourt";343;17;6;8;374
"121 Caher";1041;44;11;83;1179
"122 Clogheen";865;42;4;26;937
"123 Coolagarranroe";464;12;8;5;489
"124 Derrygrath";553;24;7;7;591
"125 Kilcommon";1912;102;16;74;2104
"126 Kilcoran";412;5;3;0;420
"127 Mortlestown";1158;106;22;109;1395
"128 Newcastle";551;19;1;1;572
"129 Tubbrid";486;34;6;12;538
"130 Tullaghmelan";859;57;14;17;947
"131 Tullaghorton";229;15;8;4;256
"132 Ballyclerahan";889;59;11;9;968
"133 Clonmel Rural";3954;310;135;122;4521
"134 Inishlounaght";2737;159;69;49;3014
"135 Kilcash";600;34;10;9;653
"137/136 Kilsheelan/Killaloan";1117;44;8;8;1177
"138 Kiltinan";269;6;3;8;286
"139 Lisronagh";727;33;12;6;778
"140 Anner";341;10;6;0;357
"141 Ballingarry";658;24;10;5;697
"142 Ballyphilip";344;22;3;19;388
"143 Buolick";568;4;4;2;578
"144 Crohane";207;4;5;1;217
"145 Farranrory";446;14;4;2;466
"146 Fennor";520;9;15;4;548
"147 Kilcooly";282;5;1;0;288
"148 Kilvemnon";347;5;8;4;364
"149 Modeshil";298;0;12;3;313
"150 Mullinahone";763;21;10;7;801
"151 New Birmingham";437;25;6;3;471
"152 Poyntstown";180;8;2;0;190
"153 Ballycarron";245;4;5;0;254
"154 Ballygriffin";232;9;6;4;251
"155 Ballykisteen";597;34;14;6;651
"156 Bansha";750;31;7;14;802
"157 Bruis";286;7;5;6;304
"158 Cappagh";743;23;11;9;786
"159 Clonbeg";587;20;16;7;630
"160 Cullen";256;13;3;10;282
"161 Curraheen";273;16;0;8;297
"162 Donohill";589;16;7;7;619
"163 Drumwood";469;8;11;2;490
"164 Emly";564;8;9;9;590
"165 Glengar";251;5;4;4;264
"166 Golden";708;28;13;13;762
"167 Kilfeakle";434;22;2;5;463
"168 Killadriffe";475;30;0;3;508
"169 Kilmucklin";489;9;1;0;499
"170 Lattin";459;14;3;6;482
"171 Rathlynin";294;13;4;3;314
"172 Rodus";227;2;7;1;237
"173 Shronell";359;19;7;1;386
"174 Solloghodbeg";196;11;1;1;209
"175 Templeneiry";387;6;6;3;402
"176 Thomastown";369;6;8;1;384
"177 Tipperary Rural";1707;67;45;40;1859
"Waterford City";39381;2661;1174;1231;44447
"001 Ballybeg North";2400;95;20;25;2540
"002/006 Ballybeg South/Ballynaneashagh";252;11;4;2;269
"003 Ballybricken West";126;7;5;11;149
"004 Ballymaclode";1192;49;22;17;1280
"005 Ballynakill";1855;156;58;40;2109
