"Theme 2 - 3 : Usually resident population by ethnic or cultural background, 2006";;;;;;;;
"Ethnic Group";"White Irish";"White Irish Traveller";"Any other White background";"Black or Black Irish";"Asian or Asian Irish";"Other";"Not stated";"Total"
"153 An Chorr";144;0;11;0;0;0;0;155
"154 Garmna";1238;0;20;0;4;5;9;1276
"155 Cill Chuimín";109;0;4;0;0;1;2;116
"156 Leitir Breacáin";171;0;18;0;2;2;2;195
"157 Letterfore";243;0;24;0;0;4;8;279
"158 Leitir Móir";830;0;23;0;0;2;8;863
"159 Oughterard";2159;0;248;10;10;34;34;2495
"160 An Ros";101;0;2;0;0;0;0;103
"161 An Turlach";513;0;16;0;0;2;24;555
"162 Wormhole";1798;1;117;0;6;28;17;1967
"163 Abbeyville";235;0;7;0;0;3;2;247
"164 Ballyglass";160;0;6;0;0;1;0;167
"165 Coos";121;0;14;0;0;0;1;136
"166 Derrew";150;0;3;0;0;0;3;156
"167 Drummin";351;0;16;0;0;0;0;367
"168 Eyrecourt";448;0;19;0;1;0;8;476
"169 Killimor";627;30;29;0;3;1;10;700
"170 Kilmalinoge";216;0;5;0;0;0;15;236
"171 Kilquain";270;0;14;0;0;1;5;290
"172 Meelick";242;0;6;0;1;2;4;255
"173 Moat";159;0;3;0;0;0;0;162
"174 Pallas";385;4;28;0;0;0;1;418
"175 Portumna";1657;42;169;0;37;17;41;1963
"176 Tiranascragh";155;0;6;0;0;0;9;170
"177 Tynagh";383;0;13;0;0;4;13;413
"178 Abbey East";573;0;29;0;0;2;20;624
"179 Abbey West";527;0;20;0;2;4;22;575
"180 Addergoole";467;0;30;0;1;0;4;502
"181 Annaghdown";1162;11;44;1;0;9;12;1239
"182 Ballinderry";314;0;12;0;1;2;4;333
"183 Ballinduff";557;0;36;2;3;14;4;616
"184 Ballynapark";814;1;26;0;0;5;6;852
"185 Beaghmore";262;8;13;0;0;1;3;287
"186 Belclare";712;0;18;3;1;6;2;742
"187 Carrownagur";355;0;13;0;0;3;5;376
"188 Carrowrevagh";379;0;14;0;0;0;4;397
"189 Claretuam";935;0;20;0;3;5;11;974
"190 Clonbern";360;0;3;0;5;0;2;370
"191 Cloonkeen";436;0;13;0;0;0;1;450
"192 Cummer";866;0;50;2;3;5;6;932
"193 Donaghpatrick";508;0;10;0;0;4;5;527
"194 Doonbally";455;0;26;0;1;2;13;497
"195 Dunmore North";495;0;39;0;0;4;3;541
"196 Dunmore South";796;0;36;0;4;9;11;856
"197 Foxhall";513;0;30;1;0;2;10;556
"198 Headford";1212;10;84;0;4;11;1;1322
"199 Hillsbrook";608;0;22;0;0;3;9;642
"200 Kilbennan";355;0;6;0;0;0;0;361
"201 Kilcoona";477;21;10;0;0;1;0;509
"202 Killeany";481;0;46;0;0;0;4;531
"203 Killeen";603;0;31;0;0;3;8;645
"204 Killererin";679;0;25;0;0;0;10;714
"205 Killower";677;20;13;0;5;1;12;728
"206 Killursa";899;0;49;1;0;4;2;955
"207 Kilmoylan";844;0;30;1;3;4;11;893
"208 Kilshanvy";367;0;15;0;0;0;2;384
"209 Levally";349;0;8;0;0;1;8;366
"210 Milltown";509;0;19;0;0;2;7;537
"211 Monivea";565;9;36;0;0;1;17;628
"212 Moyne";596;14;22;0;1;2;1;636
"213 Ryehill";513;0;44;1;2;2;5;567
"214 Toberadosh";325;1;19;0;0;0;6;351
"215 Tuam Rural";3626;334;385;32;24;78;99;4578
"216 Tuam Urban";2256;290;212;13;25;85;91;2972
"Leitrim County";25279;190;2303;53;167;299;268;28559
"001 Ballinamore";943;0;76;21;2;4;22;1068
"002 Cloverhill";298;0;22;0;0;0;2;322
"003 Corrala";218;0;6;0;0;0;2;226
"004 Drumreilly North";146;0;10;0;0;0;1;157
"005 Drumreilly South";104;0;16;0;1;2;3;126
"006 Garadice";461;0;9;0;0;0;10;480
"007/011 Greaghlass/Stralongford";306;0;24;0;2;2;11;345
"008 Killygar";117;0;15;0;0;0;1;133
"009 Newtowngore";185;0;8;0;0;1;0;194
"010 Oughteragh";79;0;3;0;0;1;0;83
"012 Aghacashel";71;0;14;0;0;2;0;87
"013 Annaduff";190;0;13;0;0;0;1;204
"014 Barnameenagh";129;0;17;1;0;3;1;151
"015 Carrick-on-Shannon";2543;126;493;13;103;100;42;3420
"017/016 Drumreilly West/Drumreilly East";152;0;29;0;0;4;0;185
"018 Drumshanbo";939;0;68;3;2;15;13;1040
"019 Drumsna";543;0;39;0;2;4;3;591
"020 Gortnagullion";245;0;32;0;0;1;1;279
"021 Gowel";292;0;12;0;2;4;5;315
"022 Keshcarrigan";277;0;66;3;2;1;9;358
"023 Kiltubbrid";132;0;13;0;0;1;0;146
"024 Leitrim";766;0;60;0;5;4;2;837
"025 Moher";182;0;13;0;0;1;3;199
"026 Yugan";207;0;24;0;0;3;0;234
"027/028 Aghalateeve/Aghanlish";219;1;10;0;0;0;3;233
"029/032 Melvin/Aghavoghill";178;0;26;0;0;0;1;205
"030 Gubacreeny";445;0;54;0;0;7;3;509
"031 Kinlough";771;0;64;1;2;10;11;859
"033 Tullaghan";531;0;41;0;4;6;5;587
"035 Ballaghameehan";189;0;16;0;0;1;0;206
"036 Belhavel";227;0;43;0;1;0;2;273
"037 Cloonclare";176;0;9;0;0;3;3;191
"038 Cloonlogher";225;0;40;0;0;3;3;271
"039 Drumahaire";1106;0;99;3;0;6;12;1226
"040 Drumkeeran";489;0;36;0;0;0;5;530
"041/034 Garvagh/Arigna";116;0;22;0;0;1;0;139
"042 Glenade";157;1;12;0;0;0;2;172
"043 Glenaniff";137;0;15;0;0;4;1;157
"044 Glenboy";216;0;14;1;0;2;5;238
