"Theme 2 - 3 : Usually resident population by ethnic or cultural background, 2006";;;;;;;;
"Ethnic Group";"White Irish";"White Irish Traveller";"Any other White background";"Black or Black Irish";"Asian or Asian Irish";"Other";"Not stated";"Total"
"045 Glencar";235;0;5;0;0;3;4;247
"046 Glenfarn";123;0;8;0;0;0;0;131
"047 Killanummery";329;0;34;0;0;1;1;365
"048 Killarga";82;0;9;0;0;0;0;91
"049 Kiltyclogher";230;0;20;0;0;2;1;253
"050 Lurganboy";359;1;17;0;0;5;1;383
"051 Mahanagh";248;0;25;0;0;2;3;278
"052 Manorhamilton";1450;1;135;0;25;18;7;1636
"053 Munakill";193;0;11;0;0;0;4;208
"054 Sramore";289;0;12;0;0;2;2;305
"055 St. Patrick's";132;0;13;0;0;0;0;145
"056 Aghavas";274;0;17;0;0;2;1;294
"057 Beihy";293;0;12;0;1;2;2;310
"058 Breandrum";225;0;36;0;0;2;3;266
"059 Bunnybeg";144;0;4;0;0;1;0;149
"060 Carrigallen East";274;0;39;1;0;6;0;320
"061 Carrigallen West";334;0;43;0;0;4;2;383
"062 Cashel";144;0;8;0;0;1;2;155
"063 Castlefore";219;0;26;0;0;1;1;247
"064 Cattan";261;0;5;0;0;1;0;267
"065 Cloone";308;0;9;1;0;2;4;324
"066 Corriga";152;0;2;1;0;5;0;160
"067 Drumard";205;0;2;0;0;1;0;208
"068 Drumdoo";264;0;22;4;0;0;0;290
"069 Drumod";511;7;33;0;0;19;7;577
"070 Fenagh";316;1;18;0;0;2;1;338
"071 Gortermone";294;0;3;0;0;2;1;300
"072 Keeldra";202;0;0;0;0;0;1;203
"073 Lisgillock";203;0;10;0;0;0;0;213
"074 Mohill";1193;52;82;0;12;10;18;1367
"075 Rinn";254;0;8;0;0;0;2;264
"076 Riverstown";242;0;15;0;0;3;2;262
"077 Roosky";387;0;18;0;1;3;8;417
"078 Rowan";203;0;19;0;0;3;2;227
"Mayo County";109175;937;8016;403;694;1129;1326;121680
"001 Ardnaree South Urban";2210;102;156;5;10;9;42;2534
"002 Ballina Urban";3671;155;268;13;25;36;54;4222
"003 Castlebar Urban";5072;97;492;104;75;85;111;6036
"004 Westport Urban";4114;8;451;7;49;56;82;4767
"005 Ardagh";311;0;15;0;0;2;3;331
"006 Ardnaree North";910;0;26;1;5;5;14;961
"007 Ardnaree South Rural";2159;29;95;9;28;31;20;2371
"008 Attymass East";351;0;38;0;0;7;9;405
"009 Attymass West";208;0;16;0;0;2;1;227
"010 Ballina Rural";2297;28;123;6;7;9;19;2489
"011 Ballycastle";596;0;12;0;0;5;14;627
"012 Ballysakeery";513;0;28;0;0;5;1;547
"013 Béal Deirg Mór";173;0;4;0;0;1;0;178
"014 Bunaveela";106;0;0;0;0;0;2;108
"015 Carrowmore";794;1;28;0;0;4;10;837
"016 Crossmolina North";907;0;35;0;0;0;17;959
"017 Crossmolina South";758;0;34;1;2;5;5;805
"018 Deel";490;0;12;0;1;1;7;511
"019 Derry";194;0;10;0;0;3;9;216
"020 Fortland";467;0;4;0;0;1;5;477
"021 Kilfian East";214;0;0;0;0;4;1;219
"022 Kilfian South";239;0;3;0;0;1;2;245
"023 Kilfian West";129;0;2;0;0;0;2;133
"024 Kilgarvan";733;0;33;0;0;2;3;771
"025 Killala";1154;1;58;0;1;12;25;1251
"026 Lackan North";331;0;11;0;0;2;1;345
"027 Lackan South";413;0;17;0;0;1;3;434
"028 Letterbrick";158;0;0;0;0;1;2;161
"029 Mount Falcon";1134;0;55;0;0;7;9;1205
"030 Rathoma";199;0;15;0;1;0;2;217
"031 Sallymount";418;0;19;0;0;5;2;444
"032 Sraheen";953;2;67;0;1;10;13;1046
"033 Baile an Chalaidh";224;0;29;0;0;1;1;255
"034 Ballinrobe";2311;152;466;3;85;56;54;3127
"035 Baile Óbha";207;0;7;0;0;0;1;215
"036 Burriscarra";410;0;26;0;0;1;3;440
"037 An Cheapaigh Dhuibh";304;0;20;0;0;6;0;330
"038 Cong";638;0;37;0;11;8;5;699
"039 Coonard";254;0;13;0;0;1;0;268
"040 Dalgan";1029;0;47;0;1;4;7;1088
"041 Hollymount";718;0;34;0;0;1;8;761
"042 Houndswood";553;0;29;0;0;3;1;586
"043 Kilcommon";619;0;25;0;0;4;3;651
"044 Kilmaine";894;0;37;0;1;12;19;963
"045 Neale";653;0;23;2;0;0;5;683
"046 Newbrook";484;0;22;0;0;5;0;511
"047 Abhainn Bhrain";218;0;18;0;0;0;0;236
"048 Partraí";455;0;26;2;0;0;4;487
"049 Roslee";360;0;25;0;0;0;5;390
"050 Shrule";973;0;61;3;0;11;8;1056
"051 An Geata Mór Thuaidh";786;0;43;0;1;2;3;835
"052 An Geata Mór Theas";870;0;29;0;1;3;6;909
"053 Bangor";454;0;14;0;0;2;3;473
"054 Barr Rúscaí";109;0;0;0;0;0;0;109
"055 Béal an Mhuirthead";1750;0;195;0;5;15;5;1970
"056 Gleann na Muaidhe";243;0;7;0;0;0;0;250
"057 Gleann Chaisil";485;0;21;0;0;4;0;510
"058/065 Glenco/Sheskin";112;0;3;0;0;0;0;115
"059 Guala Mhór";147;0;2;0;0;0;3;152
"060 Cnoc an Daimh";344;0;10;0;1;0;0;355
"061 Cnoc na Lobhar";814;0;25;0;0;4;5;848
"062 Moing na Bó";304;0;10;0;0;3;1;318
"063 Na Monga";223;0;8;0;0;3;2;236
"064 Cnoc na Ráithe";667;0;48;0;0;4;3;722
"066 Addergoole";699;0;45;0;0;5;8;757
"067 Balla";1255;2;70;0;3;12;7;1349
"068 Ballinafad";448;0;35;0;6;5;10;504
"069 Ballyhean";501;0;24;0;0;0;0;525
"070 Ballynagoraher";320;0;28;0;0;3;4;355
"071 Bellavary";862;5;51;0;0;4;10;932
"072 Breaghwy";1510;0;65;1;3;13;25;1617
"073 Burren";276;0;16;0;0;0;0;292
"074 Castlebar Rural";5763;132;499;121;88;87;70;6760
"075 Clogher";466;0;18;0;1;1;9;495
"076 Cloonkeen";715;0;37;0;1;6;4;763
"077 Croaghmoyle";134;0;17;0;0;1;9;161
"078 Killavally";430;0;18;0;3;0;0;451
"079 Manulla";796;0;36;3;0;7;10;852
"080 Pontoon";387;0;18;0;0;2;3;410
"081 Strade";521;0;31;0;2;5;5;564
"082 Tamhnaigh na Graí";343;0;12;0;0;2;0;357
"083 Turlough";1146;15;42;0;2;10;12;1227
"084 Ballindine";706;19;41;0;4;4;13;787
"085 Ballyhaunis";1596;90;414;62;190;141;61;2554
"086 Ballyhowly";450;0;33;0;1;2;0;486
"087 Bekan";666;0;45;0;0;0;0;711
"088 Caraun";329;0;7;0;0;3;2;341
"089 Claremorris";2662;18;340;7;14;58;12;3111
"090 Cloghermore";164;0;2;0;0;0;1;167
"091 Course";387;0;33;0;0;4;8;432
"092 Crossboyne";565;0;18;1;0;7;2;593
"093 Culnacleha";453;0;15;2;0;5;4;479
"094 Garrymore";446;0;8;0;0;0;0;454
"095 Kilcolman";420;0;19;0;1;5;3;448
"096 Kilvine";575;0;21;0;4;2;0;602
"097 Knock North";609;9;45;3;1;14;10;691
"098 Knock South";673;0;41;1;0;2;9;726
"099 Loughanboy";326;0;24;0;0;1;2;353
"100 Mayo";394;0;26;0;0;1;0;421
"101 Murneen";390;0;22;0;4;1;2;419
"102 Tagheen";198;0;0;0;0;0;3;201
"103 Aghamore";575;1;29;0;1;1;12;619
"104 Ballinamore";334;1;14;0;1;1;1;352
"105 Bohola";202;0;16;0;0;0;2;220
"106 Brackloon";539;0;36;2;0;9;12;598
"107 Callow";332;0;38;0;0;3;2;375
"108 Cloonmore";437;5;46;0;1;6;6;501
"109 Coolnaha";456;0;36;0;0;1;0;493
"110 Cuildoo";347;0;21;0;0;2;8;378
"111 Doocastle";398;0;18;0;0;0;1;417
"112 Kilbeagh";878;39;99;0;4;7;15;1042
"113 Kilkelly";797;3;83;0;5;5;3;896
"114 Killedan";613;0;76;0;3;9;3;704
"115 Kilmovee";569;0;48;0;0;12;3;632
"116 Kiltamagh";1304;1;145;29;9;14;8;1510
"117 Meelick";520;0;36;0;1;1;4;562
"118 Sonnagh";1120;2;100;0;5;12;13;1252
"119 Swineford";2444;11;140;0;4;11;40;2650
"120 Toocananagh";331;8;29;2;0;4;2;376
"121 Toomore";1216;0;121;0;1;14;13;1365
"122 Tumgesh";290;0;26;0;0;2;5;323
"123 Urlaur";468;0;31;0;0;6;14;519
"124 Acaill";853;0;40;1;0;8;12;914
"125 Aghagower North";790;0;39;0;4;0;11;844
"126 Aghagower South";126;0;4;0;0;1;0;131
"127 Aillemore";323;0;24;0;1;3;0;351
"128 Ballycroy North";296;0;6;0;0;0;4;306
"129 Ballycroy South";361;0;8;0;0;0;2;371
"131 Clare Island";183;0;8;0;0;2;0;193
"132 Clogher";690;0;56;0;0;10;14;770
"133 An Corrán";625;0;52;1;0;2;13;693
"134 Croaghpatrick";465;0;64;2;1;9;5;546
"135 Derryloughan";542;0;36;0;0;1;0;579
"136 Dumha Éige";591;0;35;1;0;0;5;632
"137 Drummin";167;0;12;0;0;3;2;184
"138 Emlagh";227;0;19;0;0;0;5;251
"139 Erriff";101;0;2;0;0;0;0;103
"140 Glenhest";210;0;12;0;0;0;0;222
"141 Islandeady";935;0;36;1;0;6;16;994
"142 Kilgeever";100;0;2;0;0;0;2;104
"143 Kilmaclasser";490;0;40;0;0;2;0;532
"144 Kilmeena";1248;0;121;0;4;13;10;1396
"145 Kilsallagh";429;0;55;0;0;4;7;495
"146 Knappagh";558;0;58;1;0;14;7;638
"147 Louisburgh";681;0;72;1;0;10;5;769
"148 Newport East";890;0;72;1;1;3;35;1002
"149 Newport West";694;0;54;0;0;9;12;769
"150/130 Owennadornaun/Bundorragha";121;0;22;0;0;0;0;143
"151 Slievemahanagh";389;0;27;0;0;1;7;424
"152 Slievemore";902;0;60;0;4;15;14;995
"153 Srahmore";119;0;8;0;0;1;2;130
"154 Westport Rural";1330;1;81;4;5;14;6;1441
"Roscommon County";52125;320;3881;241;336;765;550;58218
"001 Athlone West Rural";2602;4;259;156;18;23;28;3090
"002 Ballydangan";616;0;19;0;1;5;7;648
"003 Ballynamona";469;0;7;0;1;0;27;504
"004 Caltragh";244;0;6;0;0;1;0;251
"005 Carnagh";659;0;16;0;1;12;2;690
"006 Carrowreagh";454;0;6;0;0;1;4;465
"007 Castlesampson";336;0;2;0;0;0;2;340
"008 Cloonburren";219;0;9;0;0;0;4;232
"009 Cloonown";232;0;4;0;0;0;1;237
"010 Crannagh";1107;0;24;2;1;8;3;1145
"011 Creagh";1033;2;18;0;3;4;8;1068
"012 Culliagh";177;0;5;0;0;1;7;190
"013 Drumlosh";303;0;12;0;0;3;1;319
"014 Dysart";216;0;10;0;0;3;0;229
"015 Kilcar";319;0;9;0;0;0;6;334
"016 Kiltoom";1535;0;42;1;0;5;5;1588
"017 Lecarrow";275;0;28;0;0;0;1;304
"018 Moore";276;0;1;0;0;1;0;278
"019 Rockhill";313;0;11;0;0;3;0;327
"020 Taghboy";351;46;2;0;0;0;0;399
"021 Taghmaconnell";244;1;4;0;0;0;4;253
"022 Thomastown";731;0;5;0;1;1;3;741
"023 Turrock";307;0;8;0;0;0;0;315
"024 Aghafin";122;0;6;0;0;2;0;130
"026 Aughrim East";190;0;12;0;0;0;1;203
"027 Aughrim West";164;0;13;0;0;3;6;186
"028 Ballyfarnan";198;0;13;0;0;0;2;213
"029 Ballyfermoyle";126;0;9;0;0;0;0;135
"030 Boyle Rural";1201;1;112;0;7;16;8;1345
"031 Boyle Urban";1359;24;121;3;7;47;10;1571
"032 Breedoge";240;0;15;0;0;0;1;256
"033 Cloonteen";265;0;16;0;0;1;0;282
"034 Creeve";112;0;10;0;0;0;3;125
"035 Croghan";255;0;11;0;0;2;1;269
"036 Crossna";157;0;27;0;0;2;0;186
"037 Danesfort";598;0;105;1;16;13;5;738
"038 Estersnow";81;0;13;0;0;0;0;94
"039 Keadew";445;0;20;0;0;10;2;477
"040 Kilbryan";253;0;36;1;2;3;3;298
"041 Kilcolagh";72;0;12;0;0;2;0;86
"042 Killukin";235;0;16;2;2;0;1;256
"043 Killummod";82;0;7;0;0;0;1;90
"044 Kilmacumsy";231;0;18;0;0;1;1;251
"045 Kilmore";150;0;6;0;0;2;0;158
"046/048 Lisgarve/Mantua";209;0;8;0;0;2;0;219
"047/025 Lough Allen/Altagowlan";294;0;9;0;0;3;1;307
"049 Oakport";221;0;22;0;0;0;0;243
"050 Rockingham";326;0;9;0;1;0;2;338
"051 Rushfield";400;0;32;1;0;3;0;436
"052 Tivannagh";235;0;15;0;0;3;0;253
"053 Tumna North";143;0;36;0;1;0;0;180
"054 Tumna South";173;0;17;1;0;0;0;191
"055 Artagh North";710;0;62;0;0;0;22;794
"056 Artagh South";408;0;29;2;0;2;0;441
"057 Ballaghaderreen";2032;56;335;21;128;73;37;2682
"058 Ballinlough";899;1;107;0;0;4;12;1023
"059 Ballintober";641;0;27;0;0;6;12;686
"060 Baslick";131;6;14;0;0;1;0;152
"061 Bellanagare";521;0;39;0;4;8;2;574
"062 Buckill";314;0;39;0;0;5;9;367
"063 Carrowduff";207;0;9;0;0;0;0;216
"064 Castleplunket";471;0;23;0;0;2;17;513
"065 Castlereagh";2509;66;146;13;17;42;27;2820
"066 Castleteheen";289;0;20;0;0;0;3;312
"067 Cloonfower";269;0;18;0;0;1;2;290
"068 Coolougher";471;6;23;0;0;2;3;505
"069 Edmondstown";396;0;29;0;0;1;1;427
"070 Fairymount";319;0;26;0;0;3;12;360
"071 Frenchpark";784;0;50;0;1;19;17;871
"072 Kiltullagh";878;0;120;0;0;8;14;1020
"073 Loughglinn";633;0;45;0;0;4;11;693
"074 Annaghmore";308;0;17;0;0;0;0;325
"075 Athleague East";379;0;24;0;0;3;1;407
"076 Athleague West";428;0;53;0;0;7;3;491
"077 Ballygarden";181;0;24;0;0;0;2;207
"078 Bumlin";342;0;14;0;0;0;2;358
"079 Cams";448;0;10;0;2;4;5;469
"080 Cloonfinlough";163;0;20;0;1;3;0;187
"081 Cloontuskert";941;0;59;1;9;4;24;1038
"082 Cloonygormican";389;0;19;0;0;1;4;413
"083 Cloonyquin";269;0;14;0;0;3;0;286
"084 Creeve";133;0;12;1;0;2;2;150
"085 Cregga";159;0;11;0;0;2;0;172
"086 Drumdaff";379;23;30;0;1;3;1;437
"087 Dunamon";293;0;16;0;0;3;1;313
"088 Elia";122;0;4;0;0;0;6;132
"089 Elphin";680;5;58;6;3;7;3;762
"090 Fuerty";635;0;45;0;0;6;4;690
"091 Kilbride North";340;0;32;0;0;7;1;380
"092 Kilbride South";323;0;8;0;1;0;4;336
"093 Kilgefin";263;0;15;0;0;0;3;281
"094 Kilglass North";361;0;26;0;0;2;7;396
"095 Kilglass South";299;0;12;0;0;1;0;312
"096 Killavackan";176;0;13;0;0;0;1;190
"097 Killukin";220;0;0;0;0;0;4;224
"098 Kilteevan";410;0;27;0;0;1;1;439
"099 Lackan";305;0;7;2;0;3;2;319
"100 Lismaha";336;0;5;0;0;0;1;342
"101 Lissonuffy";172;0;2;0;0;0;0;174
"102 Mote";686;0;33;1;4;12;7;743
"103 Ogulla";214;0;8;0;0;1;3;226
"104 Roosky";478;0;92;0;4;4;1;579
"105 Roscommon Rural";3454;53;400;6;55;127;38;4133
"106 Roscommon Urban";1157;14;235;19;39;165;23;1652
"107 Rosmoylan";146;0;8;0;0;1;1;156
"108 Rossmore";148;0;1;0;0;0;1;150
"109 Scregg";370;12;14;0;0;0;1;397
"110 Strokestown";874;0;58;1;2;19;20;974
"111 Termonbarry";453;0;33;0;3;4;8;501
"112 Tulsk";254;0;8;0;0;3;3;268
"Sligo County";53732;326;3611;193;499;524;973;59858
"001 Sligo East";4496;17;390;43;83;73;90;5192
"002 Sligo North";4058;80;433;59;148;112;298;5188
"003 Sligo West";5917;46;582;32;129;95;224;7025
"004 Aghanagh";273;2;27;0;0;5;6;313
"005 Ballynashee";241;0;21;0;0;5;1;268
"006 Coolavin";388;0;45;0;0;7;2;442
"007 Cuilmore";444;1;41;0;0;1;3;490
"008 Drumrat";401;0;26;0;0;2;11;440
"009 Kilfree";404;2;53;1;6;3;0;469
"010 Killadoon";279;0;10;0;0;0;1;290
"011 Killaraght";356;0;24;0;0;2;0;382
"012 Kilmactranny";302;1;22;0;0;3;5;333
"013 Kilshalvy";262;0;22;0;0;3;4;291
"014 Shancough";129;0;8;0;0;1;1;139
"015 Templevanny";215;0;21;0;0;0;4;240
"016 Toomour";205;0;26;0;0;5;3;239
"017 Aughris";165;0;5;0;0;1;1;172
"018 Buncrowey";316;0;10;0;0;0;2;328
"019 Castleconor East";223;0;6;0;0;0;1;230
"020 Castleconor West";818;0;56;0;0;3;2;879
"021 Dromard East";154;0;3;0;0;0;2;159
"022 Dromard West";171;0;6;0;0;0;1;178
"023 Dromore";408;0;26;0;0;5;1;440
"024 Easky East";531;0;42;0;1;3;3;580
"025 Easky West";648;0;22;0;0;6;3;679
"026 Kilglass";1223;0;70;0;12;5;10;1320
"028 Rathmacurkey";533;0;14;0;0;3;2;552
"029 Skreen";151;0;6;0;0;2;2;161
"030 Templeboy North";276;0;5;0;0;0;1;282
"031/027 Templeboy South/Mullagheruse";215;0;11;0;0;3;3;232
"032 Toberpatrick East";240;0;14;0;1;0;2;257
"033 Toberpatrick West";282;0;10;0;0;0;0;292
"034 Ballintogher East";515;0;20;0;0;0;4;539
"035 Ballintogher West";387;0;16;0;0;0;13;416
"036 Ballymote";1569;3;86;5;3;16;24;1706
"037 Ballynakill";339;0;25;0;0;3;2;369
"038 Ballysadare East";1128;0;48;11;0;12;5;1204
"039 Ballysadare West";323;0;6;0;1;0;0;330
"040 Bricklieve";223;0;10;0;0;1;0;234
"041 Calry";1701;6;57;10;8;3;14;1799
"042 Carney";656;1;19;0;2;1;0;679
"043 Carrickbanagher";564;0;24;0;1;2;4;595
"044 Cliffony North";810;10;46;0;8;7;7;888
"045 Cliffony South";558;0;36;0;0;2;3;599
"046 Collooney";1494;43;117;3;26;9;44;1736
"047 Drumcliff East";739;1;9;0;1;5;12;767
"048 Drumcliff West";1718;0;56;6;20;5;19;1824
"049 Drumcolumb";264;0;25;0;0;1;3;293
"050 Drumfin";319;0;14;0;0;2;0;335
"051 Glencar";197;0;14;0;3;1;0;215
"052 Kilmacowen";1878;74;48;0;12;7;8;2027
"053 Knockaree";2925;1;186;9;17;31;15;3184
"054 Lakeview";350;0;32;0;2;2;1;387
"055 Lisconny";375;0;21;0;0;1;2;399
"056 Lissadill East";590;0;33;0;3;2;6;634
"057 Lissadill North";1050;1;57;0;1;4;7;1120
"058 Lissadill West";423;0;35;0;0;8;4;470
"059 Riverstown";573;0;39;2;0;9;4;627
"060 Rossinver East";161;0;2;0;0;1;0;164
"061 Rossinver West";224;0;3;5;0;0;0;232
"062 Achonry East";482;0;31;0;0;1;5;519
"063 Achonry West";619;5;38;0;0;0;7;669
"064 Aclare";278;0;15;1;2;1;1;298
"065 Annagh";162;1;18;0;0;0;1;182
"066 Banada";526;0;42;0;0;5;4;577
"067/069 Branchfield/Carrownaskeagh";135;0;5;0;2;3;0;145
"068 Breencorragh";118;0;6;0;0;0;1;125
"070 Cartron";168;0;10;0;0;0;0;178
"072 Cloonoghill";294;0;8;0;0;2;2;306
"073 Coolaney";503;0;33;3;1;3;0;543
"074 Glendarragh";124;0;27;0;0;3;6;160
"075 Kilmacteige";220;0;13;0;0;0;1;234
"076 Kilturra";221;0;17;0;0;0;0;238
"077 Leitrim";299;0;26;0;0;2;1;328
"078/071 Loughill/Cloonacool";294;0;28;0;0;0;2;324
"079 Owenmore";87;0;14;0;0;1;1;103
"080 Streamstown";286;0;6;1;2;0;1;296
"081 Temple";210;0;8;0;1;3;2;224
"082 Tobercurry";1929;31;125;2;3;17;48;2155
"Ulster (part of)";239754;776;15312;1126;1426;1905;3012;263311
"Cavan County";56559;212;4296;316;402;506;973;63264
"001 Cavan Urban";2863;113;535;89;101;72;100;3873
"002 Bailieborough";2935;26;112;2;12;22;68;3177
"003 Carnagarve";563;0;13;0;0;3;2;581
"004 Crossbane";465;0;16;0;0;2;5;488
"005 Drumanespick";398;0;20;0;0;1;0;419
"006 Enniskeen";373;0;8;1;0;3;5;390
"007 Killinkere";347;0;18;0;0;1;0;366
"008 Kingscourt";2147;1;257;3;8;25;72;2513
"009 Lisagoan";311;2;5;0;0;0;9;327
"010 Mullagh";1264;0;87;9;0;4;22;1386
"011 Shercock";904;0;54;7;32;7;18;1022
"012 Skeagh";381;3;3;2;0;0;4;393
"013 Taghart";523;0;21;1;0;0;12;557
"014 Termon";430;0;17;0;0;3;20;470
"015 Ballyconnell";965;6;200;0;9;17;7;1204
"016 Ballymagauran";237;0;7;0;0;0;7;251
"017 Bawnboy";498;0;31;1;1;0;6;537
"019 Bilberry";134;0;11;0;0;0;0;145
"020 Carn";208;0;14;0;0;0;2;224
"021 Diamond";97;0;11;0;0;1;0;109
"022 Doogary";139;0;7;0;0;0;2;148
"023 Kinawley";106;0;9;0;0;1;0;116
"024 Lissanover";263;0;7;0;0;0;1;271
"025/028 Pedara Vohers/Tircahan";182;0;4;0;0;1;0;187
"026 Swanlinbar";379;0;48;0;0;5;2;434
"027/018 Templeport/Benbrack";331;0;35;0;0;1;14;381
"029 Ballyjamesduff";1699;0;325;71;6;31;55;2187
"030 Castlerahan";767;1;66;0;17;5;11;867
"031 Kilbride";813;0;47;0;3;11;7;881
"032 Lurgan";498;0;10;1;4;0;10;523
"033 Munterconnaught";825;0;58;0;1;7;74;965
"034 Virginia";2754;6;273;16;14;44;45;3152
"035 Ardue";520;0;67;0;4;6;4;601
"036 Arvagh";801;0;69;0;1;7;9;887
"037 Ashfield";311;0;17;0;0;1;5;334
"038 Ballintemple";449;0;10;0;0;0;0;459
"039 Ballyhaise";929;0;33;4;4;2;7;979
"040 Ballymachugh";636;0;34;0;3;1;24;698
"041 Bellananagh";1137;1;72;1;7;3;6;1227
"042 Belturbet Urban";1193;1;130;1;12;27;9;1373
"043 Bruce Hall";202;0;9;0;0;0;1;212
"044 Butler's Bridge";351;0;14;0;1;5;0;371
"045 Canningstown";540;0;8;0;0;1;4;553
"046 Carrafin";331;2;20;0;0;1;7;361
"047 Castlesaunderson";211;0;6;1;0;1;2;221
"048 Cavan Rural";3998;0;412;93;144;73;77;4797
"049 Clonervy";763;1;22;0;0;0;4;790
"050 Cootehill Rural";1024;18;97;2;5;14;10;1170
"051 Cootehill Urban";1094;4;88;0;0;11;34;1231
"052 Corr";243;0;7;0;0;1;4;255
"053 Corraneary";383;0;11;0;0;5;3;402
"054 Crossdoney";512;0;17;0;0;0;4;533
"055 Crosskeys";621;0;7;1;0;3;8;640
"056 Cuttragh";333;0;6;0;0;0;3;342
"057 Denn";629;1;37;0;0;13;3;683
"058 Derrin";369;0;12;0;0;1;0;382
"059 Drumcarban";519;0;19;0;0;2;6;546
"060 Drumcarn";501;0;5;0;0;1;13;520
"061 Drung";526;0;11;0;0;2;4;543
"062 Graddum";449;0;20;0;0;1;2;472
"063 Grilly";355;0;31;0;0;4;4;394
"064 Kilconny";339;0;32;0;0;1;0;372
"065 Kill";342;0;7;0;0;1;1;351
"066 Killashandra";1000;1;75;0;3;5;4;1088
"067 Killykeen";505;0;20;0;0;1;6;532
"068 Kilnaleck";768;3;154;0;0;9;17;951
"069 Knappagh";406;0;8;0;0;2;3;419
"070 Larah North";427;0;13;0;0;1;0;441
"071 Larah South";456;0;6;0;0;4;7;473
"072 Milltown";302;0;22;0;0;2;4;330
"073 Moynehall";1338;0;106;6;4;12;29;1495
"074 Rakenny";385;0;14;0;0;3;9;411
"075 Redhill";394;0;21;0;0;0;1;416
"076 Springfield";167;0;8;0;0;0;0;175
"077 Stradone";684;0;25;1;0;2;10;722
"078 Tullyvin East";346;0;22;0;6;0;1;375
"079 Tullyvin West";221;0;5;0;0;1;1;228
"080 Waterloo";654;0;15;0;0;1;11;681
"081 Derrylahan";118;0;2;0;0;0;0;120
"083 Dowra";125;0;3;0;0;0;1;129
"084/082 Dunmakeever/Derrynananta";162;0;6;0;0;0;0;168
"085 Eskey";233;22;17;1;0;2;2;277
"086/087 Kinninagh/Teebane";131;0;22;0;0;1;4;158
"088 Tuam";329;0;16;0;0;0;0;345
"089 Drumlumman";503;0;6;0;0;1;5;515
"090 Kilcogy";355;0;3;1;0;0;6;365
"091 Kilgolagh";288;0;15;1;0;3;12;319
"092 Loughdawan";310;0;12;0;0;1;1;324
"093 Scrabby";542;0;21;0;0;0;1;564
"Donegal County";133595;363;6989;659;766;976;1337;144685
"001 Buncrana Urban";2999;1;233;5;20;38;35;3331
"002 Bundoran Urban";1342;0;143;3;23;10;47;1568
"003 Letterkenny Urban";1415;47;183;74;39;37;37;1832
"004 Ballintra";618;13;31;0;3;7;9;681
"005 Ballyshannon Rural";1444;22;43;2;3;8;20;1542
"006 Ballyshannon Urban";1798;0;88;4;28;14;40;1972
"007 Bundoran Rural";813;0;38;2;0;4;9;866
"008 Carrickboy";426;1;10;0;0;0;4;441
"009 Cavangarden";309;0;15;0;0;1;0;325
"010 Cliff";198;0;12;0;0;0;0;210
"011 Ballintra";519;0;28;0;1;6;8;562
"012 An Bhinn Bhán";159;0;7;0;0;1;2;169
"013 Bonnyglen";326;1;12;0;0;7;1;347
"014 Clogher";696;0;30;0;4;4;14;748
"015 Corkermore";263;0;13;0;0;1;1;278
"016 Donegal";3279;22;222;34;12;26;40;3635
"017 Dunkineely";788;0;51;0;1;8;12;860
"018 Eanymore";483;0;24;1;0;3;5;516
"019 Grousehall";76;0;2;0;0;0;0;78
"020 Haugh";229;0;3;1;0;0;0;233
"021 Inver";691;0;33;0;0;3;14;741
"022 Laghy";648;0;28;0;2;0;16;694
"023 Loch Iascaigh";94;0;19;0;0;3;1;117
"024 Pettigoe";402;0;10;0;0;1;6;419
"025 Tantallon";1395;0;88;1;8;18;20;1530
"026 Tawnawully";231;0;20;0;0;1;3;255
"027 Templecarn";117;0;2;0;0;1;0;120
"028 Tullynaught";462;0;22;1;0;7;3;495
"029 Ards";610;0;31;0;2;3;5;651
"030 Críoch na Sméar";236;0;21;0;0;2;7;266
"031 An Craoslach";630;0;39;0;3;4;4;680
"032 Na Croisbhealaí";1996;0;116;0;6;11;24;2153
"033 Caisleán na dTuath";201;0;11;0;0;2;2;216
"034 Dún Fionnachaidh";768;0;37;0;0;9;5;819
"035 Dún Lúiche";664;0;21;0;0;1;6;692
"036 Gort an Choirce";1504;0;50;0;0;10;11;1575
"037 Machaire Chlochair";2423;0;145;0;3;18;20;2609
"038 Mín an Chladaigh";1251;0;40;0;1;12;14;1318
"039 Anagaire";2022;1;168;0;0;8;13;2212
"040 Árainn Mhór";491;0;30;0;0;1;1;523
"041 Ard an Rátha";959;0;55;0;1;9;11;1035
"042 Cró Bheithe";148;0;13;0;0;0;0;161
"043 Cró Chaorach";118;0;2;0;0;0;1;121
"044 Crownarad";324;0;11;0;1;2;2;340
"045 Dawros";588;0;31;0;0;0;5;624
"046 An Dúchoraidh";78;0;7;0;0;0;0;85
"047 An Clochán Liath";1744;0;110;0;18;6;8;1886
"048 Baile na Finne";302;0;10;0;0;1;2;315
"049 Gleann Cholm Cille";676;0;33;0;0;3;2;714
"050 Gleann Gheis";625;0;30;0;1;6;4;666
"051 Gleann Léithín";175;0;10;0;0;0;0;185
"052 Na Gleannta";1328;0;88;0;2;10;11;1439
"053 An Ghrafaidh";190;0;14;0;0;1;2;207
"054 Inis Caoil";95;0;6;0;0;2;0;103
"055 Cill Charthaigh";626;0;13;0;0;2;8;649
"056 Cill Ghabhlaigh";364;0;14;1;0;1;4;384
"057 Killybegs";2180;14;80;1;6;7;12;2300
"058 An Leargaidh Mhór";549;2;6;0;0;0;0;557
